playerid,Name,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch
12927,Brandon Nimmo,NYM,151,663,128,77,25,3,23,88,90,15,0.116138763,0.238310708,0.175131348,0.267175572,0.224168126,0.244,0.320513439,0.335,0.399299474,0.408,0.32730015,108.9077289,9.497079439,-5.063769102,5.7496944,2.434850298,2.738086071,0.487341772,0.08894231,0.47355769,0.24006002,0.64285714,0.44739716,0.515625,0.88228823,0.78681855,0.38221154,0.36778846,0.25,91.94254518,11.2441618,111.466,0.19951923,0.420673076,0.379807692,2.62125916
10815,Jurickson Profar,SDP,158,668,158,105,29,0,24,94,85,10,0.113772455,0.151197604,0.179078015,0.301801801,0.280141843,0.282,0.36529605,0.364,0.459219858,0.444,0.380090497,139.2126565,30.5526828,-11.12048841,3.623229782,-0.770364903,4.304333021,0.752475247,0.07188161,0.44186047,0.22406015,0.67022033,0.45341615,0.67785235,0.89607635,0.84367446,0.4038055,0.35940803,0.23678647,91.07275391,13.4413631,110.265,0.198275862,0.422413793,0.379310344,2.612031157
19918,Daulton Varsho,TOR,136,513,98,52,21,7,18,73,58,10,0.093567251,0.26705653,0.193899782,0.262295081,0.213507625,0.186,0.304275134,0.261,0.407407407,0.316,0.29296875,99.17202961,1.107509914,13.73588473,7.290914792,1.593511604,3.299157383,0.350364963,0.0617284,0.33333333,0.26686808,0.67144222,0.4745098,0.57358491,0.83214794,0.76136364,0.5154321,0.25308642,0.23148148,86.11691381,24.37550694,110.162,0.149681528,0.32165605,0.52866242,2.257672538
25878,Corbin Carroll,ARI,158,684,136,78,22,14,22,121,74,35,0.106725146,0.190058479,0.196943973,0.255605381,0.23089983,0.241,0.324860308,0.324,0.427843803,0.391,0.321585903,106.6850748,16.57822716,-0.253713012,8.673990007,11.1102882,4.038406887,0.561538461,0.07218684,0.40552017,0.24817518,0.58320127,0.40881459,0.65588235,0.88994565,0.81598513,0.40552017,0.33757962,0.25690021,89.31319332,11.73969969,111.519,0.167023554,0.44111349,0.391862955,2.162407941
13624,Corey Seager,TEX,123,533,132,81,21,0,30,68,74,1,0.099437148,0.18011257,0.233684211,0.29059829,0.277894736,0.289,0.364663478,0.39,0.511578947,0.561,0.35272045,140.3198078,19.38432091,6.842841864,1.573348342,-5.205268085,4.543703456,0.552083333,0.15223097,0.49606299,0.2702407,0.77870564,0.53044872,0.48987854,0.88203753,0.78449144,0.43569554,0.33858268,0.22572178,92.13818231,13.5052049,113.252,0.16535433,0.41207349,0.422572178,1.934153273
27815,Jordan Westburg,BAL,107,447,110,61,26,5,18,57,63,6,0.049217002,0.217002237,0.216346154,0.304635761,0.264423076,0.281,0.339562136,0.353,0.48076923,0.491,0.311659192,125.269885,13.21351524,-1.441636205,5.585791643,0.28893654,2.754712282,0.226804123,0.11838006,0.46105919,0.29036458,0.70323326,0.50917993,0.49775785,0.83087028,0.74158654,0.41121495,0.35514019,0.23364486,91.0614624,13.09723358,111.169,0.19375,0.41875,0.3875,1.889334687
15112,Ryan McMahon,COL,153,645,137,89,28,0,20,68,65,4,0.106976744,0.286821705,0.155202822,0.319672131,0.241622574,0.243,0.315403819,0.325,0.396825396,0.414,0.32503888,88.84990788,-11.31082931,8.550336838,1.947734532,-2.710809447,1.93321992,0.372972972,0.10824742,0.48969072,0.27407987,0.64325452,0.46961326,0.49714286,0.80756757,0.72235294,0.35751295,0.34455959,0.29792746,92.12162829,10.03387515,113.014,0.1953125,0.489583333,0.315104166,1.661387177
26323,Spencer Steer,CIN,158,656,129,71,34,4,20,74,92,25,0.109756097,0.208841463,0.177700349,0.260143198,0.224738675,0.235,0.316479848,0.315,0.402439024,0.379,0.31859756,96.20468225,1.572367679,-11.03028226,6.035958318,4.549603701,1.279357138,0.525547445,0.06378132,0.39863326,0.24730354,0.63869992,0.44486837,0.51401869,0.89467456,0.78987993,0.44419134,0.3166287,0.23917995,88.03453053,17.4016644,108.002,0.182648401,0.374429223,0.442922374,1.627937543
22664,Gabriel Moreno,ARI,97,351,81,57,18,1,5,39,45,3,0.116809116,0.148148148,0.114754098,0.302788844,0.26557377,0.255,0.324803193,0.325,0.380327868,0.384,0.353276353,106.6466326,2.858501268,9.892956495,3.599774987,0.068720527,2.524118936,0.788461538,0.06640625,0.41015625,0.21937322,0.5746988,0.4118799,0.69480519,0.87840671,0.83359746,0.3046875,0.39453125,0.30078125,89.99159241,8.756225586,111.062,0.18359375,0.49609375,0.3203125,1.530137329
17919,Ian Happ,CHC,153,657,138,77,34,2,25,89,86,13,0.121765601,0.255707762,0.198594025,0.298941798,0.242530755,0.243,0.341044918,0.345,0.44112478,0.446,0.340943683,121.7587258,18.3584222,-5.388237357,4.894002857,1.263776153,3.599119578,0.476190476,0.11662531,0.44913151,0.24456522,0.65038381,0.45828739,0.53333333,0.81545064,0.74418605,0.39950372,0.33002481,0.27047146,90.80583697,15.13365268,113.971,0.191542288,0.390547263,0.417910447,1.517091937
