playerid,Name_x,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2021 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
13624,Corey Seager,TEX,123,533,132,81,21,0,30,68,74,1,0.099437148,0.18011257,0.233684211,0.29059829,0.277894736,0.289,0.364663478,0.39,0.511578947,0.561,0.35272045,140.3198078,19.38432091,6.842841864,1.573348342,-5.205268085,4.543703456,0.552083333,0.15223097,0.49606299,0.2702407,0.77870564,0.53044872,0.48987854,0.88203753,0.78449144,0.43569554,0.33858268,0.22572178,92.13818231,13.5052049,113.252,0.16535433,0.41207349,0.422572178,1.934153273,Corey Seager,SS,L,R,LAD,28,6.032,3.823521852,,,0,,18400000.0,TEX,10.0,325000000.0,32500000.0
12979,Javier Báez,DET,80,289,50,32,12,0,6,25,37,8,0.041522491,0.238754325,0.110294118,0.22,0.183823529,0.222,0.224258976,0.264,0.294117647,0.345,0.221453287,42.72978199,-18.29391605,2.020239234,4.927964872,0.644004337,-0.685734188,0.173913043,0.0776699,0.39805825,0.42631579,0.64666667,0.52352941,0.56790123,0.8419244,0.71722846,0.44174757,0.36893204,0.18932039,88.3432641,11.18113329,111.099,0.184466019,0.466019417,0.349514563,1.182924996,Javier Báez,SS/2B,R,R,NYM,29,6.089,4.123918533,,,0,,,DET,6.0,140000000.0,23333333.33
15194,Jake Bauers,MIL,117,346,60,37,9,2,12,45,43,13,0.112716763,0.341040462,0.162251656,0.279069767,0.198675496,0.201,0.294134459,0.302,0.360927152,0.379,0.300578034,87.26710653,-4.211552791,-6.834693857,6.861886732,1.056674317,0.049149797,0.330508474,0.10326087,0.41847826,0.20200573,0.67690418,0.45767196,0.32624113,0.83121597,0.7283237,0.5,0.30978261,0.19021739,89.42435148,22.63478181,110.121,0.215469613,0.287292817,0.497237569,1.008222399,Jake Bauers,1B/LF/RF,L,L,SEA,26,2.1,-0.306991458,,,0,,,CIN,1.0,0.0,
10231,Jose Iglesias,NYM,85,291,91,70,16,1,4,39,26,6,0.041237113,0.134020618,0.111111111,0.381578947,0.337037037,0.285,0.361797291,0.314,0.448148148,0.369,0.381443298,136.6945913,12.59224416,2.3324368,4.72129439,-0.176739402,2.542209395,0.307692307,0.02155172,0.30603448,0.4019802,0.63333333,0.52465116,0.78325123,0.89750693,0.85638298,0.31034483,0.38362069,0.30603448,85.84554317,9.042851941,109.845,0.237068965,0.487068965,0.275862068,0.868552356,Jose Iglesias,SS/2B,R,R,BOS,32,9.036,1.783195734,,,0,,,COL,1.0,5000000.0,5000000.0
11899,Joc Pederson,ARI,132,449,101,60,17,1,23,62,64,7,0.122494432,0.233853006,0.239782017,0.322314049,0.275204359,0.264,0.391035317,0.378,0.514986376,0.48,0.392776523,151.225392,26.35744426,-12.63888836,3.908926099,-1.146369353,2.961045298,0.523809523,0.12546125,0.45387454,0.30063966,0.58352668,0.43611111,0.64893617,0.84890656,0.77707006,0.5,0.35714286,0.14285714,92.16299579,16.99797739,114.139,0.205323193,0.39163498,0.403041825,0.850131476,Joc Pederson,RF/LF/CF,L,L,ATL,30,7.028,0.299459577,,,0,,,SFG,1.0,6000000.0,6000000.0
11445,Mark Canha,- - -,125,462,95,68,20,0,7,46,42,7,0.11038961,0.207792207,0.1043257,0.298305084,0.241730279,0.212,0.30983137,0.288,0.346055979,0.306,0.344155844,102.3474004,2.142870184,-7.846092343,3.751857923,0.868543789,1.001262684,0.53125,0.03311258,0.37417219,0.2167756,0.59241245,0.41521069,0.69849246,0.84236453,0.80693069,0.47682119,0.31788079,0.20529801,88.44825997,9.596347531,107.047,0.168874172,0.493377483,0.337748344,0.743877838,Mark Canha,RF/LF/CF,R,R,OAK,33,6.092,2.902009249,,,0,,,NYM,3.0,36000000.0,13250000.0
16478,Kyle Schwarber,PHI,150,692,142,82,22,0,38,110,104,5,0.15317919,0.28468208,0.237347295,0.300578034,0.247818499,0.256,0.365807571,0.38,0.485165794,0.512,0.365606936,135.2906014,26.79809035,-16.73293406,2.886274691,-2.404840417,3.419468632,0.538071065,0.15625,0.54947917,0.20704225,0.59225352,0.39964789,0.44217687,0.79429251,0.7030837,0.50520833,0.33333333,0.16145833,93.55561024,14.9655499,115.557,0.182291666,0.416666666,0.401041666,0.676391981,Kyle Schwarber,LF/1B/DH,L,R,BOS,29,6.086,2.72033596,,,0,,,PHI,4.0,79000000.0,19750000.0
3473,Anthony Rizzo,NYY,92,375,77,57,12,0,8,38,35,0,0.072,0.173333333,0.106824926,0.259398496,0.228486646,0.24,0.284789361,0.297,0.335311572,0.34,0.301333333,84.11102083,-9.627217397,-5.278091669,1.47098214,-2.809596144,-0.248329984,0.415384615,0.04014599,0.32846715,0.33105335,0.65763195,0.49092179,0.65289256,0.9154013,0.82503556,0.44890511,0.27737226,0.27372263,86.70410156,14.32848765,110.68,0.215328467,0.437956204,0.346715328,0.592707561,Anthony Rizzo,1B,L,L,NYY,32,9.168,2.176534414,,,0,,,NYY,1.0,16000000.0,16000000.0
9241,Starling Marte,NYM,94,370,90,67,13,3,7,46,40,16,0.072972972,0.218918918,0.119402985,0.333333333,0.268656716,0.287,0.313052989,0.337,0.388059701,0.425,0.326975476,103.8863346,3.833610359,-10.12986279,6.796580516,2.114106327,0.622260455,0.333333333,0.06949807,0.42857143,0.30060423,0.67152318,0.49823571,0.49246231,0.84615385,0.74645892,0.42471042,0.33976834,0.23552124,89.79421875,4.283869141,110.896,0.268,0.504,0.228,0.508327611,Starling Marte,CF/RF/LF,R,R,OAK,33,8.162,5.179905891,,,0,,,NYM,4.0,78000000.0,19500000.0
13768,Travis Jankowski,TEX,104,207,38,32,5,0,1,19,12,11,0.057971014,0.212560386,0.042105263,0.255172413,0.2,0.207,0.233850789,0.241,0.242105263,0.252,0.265700483,48.30349052,-10.47400813,0.708040953,5.71050714,1.770382427,-0.295943732,0.272727272,0.00684932,0.24657534,0.19944598,0.63755459,0.44444444,0.55555556,0.86643836,0.80494505,0.32876712,0.34246575,0.32876712,85.42035211,5.894880815,105.091,0.118881118,0.608391608,0.272727272,0.495098001,Travis Jankowski,CF/LF/RF,L,R,PHI,31,5.028,0.690043449,,,0,,,NYM,1.0,1250000.0,1250000.0
