playerid,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO
1157,Tommy Hunter,NYM,0,1,0,18,0,22.1,8.865672904,2.417910792,1.611940528,0.274193548,0.88785047,0.4,0.133333333,2.417910792,4.53,4.276610272,3.93680793,-0.010484426,0.04584527,93.41710663,-1.102056403,0.46131805,91.17431337,1.215639099,0.3495702,93.13543801,1.433483835,0.00286533,88.03769684,0,,,,0.14040115,84.36001276,-2.251775049,,,,,,,,,,,,,,,107.114,99.54545455,84.7064,,,96.13726708,,93.79541547,106.4452722,103.6547278,
1177,Albert Pujols,STL,0,0,0,1,0,1,0,9,18,0.25,0,0.333333333,1,36,8.96,32.112431,9.07316981,-0.131802872,1,59.5455051,-2.760064863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-182.9,,,,,,,-182.9,88.3,64.1,
1246,Matt Bush,- - -,2,3,3,65,6,59.2,11.16201219,2.715084046,1.659218028,0.231884058,0.67901235,0.401360544,0.171875,3.469274059,2.62,4.084498129,3.275732277,0.09641161,0.48788546,97.366775,1.188918475,,,,0.00330396,96.07043457,0.067762878,,,,0.15638767,93.00971448,-3.662973978,0.35242291,80.98055115,7.282066822,,,,,,,,,,,,,,,112.4790625,143.6052511,,,,82.12721088,,122.6140814,99.82915292,105.4569857,
1247,Adam Ottavino,NYM,6,3,3,66,0,65.2,10.82741284,2.192893741,0.822335153,0.276315789,0.89108911,0.518987341,0.12,2.055837882,2.35,2.853547713,2.79291527,1.140953183,0.12181303,94.80884357,-4.750175815,0.05382436,87.77555339,0.070216864,0.32577904,94.24698822,7.284161635,0.07176582,88.99290707,-0.623795785,0.42681775,81.04046253,9.690104719,,,,,,,,,,,,,,,,,114.0026667,,89.34031008,100.7452174,134.3452747,,69.13636364,,113.0445498,96.89393365,102.6314692,
1514,Oliver Pérez,ARI,1,1,0,7,0,4,2.250001743,2.250001743,2.250001743,0.35,0.11627907,0.4,0.111111111,15.7500122,6.17,7.362434295,7.443265516,-0.127260953,0.02739726,88.57264709,-0.056664504,,,,0.60273973,88.33331854,-3.533127464,,,,0.36986301,76.56112558,-0.112997264,,,,,,,,,,,,,,,,,,,83.23333333,84.22325581,81.87777778,,,,83.31506849,101.7041096,99.75753425,
1581,Sean Doolittle,WSN,0,0,0,6,0,5.1,10.12500241,0,0,0.090909091,1,0.272727272,0,0,1.07,0.862430465,3.082985101,0.272601485,0.74545455,93.51330269,2.648400187,,,,,,,,,,0.21818182,78.34973145,0.73210372,,,,,,,0.03636364,80.64265442,-0.085583355,,,,,,,,,109.4,98.80487805,,,,,-51.6,95.64727273,107.4818182,107.6163636,
1890,Matt Moore,TEX,5,2,5,63,0,74,10.09459564,4.621622098,0.364864902,0.25698324,0.81145585,0.438888888,0.042253521,1.945946147,2.83,2.977295853,3.870623346,1.349560261,0.44951923,93.96967608,5.767125931,,,,,,,0.16826923,85.07719494,4.773863737,,,,0.38221154,83.63497445,3.440538488,,,,,,,,,,,,,,144.2147619,,110.1768271,,,116.5937107,,,118.3452285,96.75982358,101.1303929,
1943,Zack Greinke,KCR,4,9,0,26,26,137,4.795620438,1.773722628,0.919708029,0.305555556,0.72879331,0.4125,0.082352941,3.678832117,4.78,4.032139031,4.540626612,1.938260436,0.38996479,89.24946212,3.612229843,0.00044014,87.84100342,0.154188305,0.02420775,89.62001953,-3.072911162,0.16461268,86.60591786,-6.09881229,0.21742958,84.47575595,-3.664493255,0.20246479,72.12098336,5.844643112,0.00088028,65.16604614,-0.670157686,,,,,,,,,,,98.25695187,96.454329,80.95931034,66.56862745,119.3285714,,100.1197674,,92.09969163,103.5923348,99.86475771,
2036,Clayton Kershaw,LAD,12,3,0,22,22,126.1,9.759894852,1.638522493,0.712401084,0.267912773,0.79439252,0.47112462,0.09090909,2.279683469,2.51,2.566256837,2.826209099,3.861314297,0.40119435,90.75988456,10.93777276,,,,0.00271444,91.38458252,-0.589170128,0.00597177,84.15239924,-1.73435038,0.4267101,86.65540514,10.43638984,0.16340934,73.24236919,5.544363767,,,,,,,,,,,,,,84.07272727,120.5598007,102.3865489,81.3,130.4899491,,,,117.1702336,103.6569799,106.0373167,
2233,Adam Wainwright,STL,11,12,0,32,32,191.2,6.714782965,2.535652308,0.751304388,0.301886792,0.75021683,0.432387312,0.081218274,3.709565414,4.53,3.660257118,4.096602041,2.891256571,0.0858602,88.11704229,-1.962279819,0.25598468,84.4411822,1.825240802,0.27928503,88.65105357,-0.986594334,0.06032557,82.20976976,0.013411067,0.00095755,77.89983114,-0.084077071,0.31758698,72.82564384,4.890205249,,,,,,,,,,,,,,93.49100529,144.1857292,80.56416382,82.34247991,,,90.55446429,,104.1256303,104.0938591,102.1603749,
2429,Corey Kluber,TBR,10,10,0,31,31,164,7.62804878,1.152439024,1.097560976,0.316633267,0.70165746,0.360784313,0.093457943,4.335365854,4,3.569748075,3.91608376,3.106763124,0.01192434,89.12317315,0.79319644,0.34457237,86.54899127,5.762678798,0.27138158,89.14068419,-9.55275853,0.10197368,83.15613974,3.167048641,0.26973684,80.97445455,-4.744805552,,,,,,,,,,,,,,,,0.00041118,76.78214286,123.9118087,63.94444444,70.58677812,,,99.69499404,,95.61153219,103.5668297,103.5664222,
2520,Lance Lynn,CHW,8,7,0,21,21,121.2,9.172602931,1.405479481,1.405479481,0.294117647,0.68369028,0.422969187,0.139705882,3.994520631,3.62,3.819280332,3.443912425,1.836031199,0.45351137,93.02330119,11.72511631,0.29080119,88.64237218,1.069545578,0.12858556,91.56354417,-6.008041155,0.03956479,85.79155273,-5.703984603,0.05984174,81.6980727,-0.935450945,0.02769535,83.02314104,-0.78878111,,,,,,,,,,,,,,77.84210526,108.8316092,93.98579117,61.19924812,115.1867925,,101.673805,,92.85200993,103.5352357,98.69210918,
2608,Jhoulys Chacín,COL,4,2,0,35,0,47.1,7.035212591,3.992958497,1.330986166,0.315789474,0.49853372,0.392405063,0.116666666,7.605635233,4.74,4.929332752,4.883322128,-0.242646515,0.09160305,92.75101047,-1.446499713,0.27735369,87.17199147,-1.604737941,0.35368957,93.04540664,-6.459937096,0.02544529,85.46794434,0.00821941,0.19465649,80.16648795,-1.728185415,0.05725191,79.55379774,0.997614294,,,,,,,,,,,,,,50.44285714,139.4030928,70.05362319,73.45658363,102.7909502,,,,97.01679389,97.14910941,95.60038168,
2859,Ross Detwiler,CIN,0,2,1,30,0,26.1,9.569622795,3.417722427,1.708861213,0.342105263,0.83783784,0.382716049,0.192307692,4.443039155,5.42,4.935216296,3.928492149,-0.086891927,0.25690021,92.48838617,-1.431414094,,,,0.2462845,91.88851192,-0.378212463,0.02760085,86.90594952,-0.357127368,0.43524416,86.10615473,-3.080755021,0.03397028,77.17770386,0.033300158,,,,,,,,,,,,,,65.94615385,49.12,71.58319328,72.6112069,,,104.2985149,,85.16924731,105.6647312,95.5627957,
3096,Kenley Jansen,ATL,5,2,41,65,0,64,11.95312571,3.093750184,1.125000067,0.258741259,0.76124567,0.299319727,0.098765432,3.375000201,2.34,3.206181007,3.454773549,1.052234292,,,,0.64435564,92.18273983,12.02896309,0.22477522,93.58852431,-3.209667839,,,,0.13086913,81.12674439,-0.161834609,,,,,,,,,,,,,,,,,,,,82.53963134,103.5122137,,145.9689127,,125.7702405,102.0334669,105.8138277,
3137,Max Scherzer,NYM,11,5,0,23,23,145.1,10.71330313,1.486238584,0.8050459,0.276162791,0.83333333,0.31054131,0.074712643,2.291284484,2.87,2.61701814,3.226542998,4.482833862,0.45404157,94.09630913,14.65231978,0.09237875,89.32922852,-0.564270373,,,,0.1256351,84.1593233,-3.642734051,0.23556582,85.02726716,16.82716616,0.09237875,75.05038574,1.952377699,,,,,,,,,,,,,,73.97279412,52.172,107.5620549,,111.6918651,,96.94368932,,98.20661119,103.719325,104.8434119,
3184,David Price,LAD,2,0,2,40,0,40.1,8.256199388,2.008264716,1.338843144,0.27826087,0.93264249,0.558333333,0.171428571,2.454545764,3.83,3.88102614,3.231759838,0.105824664,0.31879195,92.53346012,3.333155945,0.18120805,88.02488426,2.128708016,0.35234899,91.95172991,-1.611372869,0.1057047,83.78100973,-4.113969106,,,,0.04194631,78.35081055,0.934661653,,,,,,,,,,,,,,72.5796875,,58.63227092,80.00733333,,81.08,96.16226415,,73.12600671,104.0533557,92.07701342,
3237,T.J. McFarland,STL,0,0,0,28,0,32.2,4.408164123,3.030612835,1.377551289,0.333333333,0.60416667,0.530434782,0.166666666,6.612246185,6.13,5.316513063,4.686239944,-0.332481891,,,,,,,0.62833676,88.94517846,-3.208515145,0.21971253,81.97356893,-4.392762076,0.15195072,79.65181588,1.617616225,,,,,,,,,,,,,,,,,66.60934579,,,50.81176471,92.17702703,,,,61.00103734,94.87738589,89.88672199,
