playerid,Name,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch,MLBAMID
11579,Bryce Harper,PHI,126,546,134,83,29,1,21,84,72,11,0.146520146,0.217948717,0.205689278,0.352024922,0.29321663,0.29,0.384218469,0.399,0.498905908,0.53,0.401098901,142.5187689,28.45606655,-11.53859615,4.331983422,-0.304125505,3.536855036,0.672268907,0.15204678,0.46783626,0.34343434,0.7515006,0.51162791,0.48284314,0.81948882,0.68665377,0.37426901,0.37134503,0.25438596,91.81593101,9.148917812,115.739,0.24852071,0.446745562,0.304733727,2.239200168,547180
24064,Ezequiel Tovar,COL,153,615,147,91,37,4,15,79,73,11,0.040650406,0.269918699,0.154905335,0.327543424,0.253012048,0.248,0.298480434,0.291,0.407917383,0.386,0.287112561,72.4581247,-21.79727153,17.99709749,5.535843425,-0.813329324,1.704720238,0.150602409,0.08095238,0.35714286,0.42975894,0.77460902,0.59344978,0.50870406,0.82660333,0.70566593,0.33571429,0.39285714,0.27142857,88.03472327,12.62257624,109.778,0.23501199,0.426858513,0.338129496,2.236415979,678662
19956,Mickey Moniak,LAA,85,323,87,50,21,2,14,35,45,6,0.027863777,0.349845201,0.215434083,0.39673913,0.279742765,0.248,0.339087387,0.308,0.495176848,0.45,0.306501547,114.0260419,6.012648933,1.200321496,4.852477621,0.584269051,1.825662355,0.079646017,0.12626263,0.36868687,0.48026316,0.76058932,0.61251086,0.47260274,0.76029056,0.64113475,0.46464646,0.32323232,0.21212121,89.02266034,19.73676911,110.526,0.241025641,0.312820512,0.446153846,1.984174684,666160
12979,Javier Báez,DET,136,547,113,82,18,4,9,58,59,12,0.043875685,0.228519195,0.103921569,0.274406332,0.221568627,0.234,0.260629561,0.279,0.325490196,0.355,0.267399267,62.59208404,-22.24132898,11.28310633,6.477302375,2.276579428,0.780965117,0.192,0.05141388,0.38817481,0.42567568,0.68221258,0.546476,0.51473923,0.81875994,0.69345794,0.40206186,0.36082474,0.2371134,88.03329951,9.341233766,113.062,0.180878552,0.49870801,0.320413436,1.868883112,595879
19599,Chas McCormick,HOU,115,457,110,69,17,2,22,59,70,19,0.087527352,0.256017505,0.215880893,0.330827067,0.272952853,0.246,0.362037235,0.341,0.488833746,0.457,0.353070175,133.2324821,18.23110126,-0.796296239,5.400753975,0.033608373,3.303961251,0.341880341,0.11072664,0.38754325,0.30120482,0.67264574,0.48476454,0.56,0.81,0.73142857,0.44290657,0.32525952,0.23183391,88.00856899,14.56242435,109.435,0.211267605,0.408450704,0.38028169,1.82336367,676801
14551,Anthony Santander,BAL,153,656,152,82,41,1,28,81,95,5,0.083841463,0.231707317,0.214890017,0.29879518,0.257191201,0.237,0.340428357,0.319,0.472081218,0.426,0.324695121,119.3282256,14.52210991,-10.62508976,3.505192472,-0.670360629,2.635661002,0.361842105,0.10158014,0.46049661,0.34976682,0.65716548,0.49023155,0.67238095,0.85662651,0.78523985,0.46049661,0.32731377,0.21218962,90.57986209,20.22160915,113.041,0.153498871,0.349887133,0.496613995,1.751538981,623993
19522,TJ Friedl,CIN,138,556,136,88,22,8,18,73,66,27,0.084532374,0.161870503,0.18852459,0.308093994,0.278688524,0.24,0.352691414,0.289,0.467213114,0.321,0.352189781,115.4667126,16.70403612,3.745441198,7.244988003,6.050561748,3.922938661,0.522222222,0.03178484,0.27628362,0.23377863,0.57591623,0.41248861,0.66530612,0.8969697,0.83425414,0.44498778,0.33496333,0.2200489,86.65644687,16.12140977,107.123,0.196286472,0.384615384,0.419098143,1.690665245,670770
15223,Adam Frazier,BAL,141,455,99,63,21,2,13,59,60,11,0.07032967,0.149450549,0.155339805,0.258258258,0.240291262,0.261,0.302405975,0.301,0.395631067,0.361,0.3,92.97407896,-2.416801487,-8.872182727,5.498945224,1.413625951,0.432845953,0.470588235,0.03133903,0.22792023,0.296875,0.64558342,0.47970269,0.63562753,0.89358108,0.81764005,0.39142857,0.35142857,0.25714286,85.66973505,15.1877038,106.683,0.266666666,0.365217391,0.368115942,1.618833026,624428
17901,Andrew Benintendi,CHW,151,621,147,106,34,2,5,72,45,13,0.083735909,0.14331723,0.09430605,0.301486199,0.261565836,0.27,0.298992569,0.31,0.355871886,0.375,0.325806451,87.48942371,-7.671038491,-17.1167388,5.003841201,1.637928581,-0.344604205,0.584269662,0.0293501,0.26834382,0.27338129,0.68119451,0.48830285,0.70723684,0.87085308,0.82752613,0.32494759,0.38155136,0.29350105,86.58105469,14.53422624,109.131,0.262156448,0.391120507,0.346723044,1.593350994,643217
13590,Jesse Winker,MIL,61,197,33,27,5,0,1,16,23,0,0.131979695,0.258883248,0.048192771,0.278260869,0.19879518,0.204,0.269283669,0.287,0.246987951,0.296,0.319796954,65.68690511,-9.500985341,-5.214807265,1.134236446,-1.126761307,-0.79997195,0.509803921,0.04310345,0.31896552,0.19704433,0.64470588,0.42599278,0.5625,0.85766423,0.79096045,0.42241379,0.35344828,0.22413793,86.8190918,13.60804591,107.05,0.258620689,0.387931034,0.353448275,1.586788431,608385
14221,Jorge Soler,MIA,137,580,126,66,24,0,36,77,75,1,0.113793103,0.243103448,0.261904761,0.271903323,0.25,0.262,0.36067215,0.374,0.511904761,0.532,0.34137931,124.6902135,14.89941161,-16.62980032,1.839210759,-2.841310673,1.792531551,0.468085106,0.14986376,0.47956403,0.25225965,0.65114155,0.44117647,0.54071661,0.83730715,0.74803922,0.46321526,0.35149864,0.1852861,91.30922173,17.75144622,114.82,0.179836512,0.356948228,0.463215258,1.543474363,624585
11680,Elias Díaz,COL,141,526,130,90,25,1,14,48,72,1,0.064638783,0.2243346,0.141975309,0.324022346,0.267489711,0.245,0.314184874,0.296,0.40946502,0.376,0.315589353,82.98613289,-12.93442453,-5.149700642,2.155594524,-1.847598356,-0.021178067,0.288135593,0.06182796,0.3844086,0.3444227,0.76403326,0.54788306,0.52272727,0.8462585,0.74149034,0.42741935,0.35215054,0.22043011,88.06786712,12.72083773,111.724,0.17204301,0.467741935,0.360215053,1.527351947,553869
16442,Ryan O'Hearn,BAL,112,368,100,63,22,1,14,48,60,5,0.040760869,0.222826086,0.190751445,0.339920948,0.289017341,0.264,0.339215127,0.324,0.479768786,0.464,0.321525885,118.4873094,7.178679743,-4.329297066,4.542035313,-0.973131335,1.544679113,0.182926829,0.10074627,0.51492537,0.31955923,0.69241379,0.50585803,0.61206897,0.87450199,0.79155313,0.3880597,0.35074627,0.26119403,91.934296,12.02360849,109.734,0.202247191,0.434456928,0.36329588,1.521374487,656811
19556,Yordan Alvarez,HOU,114,496,120,64,24,1,31,77,97,0,0.139112903,0.18548387,0.290243903,0.305841924,0.292682926,0.297,0.415487398,0.435,0.582926829,0.623,0.407258064,170.2799612,37.28451173,-11.16071355,1.83747739,-4.483689058,4.303996392,0.75,0.18012422,0.52173913,0.27821012,0.62159091,0.43658281,0.62937063,0.88117002,0.79471789,0.39130435,0.33229814,0.27639752,93.26638184,17.06547699,117.719,0.193146417,0.352024922,0.45482866,1.500691776,670541
25878,Corbin Carroll,ARI,155,645,161,96,30,10,25,116,76,54,0.088372093,0.193798449,0.221238938,0.324582338,0.284955752,0.268,0.370275926,0.344,0.50619469,0.441,0.361502347,132.1210443,37.93043149,-6.108128905,9.34070523,12.26386181,5.358546766,0.456,0.07555556,0.40888889,0.28363047,0.63263598,0.45533141,0.62857143,0.88624339,0.80470163,0.42666667,0.33111111,0.24222222,90.02394037,10.96989305,113.756,0.18993135,0.439359267,0.370709382,1.498121354,682998
11899,Joc Pederson,SFG,121,425,84,52,14,3,15,59,51,0,0.134117647,0.209411764,0.181564246,0.26848249,0.234636871,0.264,0.330896612,0.366,0.416201117,0.481,0.348235294,109.3430241,4.999604581,-12.06636548,3.200396821,0.080400313,0.735250732,0.640449438,0.11764706,0.52205882,0.28710726,0.6375,0.44979687,0.65283019,0.8372549,0.77419355,0.46323529,0.33088235,0.20588235,92.08405671,15.16226219,116.623,0.188191881,0.394833948,0.416974169,1.46890605,592626
11445,Mark Canha,- - -,139,507,114,77,25,1,11,51,62,11,0.096646942,0.15581854,0.137931035,0.293447293,0.262068965,0.248,0.332823517,0.323,0.4,0.381,0.355029585,110.6413408,7.700807442,-8.200286303,4.399464325,1.017017837,1.667945571,0.620253164,0.04696133,0.36740331,0.23570712,0.58088235,0.41582734,0.65957447,0.89082278,0.82814302,0.43922652,0.3480663,0.21270718,87.93695085,13.12756752,109.385,0.157458563,0.444751381,0.397790055,1.443267833,592192
18373,Ryan Mountcastle,BAL,115,470,114,74,21,1,18,64,68,3,0.078723404,0.227659574,0.182033097,0.314754098,0.269503546,0.273,0.333261852,0.356,0.451536643,0.503,0.327659574,114.3609641,8.789448421,-8.237646163,3.535362265,0.701953298,1.664960543,0.345794392,0.12074303,0.44582043,0.38074398,0.73100121,0.54733219,0.57758621,0.84653465,0.74842767,0.30650155,0.39318885,0.3003096,91.40487311,12.01652423,114.596,0.195046439,0.436532507,0.368421052,1.421397629,663624
25660,Will Brennan,CLE,138,455,115,86,24,0,5,41,41,13,0.035164835,0.125274725,0.090277778,0.295698924,0.266203703,0.286,0.285080715,0.305,0.356481481,0.378,0.298901098,79.59198372,-12.38220216,-2.665138721,3.937739433,-1.256055844,0.058072015,0.280701754,0.02387268,0.29177719,0.39377537,0.71182549,0.56583851,0.71821306,0.8983871,0.84083425,0.34748011,0.38992042,0.26259947,85.73211621,9.384212585,106.879,0.24668435,0.461538461,0.291777188,1.337503853,686823
12434,Kevin Pillar,ATL,81,206,45,26,10,0,9,29,32,4,0.029126213,0.242718446,0.187817259,0.255319148,0.228426395,0.255,0.2795915,0.295,0.416243654,0.418,0.247572815,71.77187277,-6.454150006,2.209601164,5.160039989,0.749751136,0.274686965,0.12,0.08,0.38666667,0.42780749,0.69371728,0.56216931,0.58125,0.8490566,0.74823529,0.52666667,0.26,0.21333333,87.86579147,17.82347486,110.233,0.241610738,0.348993288,0.409395973,1.28043938,607680
