playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2023 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
10264,Brandon Belt,1B,L,L,TOR,36,12.128,2.164686441,,1,9500000,9500000,,,,,
4314,Joey Votto,1B,L,R,CIN,40,16.027,0.023810796,,,0,,,TOR,1,0,
15653,Dominic Smith,1B,L,L,WSN,29,5.081,-0.031604685,,,0,,,CHC,1,0,
12546,C.J. Cron,1B,R,R,LAA,34,9.097,-0.32261157,,1,5000000,5000000,,BOS,1,0,
19198,Yuli Gurriel,1B,R,R,MIA,40,7.043,-0.398964852,,,0,,,ATL,1,,
18607,Jared Walsh,1B,L,L,LAA,30,3.114,-0.86601162,,,0,,,TEX,1,181452,181452
16472,Rhys Hoskins,1B,R,R,PHI,31,6.053,,,1,14000000,14000000,,MIL,2,34000000,17000000
13329,Jake Lamb,1B/3B,L,R,LAA,33,8.01,-0.015886202,,,0,,,PIT,1,0,
4892,Mike Moustakas,1B/3B,L,R,LAA,35,12.111,-0.442318201,,,0,,,CHW,1,0,
17321,Michael Chavis,1B/3B/2B,R,R,WSN,28,4.089,0.126896709,,,0,,,SEA,1,0,
5235,Justin Turner,1B/3B/DH,R,R,BOS,39,13.045,1.059570789,,1,12000000,12000000,,TOR,1,13000000,13000000
12775,Brad Miller,1B/3B/LF,L,R,TEX,34,10.004,-0.080844916,,,0,,,SDP,1,0,
2396,Carlos Santana,1B/DH,S,R,MIL,38,13.115,1.466523051,,1,7000000,7000000,,MIN,1,5250000,5250000
15585,Mike Ford,1B/DH,L,R,SEA,31,3.008,0.756137669,,,0,,,CIN,1,0,
15279,Garrett Cooper,1B/DH,R,R,SDP,33,6.053,0.411967933,,,0,,,CHC,1,733871,733871
9929,Darin Ruf,1B/DH,R,R,MIL,37,6.138,-0.138074577,,,0,,,,,,
5452,Ji Man Choi,1B/DH,L,R,SDP,33,6.076,-0.488123864,,,0,,,NYM,1,0,
15679,Rowdy Tellez,1B/DH,L,L,MIL,29,5.004,-0.728759885,,,0,,,PIT,1,3200000,3200000
