playerid,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO,MLBAMID
13276,Matt Carasiti,COL,1,0,1,16,0,24.1,5.917809456,4.068494001,1.109589273,0.316455696,0.58659218,0.560975609,0.157894736,6.287672547,5.3,5.022164017,4.710397513,-0.042811394,0.00973236,95.02690125,0.210166678,0.07055961,91.65669619,-1.718611393,0.64233577,95.40988252,0.200440027,,,,,,,,,,,,,0.27737226,81.46842448,-1.503989458,,,,,,,,,,,82.2488,,,77.90416667,,83.75782493,96.03076923,92.48806366,88.62095238,571539
31838,Kodai Senga,NYM,12,7,0,29,29,166.1,10.92986005,4.166332793,0.919839707,0.27735369,0.80347448,0.44691358,0.115646258,2.975951995,3.87,3.633797886,3.76631918,3.439357042,0.37011824,95.87375968,2.20023717,0.24686492,91.02645365,17.46146863,,,,,,,0.11931207,82.94990498,-3.28835167,0.02472232,72.51947464,-0.646581549,,,,0.23898244,83.38639665,6.627070181,,,,,,,,,90.57066667,109.3457364,,99.76923077,,93.00372493,,97.39797297,94.91475818,96.67123044,83.00528701,673540
1157,Tommy Hunter,NYM,0,1,0,14,0,23.2,7.605635233,1.901408808,2.28169057,0.301369863,0.56390977,0.46835443,0.1875,6.84507171,5.13,5.747998575,4.687741592,-0.281336933,0.09264305,92.71131807,0.482117984,0.3106267,90.41550164,-3.388067007,0.38147139,92.26090262,4.117444038,0.07356948,86.5458894,-1.768283684,0.13079019,84.02442424,-2.641855609,0.01089918,81.06869507,-1.102054972,,,,,,,,,,,,,,69.07777778,103.4865385,77.80689655,72.78125,,,88.74869565,,82.73766938,105.6363144,100.6723577,,488984
1246,Matt Bush,MIL,0,2,1,12,0,10.1,8.709679295,5.225807577,4.354839647,0.222222222,0.6,0.28125,0.416666666,9.580647224,10.87,9.351815866,4.981513736,-0.704495966,0.51030928,94.7768604,-3.2564415,,,,0.07731959,94.5890625,0.280369218,,,,0.02061856,80.40810394,-1.512292773,0.39175258,77.53279837,0.099261083,,,,,,,,,,,,,,,139.7381579,107.0138614,48.46153846,100.7,,,,113.459596,93.90757576,97.31919192,,456713
1247,Adam Ottavino,NYM,1,7,12,66,0,61.2,9.048649582,4.232432869,1.021621727,0.251612903,0.80601093,0.5625,0.145833333,3.210811142,3.53,4.519905355,4.331162917,-0.070763446,0.0546875,93.38697161,2.084027916,0.1484375,88.03860634,-1.38004154,0.37597656,92.82206778,1.819485735,0.140625,87.82068549,3.330269989,0.28027344,79.89324505,1.1708568,,,,,,,,,,,,,,,,,75.9056338,,95.68070175,99.44637306,114.6677193,,98.72207792,,99.99562257,94.81643969,95.74640078,,493603
1890,Matt Moore,- - -,5,1,0,50,0,52.2,10.25316561,2.563291402,1.196202654,0.293233083,0.88560886,0.350364963,0.112903225,2.563291402,3.28,3.729723953,3.948226673,0.646787267,0.47619048,94.03074732,1.044103835,,,,,,,0.31501832,84.18594621,8.140546869,,,,0.20879121,84.34511633,-2.32611699,,,,,,,,,,,,,,95.18737794,,97.33081097,,,118.7423313,,,101.0537503,98.64382726,101.0619973,,519043
1943,Zack Greinke,KCR,2,15,0,30,27,142.1,6.133489516,1.454332566,1.580796267,0.29954955,0.68666667,0.431330472,0.147928994,5.058548055,5.06,4.744501731,4.42424257,1.108583796,0.26408292,89.71707101,3.440665592,0.0648941,85.585957,-1.886775587,0.16043263,89.928785,-4.812238805,0.16493916,86.61143485,-0.133938808,0.2032447,79.35768117,5.31138815,0.14195584,72.66238219,-9.259834163,0.00045065,58.02840042,-0.036386766,,,,,,,,,,,84.24634146,95.78429487,72.21986418,76.3591954,94.2954955,,100.4410256,,84.62803201,104.0193773,100.1860389,,425844
2036,Clayton Kershaw,LAD,13,5,0,24,24,131.2,9.3645566,2.73417711,1.298734127,0.25,0.89347079,0.475073313,0.168141592,2.460759399,3.77,4.029723874,3.572727042,2.356888294,0.36920039,90.86030456,1.614941385,,,,0.00246792,90.90385742,0.634990845,0.00394867,86.47025299,-0.399146669,0.43287266,86.65116341,18.27707051,0.17522211,73.48814921,0.455893598,,,,0.01579467,84.18800354,0.907635398,,,,,,,0.00049358,34.09428571,93.68,95.8618984,90.25,112.2631399,,,116.06,101.3904433,99.6773399,101.1815271,,477132
2233,Adam Wainwright,STL,5,11,0,21,21,101,4.900990469,3.653465623,1.782178352,0.356948229,0.63030303,0.401041666,0.138888888,7.396040163,7.35,5.987713833,5.770710377,-0.360153168,0.09635854,85.94800372,-3.450412843,0.22913165,83.1309119,-0.156663097,0.31372549,87.11315569,-18.94550931,0.05042017,81.67090929,-3.046801824,0.0022409,76.04932404,-0.656163141,0.30756303,71.75698714,-8.308264595,0.00056022,63.12540054,0.264443666,,,,,,,,,,,65.53820225,129.2521822,79.83136095,86.50261682,83.25,,106.5748705,,102.9368267,99.06826698,96.53413349,,425794
2429,Corey Kluber,BOS,3,6,1,15,9,55,6.87272763,3.436363815,2.781818327,0.300578035,0.66951567,0.301587301,0.188888888,7.036364002,6.28,7.109586015,5.796888816,-0.809653997,0.01919192,88.50917615,0.13189758,0.27070707,86.39926102,-8.587552808,0.26969697,88.52661681,-12.490769,0.15858586,82.45211423,1.05330614,0.28181818,80.82324044,-0.293346614,,,,,,,,,,,,,,,,,81.52611465,106.4014337,83.53478261,76.79384615,,,107.4479705,,94.4435411,100.4373012,96.75318305,,446372
