playerid,Name_x,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch,MLBAMID,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2023 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
15223,Adam Frazier,BAL,141,455,99,63,21,2,13,59,60,11,0.07032967,0.149450549,0.155339805,0.258258258,0.240291262,0.261,0.302405975,0.301,0.395631067,0.361,0.3,92.97407896,-2.416801487,-8.872182727,5.498945224,1.413625951,0.432845953,0.470588235,0.03133903,0.22792023,0.296875,0.64558342,0.47970269,0.63562753,0.89358108,0.81764005,0.39142857,0.35142857,0.25714286,85.66973505,15.1877038,106.683,0.266666666,0.365217391,0.368115942,1.618833026,624428,Adam Frazier,2B,L,R,BAL,32,7.075,0.43284592,,1.0,6000000,6000000.0,,KCR,1.0,4500000.0,4500000.0
13590,Jesse Winker,MIL,61,197,33,27,5,0,1,16,23,0,0.131979695,0.258883248,0.048192771,0.278260869,0.19879518,0.204,0.269283669,0.287,0.246987951,0.296,0.319796954,65.68690511,-9.500985341,-5.214807265,1.134236446,-1.126761307,-0.79997195,0.509803921,0.04310345,0.31896552,0.19704433,0.64470588,0.42599278,0.5625,0.85766423,0.79096045,0.42241379,0.35344828,0.22413793,86.8190918,13.60804591,107.05,0.258620689,0.387931034,0.353448275,1.586788431,608385,Jesse Winker,LF/RF/DH,L,L,MIL,30,6.08,-0.799971938,,,0,,,WSN,1.0,2000000.0,2000000.0
14221,Jorge Soler,MIA,137,580,126,66,24,0,36,77,75,1,0.113793103,0.243103448,0.261904761,0.271903323,0.25,0.262,0.36067215,0.374,0.511904761,0.532,0.34137931,124.6902135,14.89941161,-16.62980032,1.839210759,-2.841310673,1.792531551,0.468085106,0.14986376,0.47956403,0.25225965,0.65114155,0.44117647,0.54071661,0.83730715,0.74803922,0.46321526,0.35149864,0.1852861,91.30922173,17.75144622,114.82,0.179836512,0.356948228,0.463215258,1.543474363,624585,Jorge Soler,RF/LF/DH,R,R,MIA,32,8.143,1.79253149,,3.0,48000000,16000000.0,,SFG,3.0,42000000.0,12142857.0
11899,Joc Pederson,SFG,121,425,84,52,14,3,15,59,51,0,0.134117647,0.209411764,0.181564246,0.26848249,0.234636871,0.264,0.330896612,0.366,0.416201117,0.481,0.348235294,109.3430241,4.999604581,-12.06636548,3.200396821,0.080400313,0.735250732,0.640449438,0.11764706,0.52205882,0.28710726,0.6375,0.44979687,0.65283019,0.8372549,0.77419355,0.46323529,0.33088235,0.20588235,92.08405671,15.16226219,116.623,0.188191881,0.394833948,0.416974169,1.46890605,592626,Joc Pederson,DH/LF/RF,L,L,SFG,32,9.028,0.735250771,,2.0,24000000,12000000.0,,ARI,1.0,12500000.0,12500000.0
12434,Kevin Pillar,ATL,81,206,45,26,10,0,9,29,32,4,0.029126213,0.242718446,0.187817259,0.255319148,0.228426395,0.255,0.2795915,0.295,0.416243654,0.418,0.247572815,71.77187277,-6.454150006,2.209601164,5.160039989,0.749751136,0.274686965,0.12,0.08,0.38666667,0.42780749,0.69371728,0.56216931,0.58125,0.8490566,0.74823529,0.52666667,0.26,0.21333333,87.86579147,17.82347486,110.233,0.241610738,0.348993288,0.409395973,1.28043938,607680,Kevin Pillar,RF/LF/CF,R,R,ATL,35,9.072,0.274687022,,,0,,,CHW,1.0,172043.0,172043.0
12434,Kevin Pillar,ATL,81,206,45,26,10,0,9,29,32,4,0.029126213,0.242718446,0.187817259,0.255319148,0.228426395,0.255,0.2795915,0.295,0.416243654,0.418,0.247572815,71.77187277,-6.454150006,2.209601164,5.160039989,0.749751136,0.274686965,0.12,0.08,0.38666667,0.42780749,0.69371728,0.56216931,0.58125,0.8490566,0.74823529,0.52666667,0.26,0.21333333,87.86579147,17.82347486,110.233,0.241610738,0.348993288,0.409395973,1.28043938,607680,Kevin Pillar,RF/LF/CF,R,R,ATL,35,9.072,0.274687022,,,0,,,LAA,1.0,608710.0,608710.0
12155,Eddie Rosario,ATL,142,516,122,74,24,3,21,64,74,3,0.065891472,0.236434108,0.194560669,0.299703264,0.255230125,0.254,0.322259527,0.317,0.449790794,0.436,0.304854368,100.375843,-1.671869693,-3.094800711,3.667839084,-1.912125879,1.272924536,0.278688524,0.09470752,0.35097493,0.44346979,0.71995465,0.57127883,0.61538462,0.8,0.72293578,0.44289694,0.35933148,0.19777159,88.62466627,14.49897967,110.351,0.221288515,0.400560224,0.37815126,1.20022664,592696,Eddie Rosario,LF/RF/DH,L,R,ATL,32,8.12,1.272924423,,,0,,,WSN,1.0,1064516.0,1064516.0
13621,Jeimer Candelario,- - -,140,576,127,63,39,3,22,77,70,8,0.092013888,0.220486111,0.21980198,0.291666666,0.251485148,0.236,0.345868021,0.318,0.471287128,0.407,0.335652173,118.381445,12.96555611,-0.046938419,5.255989151,-0.151023246,3.239741586,0.417322834,0.07832898,0.36292428,0.2951758,0.67117117,0.47406772,0.59833795,0.86979866,0.78119349,0.45549738,0.31937173,0.22513089,88.28385331,14.11301751,111.325,0.193717277,0.40052356,0.405759162,1.086930354,600869,Jeimer Candelario,3B/1B,S,R,CHC,30,6.038,3.238613129,,3.0,36000000,12000000.0,,CIN,3.0,45000000.0,15000000.0
5235,Justin Turner,BOS,146,626,154,100,31,0,23,86,96,4,0.081469648,0.175718849,0.179211469,0.303944315,0.275985663,0.26,0.345657466,0.336,0.455197132,0.444,0.345047923,114.5777847,5.731849514,-16.60985303,3.085938228,-5.202638286,1.059570667,0.463636363,0.05726872,0.38986784,0.25764895,0.61694678,0.44981273,0.690625,0.89784336,0.84263114,0.40969163,0.32599119,0.26431718,89.45320244,16.45367459,108.227,0.229074889,0.356828193,0.414096916,1.011637264,457759,Justin Turner,1B/3B/DH,R,R,BOS,39,13.045,1.059570789,,1.0,12000000,12000000.0,,TOR,1.0,13000000.0,13000000.0
12532,Kolten Wong,- - -,87,250,41,31,6,0,4,25,27,3,0.072,0.212,0.080357143,0.217647058,0.183035714,0.213,0.235975442,0.262,0.263392857,0.29,0.256,49.56475453,-15.09060102,-0.741452619,3.586425165,-0.02384238,-0.723652827,0.339622641,0.01724138,0.25862069,0.25366876,0.67850099,0.47256098,0.52892562,0.89534884,0.8,0.45977011,0.2816092,0.25862069,85.62764631,13.9643462,107.879,0.159763313,0.437869822,0.402366863,1.000733363,543939,Kolten Wong,2B,L,R,LAD,33,10.031,-0.723648071,,,0,,,BAL,1.0,0.0,
