playerid,Name_x,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,FA% (pi),vFA (pi),wFA (pi),FC% (pi),vFC (pi),wFC (pi),SI% (pi),vSI (pi),wSI (pi),CH% (pi),vCH (pi),wCH (pi),SL% (pi),vSL (pi),wSL (pi),CU% (pi),vCU (pi),wCU (pi),CS% (pi),vCS (pi),wCS (pi),FS% (pi),vFS (pi),wFS (pi),KN% (pi),vKN (pi),wKN (pi),SB% (pi),vSB (pi),wSB (pi),XX% (pi),Stf+ CH,Stf+ CU,Stf+ FA,Stf+ SI,Stf+ SL,Stf+ KC,Stf+ FC,Stf+ FS,Stuff+,Location+,Pitching+,Stf+ FO,MLBAMID,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2023 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
1246,Matt Bush,MIL,0,2,1,12,0,10.1,8.709679295,5.225807577,4.354839647,0.222222222,0.6,0.28125,0.416666666,9.580647224,10.87,9.351815866,4.981513736,-0.704495966,0.51030928,94.7768604,-3.2564415,,,,0.07731959,94.5890625,0.280369218,,,,0.02061856,80.40810394,-1.512292773,0.39175258,77.53279837,0.099261083,,,,,,,,,,,,,,,139.7381579,107.0138614,48.46153846,100.7,,,,113.459596,93.90757576,97.31919192,,456713,Matt Bush,RP,R,R,TEX,38,5.058,-0.704495966,,,0,,,,,,
1247,Adam Ottavino,NYM,1,7,12,66,0,61.2,9.048649582,4.232432869,1.021621727,0.251612903,0.80601093,0.5625,0.145833333,3.210811142,3.53,4.519905355,4.331162917,-0.070763446,0.0546875,93.38697161,2.084027916,0.1484375,88.03860634,-1.38004154,0.37597656,92.82206778,1.819485735,0.140625,87.82068549,3.330269989,0.28027344,79.89324505,1.1708568,,,,,,,,,,,,,,,,,75.9056338,,95.68070175,99.44637306,114.6677193,,98.72207792,,99.99562257,94.81643969,95.74640078,,493603,Adam Ottavino,RP,S,R,NYM,38,12.087,-0.070763446,,,0,,,NYM,1.0,4500000.0,4500000.0
1890,Matt Moore,- - -,5,1,0,50,0,52.2,10.25316561,2.563291402,1.196202654,0.293233083,0.88560886,0.350364963,0.112903225,2.563291402,3.28,3.729723953,3.948226673,0.646787267,0.47619048,94.03074732,1.044103835,,,,,,,0.31501832,84.18594621,8.140546869,,,,0.20879121,84.34511633,-2.32611699,,,,,,,,,,,,,,95.18737794,,97.33081097,,,118.7423313,,,101.0537503,98.64382726,101.0619973,,519043,Matt Moore,RP,L,L,MIA,35,11.0,0.646787286,,1.0,7000000,7000000.0,,LAA,1.0,9000000.0,9000000.0
1943,Zack Greinke,KCR,2,15,0,30,27,142.1,6.133489516,1.454332566,1.580796267,0.29954955,0.68666667,0.431330472,0.147928994,5.058548055,5.06,4.744501731,4.42424257,1.108583796,0.26408292,89.71707101,3.440665592,0.0648941,85.585957,-1.886775587,0.16043263,89.928785,-4.812238805,0.16493916,86.61143485,-0.133938808,0.2032447,79.35768117,5.31138815,0.14195584,72.66238219,-9.259834163,0.00045065,58.02840042,-0.036386766,,,,,,,,,,,84.24634146,95.78429487,72.21986418,76.3591954,94.2954955,,100.4410256,,84.62803201,104.0193773,100.1860389,,425844,Zack Greinke,SP,R,R,KCR,40,19.057,1.108583808,,1.0,7000000,7000000.0,,,,,
2036,Clayton Kershaw,LAD,13,5,0,24,24,131.2,9.3645566,2.73417711,1.298734127,0.25,0.89347079,0.475073313,0.168141592,2.460759399,3.77,4.029723874,3.572727042,2.356888294,0.36920039,90.86030456,1.614941385,,,,0.00246792,90.90385742,0.634990845,0.00394867,86.47025299,-0.399146669,0.43287266,86.65116341,18.27707051,0.17522211,73.48814921,0.455893598,,,,0.01579467,84.18800354,0.907635398,,,,,,,0.00049358,34.09428571,93.68,95.8618984,90.25,112.2631399,,,116.06,101.3904433,99.6773399,101.1815271,,477132,Clayton Kershaw,SP,L,L,LAD,36,15.105,2.356888294,,1.0,21000000,21000000.0,,LAD,2.0,16000000.0,8000000.0
2520,Lance Lynn,- - -,13,11,0,32,32,183.2,9.359346772,3.283121643,2.156079885,0.291750503,0.67846608,0.356472795,0.19047619,5.733212421,4.86,5.53090246,4.496007283,0.457522228,0.43479634,92.64238381,-5.755545147,0.23334386,88.81888135,-0.409644157,0.12724976,91.46031231,3.88201588,0.06883486,84.99837389,-3.081162084,0.0786233,81.03189516,-7.219116226,0.05715188,83.10246083,-5.318492804,,,,,,,,,,,,,,56.21538462,108.6132479,92.2567509,93.31303258,97.00831068,,104.2495879,,93.75764893,101.9852693,100.0795657,,458681,Lance Lynn,SP,S,R,LAD,37,12.119,0.457522213,,1.0,10000000,10000000.0,,STL,1.0,11000000.0,11000000.0
2895,Zach McAllister,NYY,0,0,0,7,0,5.1,8.437502012,3.375000805,3.375000805,0.368421053,0.54347826,0.3,0.222222222,10.12500241,7.58,7.942541477,5.857572065,-0.159504965,0.54471545,91.83559497,-3.052227296,0.28455285,87.66769671,-1.138323657,0.02439024,92.0982666,-0.665830143,0.07317073,83.05088976,0.195822511,0.07317073,81.17335341,0.192666091,,,,,,,,,,,,,,,,,119.9111111,,,107.9414286,114.7,,63.66285714,,95.51439394,103.9348485,112.0901515,,502083,Zach McAllister,RP,R,R,NYY,36,6.069,-0.159504965,,,0,,,,,,
3548,Liam Hendriks,CHW,2,0,1,5,0,5.0,5.4,1.8,1.8,0.2,0.55555556,0.5,0.166666666,5.4,3.96,5.255040359,4.639062464,-0.05848404,0.5862069,95.54696117,0.492773354,,,,,,,,,,0.3908046,88.10586368,-0.281956445,0.02298851,85.0775528,-0.063332479,,,,,,,,,,,,,,,150.6,126.3784314,,96.61176471,,,,115.3022989,98.14367816,103.9655172,,521230,Liam Hendriks,RP,R,R,CHW,35,9.164,-0.05848404,,,0,,,BOS,2.0,10000000.0,5000000.0
4806,Rich Hill,- - -,8,14,0,32,27,146.1,7.933940843,3.567198209,1.4145786,0.320541761,0.66734075,0.379912663,0.13372093,5.41230073,5.66,4.867796638,4.767863847,0.745836541,0.34150198,88.41339903,-2.246708922,0.14703557,83.28666031,-4.278223138,0.04387352,85.96659177,2.767044667,0.00948617,82.81960615,0.082724329,0.09565217,71.33108092,-6.417670507,0.35217391,71.88573972,-9.645190995,0.00039526,64.5134964,0.056342572,0.00988142,82.84761475,-0.406708237,,,,,,,,80.31609195,115.9196648,76.94947977,98.106,89.79392975,,85.01397849,,93.54672401,96.79120373,97.21511608,,448179,Rich Hill,SP,L,L,SDP,44,14.127,0.745836556,,,0,,,,,,
5003,Jake Diekman,- - -,0,2,0,63,0,56.2,10.16470805,6.035295404,0.47647069,0.248175182,0.6545961,0.467625899,0.06,3.335294829,3.38,3.749158112,4.519762765,0.431977913,0.62800418,95.57261335,5.922417957,0.03761755,89.0965644,0.571453407,0.01567398,95.2902832,0.547533788,0.14315569,88.01654275,2.162727691,0.17554859,83.83014497,0.158999562,,,,,,,,,,,,,,,,,91.59657534,,163.3851468,105.5105795,138.8367166,,107.8361111,,140.3291593,93.36327312,102.8849104,,518617,Jake Diekman,RP,R,L,TBR,37,11.05,0.431977928,,,0,,,NYM,1.0,4000000.0,4000000.0
