playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,2024 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
17432,Jeff Hoffman,RP,R,R,PHI,32,6.084,2.042233706,0.887159526,3,30000000,10000000,,TOR,3,33000000,11000000
9073,Kirby Yates,RP,L,R,TEX,38,10.021,1.919254899,0.441972643,1,9000000,9000000,,,,,
8241,David Robertson,RP,R,R,TEX,40,15.119,1.873952389,0.692042291,1,10000000,10000000,,,,,
17586,Tanner Scott,RP,R,L,SDP,30,6.059,1.638567209,0.849746168,3,36000000,12000000,,LAD,4,72000000,17127897
3096,Kenley Jansen,RP,S,R,BOS,37,14.073,1.421049714,0.440925241,1,12000000,12000000,,,,,
14542,Carlos Estévez,RP,R,R,PHI,32,8.022,1.156280875,0.302548617,2,18000000,9000000,,,,,
10233,Aroldis Chapman,RP,L,L,PIT,37,14.009,1.108228803,0.793967128,1,10000000,10000000,,BOS,1,10750000,10750000
16258,Aaron Bummer,RP,L,L,ATL,31,6.15,1.09362638,0.696157157,,0,,,ATL,2,13000000,6500000
12572,Blake Treinen,RP,R,R,LAD,37,10.065,0.982824922,0.639761209,1,8000000,8000000,,LAD,2,22000000,11000000
13346,Hoby Milner,RP,L,L,MIL,34,5.068,0.914420843,0.259300768,,0,,,TEX,1,2500000,2500000
11847,Chris Martin,RP,R,R,BOS,39,7.133,0.901055753,0.675911427,1,7000000,7000000,,TEX,1,5500000,5500000
14524,José Leclerc,RP,R,R,TEX,31,8.041,0.832681298,0.226112664,2,12000000,6000000,,ATH,1,10000000,10000000
12857,Shawn Armstrong,RP,R,R,CHC,34,6.113,0.682803392,0.346807599,,0,,,TEX,1,1250000,1250000
19274,Jacob Webb,RP,R,R,BAL,31,4.046,0.637088716,0.039444689,,0,,,TEX,1,1250000,1250000
17192,Jalen Beeks,RP,L,L,PIT,31,6.003,0.617543221,0.318098396,,0,,,,,,
13394,Dylan Floro,RP,L,R,ARI,34,7.053,0.602492213,0.003867363,1,3000000,3000000,,,,,
14814,Buck Farmer,RP,L,R,CIN,34,7.14,0.573782086,-0.001662058,,0,,,,,,
13293,Danny Coulombe,RP,L,L,BAL,35,6.008,0.522052646,0.292421907,,0,,,,,,
16814,Tim Hill,RP,R,L,NYY,35,6.112,0.494999468,-0.087185957,,0,,,,,,
1247,Adam Ottavino,RP,S,R,NYM,39,13.087,0.457903206,0.226590648,,0,,,,,,
12988,Andrew Chafin,RP,R,L,TEX,35,10.02,0.421862841,0.200741038,,0,,,,,,
12095,Yimi García,RP,R,R,SEA,34,9.149,0.391343206,0.615440309,1,5000000,5000000,,TOR,2,15000000,7500000
13892,Paul Sewald,RP,R,R,ARI,35,6.072,0.349804282,0.224943355,1,6500000,6500000,,CLE,1,7000000,7000000
12784,Burch Smith,RP,R,R,BAL,35,5.086,0.339449763,0.001287495,,0,,,PIT,1,0,
3237,T.J. McFarland,RP,L,L,ATH,36,9.05,0.339210004,-0.034687877,,0,,,ATH,1,1800000,1800000
12828,Andrew Kittredge,RP,R,R,STL,35,6.07,0.313300043,0.23246257,1,3000000,3000000,,BAL,1,10000000,10000000
10061,Brooks Raley,RP,L,L,NYM,37,5.045,0.300667405,0.100008495,1,4000000,4000000,,,,,
6984,Luis García,RP,R,R,BOS,38,9.007,0.295534223,0.331403822,1,3000000,3000000,,,,,
19349,Caleb Ferguson,RP,R,L,HOU,28,6.093,0.286290705,0.420984358,1,3000000,3000000,,PIT,1,3000000,3000000
7836,Hunter Strickland,RP,R,R,LAA,36,8.033,0.258187175,-0.130557343,,0,,,,,,
17755,Drew Smith,RP,R,R,NYM,31,6.034,0.220380157,0.005892416,1,2000000,2000000,,,,,
18335,Josh Staumont,RP,R,R,MIN,31,5.028,0.217351317,0.026109533,,0,,,,,,
17796,Dillon Tate,RP,R,R,TOR,31,4.144,0.213925779,0.038286652,,0,,,,,,
15068,Yency Almonte,RP,R,R,CHC,31,5.143,0.211131349,0.003537383,,0,,,,,,
13942,Brent Suter,RP,L,L,CIN,35,7.161,0.209855512,-0.063636459,,0,,,CIN,1,2500000,2500000
14527,Jorge López,RP,R,R,CHC,32,6.094,0.196159512,0.188810363,,0,,,WSN,1,3000000,3000000
10078,Caleb Thielbar,RP,R,L,MIN,38,6.131,0.186697096,0.407593995,1,3000000,3000000,,CHC,1,2750000,2750000
4301,Justin Wilson,RP,L,L,CIN,37,12.035,0.150765941,0.501179278,,0,,,BOS,1,2250000,2250000
19753,Jonathan Loáisiga,RP,R,R,NYY,30,6.022,0.148720786,0.446984977,1,3000000,3000000,,NYY,1,5000000,5000000
6655,Craig Kimbrel,RP,R,R,BAL,37,13.161,0.142890587,0.366976231,1,6000000,6000000,,,,,
12777,John Brebbia,RP,L,R,ATL,35,7.078,0.1387164,0.250582218,,0,,,,,,
12863,Matt Barnes,RP,R,R,WSN,35,8.152,0.132618174,-0.034642689,,0,,,,,,
18064,Phil Maton,RP,R,R,NYM,32,7.047,0.105010569,0.118705422,,0,,,,,,
11384,Tommy Kahnle,RP,R,R,NYY,35,9.131,0.078290857,0.218562543,,0,,,,,,
10591,Scott Alexander,RP,L,L,ATH,35,7.08,0.078217439,0.179353058,,0,,,,,,
19309,Trevor Richards,RP,R,R,MIN,32,6.07,0.078178957,-0.017954249,,0,,,,,,
14993,Scott Barlow,RP,R,R,CLE,32,6.026,0.038422238,0.189000577,1,4000000,4000000,,,,,
17496,Diego Castillo,RP,R,R,MIN,31,4.169,0.025092594,-0.036802057,,0,,,COL,1,0,
12323,Jacob Barnes,RP,R,R,WSN,35,6.1,0.020245859,-0.032578327,,0,,,,,,
11804,Héctor Neris,RP,R,R,HOU,36,9.068,0.019054972,0.114700869,,0,,,,,,
15047,Austin Voth,RP,R,R,SEA,33,5.115,0.015853606,0.018315211,,0,,,,,,
13801,Austin Adams,RP,R,R,ATH,34,5.15,0.014938382,0.105652399,,0,,,BOS,1,0,
15947,Ryne Stanek,RP,R,R,NYM,33,7.038,-0.013597272,0.172261596,,0,,,,,,
15009,Kyle Finnegan,RP,R,R,WSN,33,5,-0.014416022,0.287197888,,0,,,,,,
15288,Adam Cimber,RP,R,R,LAA,34,6.102,-0.043499675,-0.154766083,,0,,,,,,
16350,Ryan Borucki,RP,L,L,PIT,31,6.006,-0.044543315,0.161020413,,0,,,,,,
9761,Joe Kelly,RP,R,R,LAD,37,12.029,-0.047403477,0.46969685,1,5000000,5000000,,,,,
16502,Ryan Yarbrough,RP,R,L,TOR,33,6.117,-0.053686798,-0.041027792,,0,,,,,,
18655,A.J. Minter,RP,L,L,ATL,31,6.154,-0.053725269,0.540845871,1,5000000,5000000,,NYM,2,22000000,11000000
11487,Joely Rodríguez,RP,L,L,BOS,33,4.137,-0.108650878,0.039423648,,0,,,,,,
11752,Luke Jackson,RP,R,R,ATL,33,8.019,-0.115431346,0.153787598,,0,,,,,,
15042,Tim Mayza,RP,L,L,NYY,33,5.129,-0.148011819,0.068530045,,0,,,,,,
15684,Miguel Castro,RP,R,R,ARI,30,8.033,-0.169064686,-0.013467538,,0,,,HOU,1,0,
10058,Tyler Matzek,RP,L,L,ATL,34,6.003,-0.186407104,-0.085559078,,0,,,,,,
13767,JT Chargois,RP,S,R,SEA,34,5.101,-0.195239782,0.115460388,,0,,,,,,
17610,Tanner Rainey,RP,R,R,WSN,32,5.127,-0.196845204,-0.200887799,,0,,,PIT,1,0,
5448,Jesse Chavez,RP,R,R,ATL,41,14.038,-0.202841282,0.019203331,,0,,,,,,
10197,Shelby Miller,RP,R,R,DET,34,9.016,-0.203437731,0.002378849,,0,,,,,,
18337,Nick Anderson,RP,R,R,KCR,34,5.094,-0.219444349,-0.028086424,,0,,,,,,
16943,Sean Newcomb,RP,L,L,ATH,32,5.041,-0.226183802,0.012986633,,0,,,BOS,1,0,
6399,José Cisnero,RP,R,R,LAA,36,6.167,-0.239773721,0.088290848,,0,,,,,,
13580,Steven Okert,RP,L,L,MIN,33,4.089,-0.246373907,0.028081015,,0,,,HOU,1,0,
13528,Matt Bowman,RP,R,R,BAL,34,4.137,-0.247282103,-0.067120917,,0,,,BAL,1,0,
7432,Jay Jackson,RP,R,R,MIN,37,2.1,-0.270823717,-0.000970455,,0,,,,,,
11760,Drew Smyly,RP,L,L,CHC,36,12.143,-0.278660327,0.272130579,,0,,,,,,
13470,Lucas Sims,RP,R,R,BOS,31,6.014,-0.290985882,-0.037345901,,0,,,,,,
16122,Jordan Romano,RP,R,R,TOR,32,5.051,-0.308636725,0.314379692,,0,,,PHI,1,8500000,8500000
19403,Colin Poche,RP,L,L,TBR,31,5.114,-0.319651455,-0.056653891,,0,,,,,,
8048,Will Smith,RP,R,L,KCR,35,11.155,-0.370800853,-0.132865995,1,3000000,3000000,,,,,
