playerid,Name_x,Team,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,BB/K,Barrel%,HardHit%,O-Swing% (sc),Z-Swing% (sc),Swing% (sc),O-Contact% (sc),Z-Contact% (sc),Contact% (sc),Pull%,Cent%,Oppo%,EV,LA,maxEV,LD%,GB%,FB%,Clutch,Name_y,Pos,Bats,Thr,Prev Team,Age,Service Time,2024 WAR,Proj WAR,Med Years,Med Total,Med AAV,QO,Signing Team,Years,Total Salary,AAV
10815,Jurickson Profar,SDP,158,668,158,105,29,0,24,94,85,10,0.113772455,0.151197604,0.179078015,0.301801801,0.280141843,0.282,0.36529605,0.364,0.459219858,0.444,0.380090497,139.2126565,30.5526828,-11.12048841,3.623229782,-0.770364903,4.304333021,0.752475247,0.07188161,0.44186047,0.22406015,0.67022033,0.45341615,0.67785235,0.89607635,0.84367446,0.4038055,0.35940803,0.23678647,91.07275391,13.4413631,110.265,0.198275862,0.422413793,0.379310344,2.612031157,Jurickson Profar,LF,S,R,SDP,32,10.165,4.30433321,1.900441408,3,45000000,15000000,,ATL,3,42000000,14000000
13590,Jesse Winker,- - -,145,508,109,72,23,0,14,63,58,14,0.124015748,0.208661417,0.15116279,0.303514376,0.253488372,0.245,0.337835083,0.329,0.404651162,0.384,0.359683794,118.2795986,8.294317265,-13.05487716,4.073787002,-2.809994601,1.255480021,0.594339622,0.07598784,0.36778116,0.1968254,0.62969589,0.43141057,0.60215054,0.87073864,0.81460674,0.35866261,0.3556231,0.28571429,88.58066587,14.02980249,109.232,0.216049382,0.450617283,0.333333333,1.271846451,Jesse Winker,LF/RF/DH,L,L,NYM,31,7.08,1.251511693,1.021210194,2,14000000,7000000,,NYM,1,7500000,7500000
15194,Jake Bauers,MIL,117,346,60,37,9,2,12,45,43,13,0.112716763,0.341040462,0.162251656,0.279069767,0.198675496,0.201,0.294134459,0.302,0.360927152,0.379,0.300578034,87.26710653,-4.211552791,-6.834693857,6.861886732,1.056674317,0.049149797,0.330508474,0.10326087,0.41847826,0.20200573,0.67690418,0.45767196,0.32624113,0.83121597,0.7283237,0.5,0.30978261,0.19021739,89.42435148,22.63478181,110.121,0.215469613,0.287292817,0.497237569,1.008222399,Jake Bauers,1B/RF/LF,L,L,MIL,29,4.084,0.049149796,-0.028937105,,0,,,MIL,1,0,
10243,Randal Grichuk,ARI,106,279,74,40,20,2,12,40,46,0,0.071684587,0.164874551,0.236220473,0.313131313,0.291338582,0.278,0.37303115,0.359,0.527559055,0.483,0.34767025,139.1073538,13.64224942,-7.991124153,2.902003478,0.594851188,1.543186597,0.434782608,0.10952381,0.47619048,0.28298279,0.6557377,0.4738806,0.58783784,0.92222222,0.82480315,0.45238095,0.36666667,0.18095238,90.66595955,17.01023638,112.303,0.18095238,0.366666666,0.452380952,0.987206017,Randal Grichuk,LF/RF/CF,R,R,ARI,33,10.033,1.543186665,0.441929132,,0,,,,,,
15986,Willy Adames,MIL,161,688,153,88,33,0,32,93,112,21,0.107558139,0.251453488,0.211475409,0.296568627,0.250819672,0.243,0.341931815,0.339,0.462295081,0.461,0.331395348,119.438004,17.22610312,5.927154064,4.433158214,1.234154373,4.757420971,0.427745664,0.12045455,0.40454545,0.27527675,0.70899855,0.49396268,0.4691689,0.84237462,0.73925926,0.45227273,0.33636364,0.21136364,88.56212713,20.60034402,112.287,0.188636363,0.313636363,0.497727272,0.947557149,Willy Adames,SS,R,R,MIL,29,6.105,4.757421017,3.894942045,6,150000000,25000000,21050000,SFG,7,182000000,26000000
17027,Alex Verdugo,NYY,149,621,130,88,28,1,13,74,61,2,0.078904991,0.149758454,0.123434705,0.252699784,0.232558139,0.25,0.283420814,0.302,0.355992844,0.373,0.290791599,83.14835691,-14.4355098,-0.496343613,2.941642729,-2.461504117,0.595861637,0.52688172,0.05648536,0.34937238,0.26526718,0.58964451,0.44449189,0.67625899,0.93184797,0.8635927,0.37238494,0.34309623,0.28451883,88.28123341,9.879320926,110.667,0.169133192,0.492600422,0.338266384,0.890356517,Alex Verdugo,RF/LF,L,L,NYY,29,6.078,0.595861614,1.056162477,2,16000000,8000000,,,,,
10231,Jose Iglesias,NYM,85,291,91,70,16,1,4,39,26,6,0.041237113,0.134020618,0.111111111,0.381578947,0.337037037,0.285,0.361797291,0.314,0.448148148,0.369,0.381443298,136.6945913,12.59224416,2.3324368,4.72129439,-0.176739402,2.542209395,0.307692307,0.02155172,0.30603448,0.4019802,0.63333333,0.52465116,0.78325123,0.89750693,0.85638298,0.31034483,0.38362069,0.30603448,85.84554317,9.042851941,109.845,0.237068965,0.487068965,0.275862068,0.868552356,Jose Iglesias,2B/SS,R,R,NYM,35,10.158,2.542209387,1.357910037,,0,,,,,,
6184,J.D. Martinez,NYM,120,495,102,61,24,1,16,46,69,0,0.098989898,0.284848484,0.170506912,0.308243727,0.235023041,0.256,0.318458867,0.351,0.405529953,0.472,0.3197556,107.5248613,2.134870541,-12.63888836,1.406746028,-2.319280952,0.617598455,0.34751773,0.14715719,0.4548495,0.28825271,0.67757459,0.48538012,0.36986301,0.84090909,0.70281124,0.36949153,0.35254237,0.2779661,90.96971328,14.36241928,110.836,0.196610169,0.383050847,0.420338983,0.867494323,J.D. Martinez,DH,R,R,NYM,37,13.021,0.617598474,0.082596496,1,9000000,9000000,,,,,
11899,Joc Pederson,ARI,132,449,101,60,17,1,23,62,64,7,0.122494432,0.233853006,0.239782017,0.322314049,0.275204359,0.264,0.391035317,0.378,0.514986376,0.48,0.392776523,151.225392,26.35744426,-12.63888836,3.908926099,-1.146369353,2.961045298,0.523809523,0.12546125,0.45387454,0.30063966,0.58352668,0.43611111,0.64893617,0.84890656,0.77707006,0.5,0.35714286,0.14285714,92.16299579,16.99797739,114.139,0.205323193,0.39163498,0.403041825,0.850131476,Joc Pederson,DH/LF/RF,L,L,ARI,33,10.028,2.961045265,1.855531096,2,28000000,14000000,,TEX,2,37000000,18500000
19901,Gavin Sheets,CHW,139,501,105,70,24,1,10,35,45,2,0.085828343,0.211576846,0.124168514,0.281065088,0.232815964,0.251,0.290676561,0.309,0.356984478,0.38,0.303393213,87.74727823,-9.891898061,-15.46230888,1.967153285,-2.868037112,-0.893673451,0.405660377,0.05747126,0.35057471,0.33022388,0.6,0.46142789,0.67514124,0.85878489,0.79127726,0.40229885,0.32471264,0.27298851,87.74640986,13.45362739,110.029,0.218390804,0.367816091,0.413793103,0.840225904,Gavin Sheets,1B/RF/LF,L,L,CHW,29,3.076,-0.89367342,0.05061277,,0,,,,,,
