Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Chris Sale","ATL",18,3,0,29,29,177.2,11.397749245462858,1.975609869213562,0.4559099698185143,0.31353919239904987,0.7981756,0.448356807,0.062937062,94.94208480046949,2.380863175718908,2.8,2.0858042942755386,2.6442501166237466,6.410311222076416,"Chris Sale",10603,519242
"Tarik Skubal","DET",18,4,0,31,31,192,10.6875,1.640625,0.703125,0.27253218884120173,0.8,0.45702306,0.087719298,96.99477782943677,2.390625,2.72,2.4946047782897955,2.8256122650811455,5.860317230224609,"Tarik Skubal",22267,669373
"Zack Wheeler","PHI",16,7,0,32,32,200,10.08,2.34,0.9,0.2463768115942029,0.80116959,0.426,0.102564102,95.46789937258687,2.565,2.8,3.126479778289795,3.300687974356115,5.428380012512207,"Zack Wheeler",10310,554430
"Cole Ragans","KCR",11,9,0,32,32,186.1,10.771019972008446,3.236136045401641,0.724508069866039,0.29046563192904656,0.74747475,0.407407407,0.080645161,95.54908834226646,3.1395349694195023,3.31,2.9947445320993267,3.457536477955223,4.880326747894287,"Cole Ragans",21846,666142
"Dylan Cease","SDP",14,11,0,33,33,189.1,10.64788760998921,3.0897888153986544,0.8556338258027043,0.26269315673289184,0.6935123,0.397849462,0.091370558,96.92338346541787,3.470070515755412,3.31,3.0978178046142695,3.4351364194456018,4.761360168457031,"Dylan Cease",18525,656302
"Seth Lugo","KCR",16,9,0,33,33,206.2,7.882258452495868,2.090322683534816,0.6967742278449386,0.2766323024054983,0.75141777,0.441624365,0.073732718,92.34196428571428,3.004838857581298,3.75,3.2487378468548225,3.8298950890902206,4.706625938415527,"Seth Lugo",12447,607625
"Cristopher Sánchez","PHI",11,9,0,31,31,181.2,7.579816938197533,2.179816635821513,0.5449541589553782,0.3131868131868132,0.71225071,0.573770491,0.093220338,,3.319266240910031,3.56,2.995837566899727,3.1907934967201372,4.686849594116211,"Cristopher Sanchez",20778,650911
"Garrett Crochet","CHW",6,12,0,32,32,146,12.883561643835616,2.0342465753424657,1.1095890410958904,0.3181818181818182,0.73637703,0.450867052,0.144,97.27986666341654,3.5753424657534247,2.85,2.6870277234952744,2.378815742520845,4.653275489807129,"Garrett Crochet",27463,676979
"Logan Webb","SFG",13,10,0,33,33,204.2,7.563518291238209,2.198697177685526,0.4837133790908157,0.31518151815181517,0.71668064,0.568181818,0.078571428,92.83568188968121,3.473941540743131,4.31,2.9466100605212424,3.28218585995796,4.4186272621154785,"Logan Webb",17995,657277
"Paul Skenes","PIT",11,3,0,23,23,133,11.503759398496241,2.1654135338345863,0.6766917293233082,0.28378378378378377,0.8559322,0.513157894,0.106382978,98.86830223321343,1.962406015037594,2.53,2.4446752670115997,2.5358691781759264,4.291679382324219,"Paul Skenes",33677,694973
"George Kirby","SEA",14,11,0,33,33,191,8.434554973821989,1.0837696335078535,1.036649214659686,0.2906764168190128,0.71587125,0.412811387,0.096069868,96.18291523552503,3.5340314136125652,3.44,3.26072061598613,3.5761652496238656,4.203962802886963,"George Kirby",25436,669923
"Logan Gilbert","SEA",9,12,0,33,33,208.2,9.488818353954882,1.595846723165139,1.121405805467395,0.2364341085271318,0.69462647,0.451492537,0.128712871,96.76760925876727,3.2348244388482548,3.14,3.2671187608317407,3.1110118748995474,4.076137542724609,"Logan Gilbert",22250,669302
"Michael King","SDP",13,9,0,31,30,173.2,10.416507041990862,3.2648753415195237,0.8809981080290779,0.2899543378995434,0.75184017,0.404017857,0.103030303,93.8029189648717,2.9539348328033785,3.59,3.3334663477855027,3.4974666620631862,3.916304610669613,"Michael King",19853,650633
"Tanner Houck","BOS",9,10,0,30,30,178.2,7.757463128244379,2.4179105854268195,0.5541045091603127,0.2821011673151751,0.7086999,0.559386973,0.088,93.7676010131836,3.1231345061763083,4.11,3.317599189878971,3.5750677723239668,3.9023118019104004,"Tanner Houck",19879,656557
"Sonny Gray","STL",13,9,0,28,28,166.1,10.983968271747605,2.1102205054096386,1.1362725798359592,0.29876543209876544,0.67917206,0.423076923,0.142857142,92.57662771507665,3.8416834842072904,3.67,3.124395608666241,2.819376976380927,3.8375203609466553,"Sonny Gray",12768,543243
"Tyler Glasnow","LAD",9,6,0,22,22,134,11.283582089552239,2.3507462686567164,1.007462686567164,0.2532894736842105,0.69811321,0.485714285,0.136363636,96.41026368261826,3.4925373134328357,2.65,2.8978230618718848,2.6838001117555064,3.8137943744659424,"Tyler Glasnow",14374,607192
"Hunter Greene","CIN",9,5,0,26,26,150.1,10.117516972020082,3.4124169668943476,0.7184035719777574,0.23728813559322035,0.80541237,0.339779005,0.068571428,97.79505429025424,2.75388035924807,3.03,3.472466484872914,4.194870973319694,3.7695462703704834,"Hunter Greene",22182,668881
"Corbin Burnes","BAL",15,9,0,32,32,194.1,8.38250450755895,2.2229846207891137,1.0188679511950105,0.2693032015065913,0.75461455,0.481751824,0.116402116,,2.917667314785712,3.34,3.547268810554597,3.5460831610000634,3.73838472366333,"Corbin Burnes",19361,669203
"Framber Valdez","HOU",15,7,0,28,28,176.1,8.62570913349315,2.80718344581138,0.6635160871917808,0.27608695652173915,0.77133479,0.605603448,0.139784946,95.94760131835938,2.9092628438408847,3.41,3.2458748656460767,3.0849114306362346,3.6095006465911865,"Framber Valdez",17295,664285
"Yusei Kikuchi","- - -",9,10,0,32,32,175.2,10.554080078374009,2.254269531303186,1.2808349609677194,0.3093681917211329,0.71910112,0.425887265,0.135135135,95.57594159388647,4.047438476657994,3.7,3.456802369442478,3.1990503021500785,3.5434828996658325,"Yusei Kikuchi",20633,579328
"Reynaldo López","ATL",8,5,0,26,25,135.2,9.818181450089535,2.786240681782165,0.6633906385195631,0.2873900293255132,0.86956522,0.39367816,0.075187969,95.70626747157566,1.9901719155586892,3.94,2.915865537071293,3.439922898462065,3.5208003371953964,"Reynaldo Lopez",16400,625643
"Nick Martinez","CIN",10,7,0,42,16,142.1,7.334894875694646,1.1381733427802037,0.8220140808968137,0.2751196172248804,0.71536145,0.369411764,0.073863636,92.7943915005388,3.098360766457221,3.19,3.2086343465409137,3.890930479787186,3.4652782678604126,"Nick Martinez",12730,607259
"Ranger Suárez","PHI",12,8,0,27,27,150.2,8.661505009575565,2.4491152096041255,0.8362832423038478,0.2992874109263658,0.73918269,0.518779342,0.127272727,92.02605879934211,3.4646020038302265,3.67,3.3655948359811876,3.2615301697807766,3.4646542072296143,"Ranger Suarez",17277,624133
"Erick Fedde","- - -",9,9,0,31,31,177.1,7.815789697856177,2.6390978200553326,1.0150376230982048,0.27070707070707073,0.79234973,0.421052631,0.0990099,93.37863498263889,3.298872275069166,3.91,3.8600888207402355,4.116248779535615,3.4455986618995667,"Erick Fedde",17425,607200
"Max Fried","ATL",11,10,0,29,29,174.1,8.569789924980146,2.94263870917993,0.6711281266550717,0.2823779193205945,0.72471324,0.587866108,0.117117117,94.21763107416879,3.2523901522515013,3.72,3.3328277754948985,3.326133318840467,3.3533143997192383,"Max Fried",13743,608331
