playerid,Name,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV
3473,Anthony Rizzo,1B,L,L,NYY,35,12.2,-0.2,0.3,1,"$8,000,000","$8,000,000",,,,,
2396,Carlos Santana,1B,S,R,MIN,39,14.1,3.0,1.5,1,"$7,000,000","$7,000,000",,CLE,1,"$12,000,000","$12,000,000"
13419,Christian Walker,1B,R,R,ARI,34,6.1,3.0,3.1,3,"$54,000,000","$18,000,000","$21,050,000",HOU,3,"$60,000,000","$20,000,000"
15676,José Abreu,1B,R,R,HOU,38,10.1,-1.5,-0.1,,$0,,,,,,
13145,Josh Bell,1B,S,R,ARI,32,8.1,-0.1,0.7,1,"$8,000,000","$8,000,000",,WSN,1,"$6,000,000","$6,000,000"
9218,Paul Goldschmidt,1B,R,R,STL,37,13.1,1.1,1.9,1,"$14,000,000","$14,000,000",$0,NYY,1,"$12,500,000","$12,500,000"
19251,Pete Alonso,1B,R,R,NYM,30,6.0,2.1,2.4,5,"$125,000,000","$25,000,000","$21,050,000",,,,
15679,Rowdy Tellez,1B,L,L,PIT,30,6.0,-0.5,0.4,,$0,,,,,,
17982,Ty France,1B,R,R,CIN,30,5.1,-0.9,0.4,,$0,,,,,,
19198,Yuli Gurriel,1B,R,R,KCR,41,7.1,-0.1,0.0,,$0,,,,,,
12164,Miguel Sanó,1B/3B/DH,R,R,LAA,32,8.0,-0.1,0.1,,$0,,,,,,
15279,Garrett Cooper,1B/DH,R,R,BOS,34,6.1,-0.4,0.0,,$0,,,ATL,1,$0,
5235,Justin Turner,1B/DH,R,R,SEA,40,14.0,1.2,0.6,1,"$8,000,000","$8,000,000",,,,,
8090,Matt Carpenter,1B/DH,L,R,STL,39,12.1,-0.2,-0.2,,$0,,,,,,
16572,Connor Joe,1B/RF/LF,R,R,PIT,32,3.1,0.5,0.3,,$0,,,,,,
19901,Gavin Sheets,1B/RF/LF,L,L,CHW,29,3.1,-0.9,0.1,,$0,,,,,,
15194,Jake Bauers,1B/RF/LF,L,L,MIL,29,4.1,0.0,0.0,,$0,,,MIL,1,$0,
14128,Joey Gallo,1B/RF/LF,L,R,WSN,31,8.1,-0.2,-0.1,,$0,,,,,,
17907,Brendan Rodgers,2B,R,R,COL,28,5.1,0.8,1.0,,$0,,,,,,
16997,Gleyber Torres,2B,R,R,NYY,28,6.2,1.7,3.0,3,"$54,000,000","$18,000,000",,DET,1,"$15,000,000","$15,000,000"
16426,Thairo Estrada,2B,R,R,SFG,29,4.2,0.4,1.3,1,"$6,000,000","$6,000,000",,COL,1,"$4,000,000","$4,000,000"
11615,Brandon Drury,2B/1B/3B,R,R,LAA,32,8.0,-2.1,0.3,,$0,,,,,,
13152,Jorge Polanco,2B/3B,S,R,SEA,31,8.0,0.3,1.4,,$0,,,,,,
20521,Nick Madrigal,2B/3B,R,R,CHC,28,4.1,-0.7,0.2,,$0,,,,,,
11281,Whit Merrifield,2B/3B/LF,R,R,ATL,36,8.1,0.4,0.5,,$0,,,,,,
19252,Cavan Biggio,2B/3B/LF/RF,L,R,ATL,30,5.1,0.1,0.0,,$0,,,KCR,1,$0,
13853,Joey Wendle,2B/3B/SS,L,R,ATL,35,6.1,-0.2,0.0,,$0,,,,,,
16451,Luis Guillorme,2B/3B/SS,L,R,ARI,30,5.2,0.1,0.4,,$0,,,,,,
19262,Garrett Hampson,2B/3B/SS/OF,R,R,KCR,30,6.0,0.5,0.1,,$0,,,,,,
15518,Amed Rosario,2B/3B/SS/RF,R,R,CIN,29,7.1,0.3,0.6,,$0,,,WSN,1,"$2,000,000","$2,000,000"
15223,Adam Frazier,2B/RF/LF,L,R,KCR,33,8.1,-0.6,0.2,,$0,,,,,,
sa3012639,Hyeseong Kim,2B/SS,L,R,KBO,26,,,1.4,,$0,,,LAD,3,"$12,500,000","$4,166,667"
10231,Jose Iglesias,2B/SS,R,R,NYM,35,10.2,2.5,1.4,,$0,,,,,,
19339,Nicky Lopez,2B/SS,L,R,CHW,30,5.1,0.9,0.5,,$0,,,,,,
17696,Kevin Newman,2B/SS/3B,R,R,ARI,31,6.0,1.4,0.3,,$0,,,LAA,1,"$2,750,000","$2,750,000"
17678,Alex Bregman,3B,R,R,HOU,31,8.1,4.1,4.0,6,"$162,000,000","$27,000,000","$21,050,000",,,,
10681,Gio Urshela,3B,R,R,ATL,33,7.1,0.7,1.4,,$0,,,ATH,1,"$2,150,000","$2,150,000"
17232,Yoán Moncada,3B,S,R,CHW,30,7.1,0.3,1.0,,$0,,,,,,
19844,Abraham Toro,3B/1B,S,R,ATH,28,3.2,0.7,0.5,,$0,,,,,,
16219,J.D. Davis,3B/1B,R,R,NYY,32,6.1,-0.4,0.2,,$0,,,,,,
8623,Donovan Solano,3B/1B/DH,R,R,SDP,37,9.1,0.8,0.7,,$0,,,SEA,1,"$3,500,000","$3,500,000"
19734,Josh Rojas,3B/2B,L,R,SEA,31,4.1,1.9,1.1,,$0,,,CHW,1,"$3,500,000","$3,500,000"
13836,Matt Duffy,3B/2B/1B,R,R,TEX,34,8.1,0.1,0.0,,$0,,,,,,
15937,Aledmys Díaz,3B/2B/1B/SS,R,R,HOU,34,8.1,-0.5,0.0,,$0,,,,,,
13324,Ildemaro Vargas,3B/2B/SS,S,R,WSN,33,5.0,-0.1,0.3,,$0,,,,,,
14813,Kyle Farmer,3B/2B/SS,R,R,MIN,34,6.1,0.5,0.3,,$0,,,COL,1,"$3,250,000","$3,250,000"
16622,Luis Urías,3B/2B/SS,R,R,SEA,28,5.0,0.2,0.5,,$0,,,,,,
10472,Enrique Hernández,3B/2B/SS/OF,R,R,LAD,33,10.1,0.7,0.6,1,"$5,000,000","$5,000,000",,,,,
12037,Jon Berti,3B/2B/SS/OF,R,R,NYY,35,5.2,0.3,0.4,,$0,,,CHC,1,"$2,000,000","$2,000,000"
19293,Nick Senzel,3B/LF/RF,R,R,CHW,30,5.1,-0.5,0.1,,$0,,,,,,
12976,Austin Hedges,C,R,R,CLE,32,8.2,0.4,0.7,,$0,,,CLE,1,"$4,000,000","$4,000,000"
15271,Austin Wynns,C,R,R,CIN,34,4.0,0.4,0.0,,$0,,,CIN,1,$0,
13620,Carson Kelly,C,R,R,TEX,30,6.2,1.8,1.5,,$0,,,CHC,2,"$11,500,000","$5,750,000"
10028,Christian Bethancourt,C,R,R,CHC,33,5.0,0.2,0.4,,$0,,,TOR,1,$0,
12510,Curt Casali,C,R,R,SFG,36,8.1,-0.4,0.1,,$0,,,ATL,1,$0,
16535,Danny Jansen,C,R,R,BOS,30,6.1,0.5,1.6,2,"$16,000,000","$8,000,000",,TBR,1,"$8,500,000","$8,500,000"
11680,Elias Díaz,C,R,R,SDP,34,8.1,0.5,0.3,,$0,,,,,,
13723,Jacob Stallings,C,R,R,COL,35,6.1,0.9,0.1,,$0,,,COL,1,"$2,500,000","$2,500,000"
12859,James McCann,C,R,R,BAL,35,10.0,0.2,0.5,,$0,,,,,,
5517,Kyle Higashioka,C,R,R,SDP,35,6.0,1.6,1.3,,$0,,,TEX,2,"$13,500,000","$6,750,000"
13355,Luke Maile,C,R,R,CIN,34,7.1,-0.7,0.1,,$0,,,,,,
6887,Martín Maldonado,C,R,R,CHW,38,12.1,-1.5,-0.3,,$0,,,SDP,1,$0,
10059,Max Stassi,C,R,R,CHW,34,8.0,,0.0,,$0,,,SFG,1,$0,
13338,Omar Narváez,C,L,R,NYM,33,7.2,-1.0,0.0,,$0,,,CHW,1,$0,
15674,Reese McGuire,C,L,R,BOS,30,4.2,0.2,0.2,,$0,,,,,,
13755,Tomás Nido,C,R,R,CHC,31,5.1,0.1,0.0,,$0,,,DET,1,$0,
7739,Travis d'Arnaud,C,R,R,ATL,36,11.0,1.8,1.3,1,"$7,000,000","$7,000,000",,LAA,2,"$12,000,000","$6,000,000"
10200,Tucker Barnhart,C,L,R,ARI,34,9.1,-0.4,0.0,,$0,,,TEX,1,$0,
9627,Yan Gomes,C,R,R,CHC,37,11.2,-1.2,0.0,,$0,,,,,,
11368,Yasmani Grandal,C,S,R,PIT,36,12.1,1.4,1.2,,$0,,,,,,
11442,Gary Sánchez,C/DH,R,R,MIL,32,8.1,0.3,0.8,,$0,,,BAL,1,"$8,500,000","$8,500,000"
18030,Harrison Bader,CF,R,R,NYM,31,7.0,1.3,1.1,1,"$10,000,000","$10,000,000",,,,,
11489,Michael A. Taylor,CF,R,R,PIT,34,9.1,0.4,0.2,1,"$4,000,000","$4,000,000",,,,,
15274,Mike Tauchman,CF/LF/RF,L,L,CHC,34,4.1,1.1,1.4,,$0,,,CHW,1,"$1,950,000","$1,950,000"
9847,Andrew McCutchen,DH,R,R,PIT,38,15.1,0.5,0.1,,$0,,,PIT,1,"$5,000,000","$5,000,000"
14130,Daniel Vogelbach,DH,L,R,TOR,32,6.0,-0.3,0.1,,$0,,,,,,
6184,J.D. Martinez,DH,R,R,NYM,37,13.0,0.6,0.1,1,"$9,000,000","$9,000,000",,,,,
11899,Joc Pederson,DH/LF/RF,L,L,ARI,33,10.0,3.0,1.9,2,"$28,000,000","$14,000,000",,TEX,2,"$37,000,000","$18,500,000"
17484,Eloy Jiménez,DH/RF/LF,R,R,BAL,28,6.0,-0.9,0.5,1,"$6,000,000","$6,000,000",,TBR,1,$0,
10815,Jurickson Profar,LF,S,R,SDP,32,10.2,4.3,2.1,3,"$45,000,000","$15,000,000",,,,,
10950,Adam Duvall,LF/RF,R,R,ATL,36,8.2,-1.0,0.0,1,"$3,000,000","$3,000,000",,,,,
20123,Juan Soto,LF/RF,L,L,NYY,26,6.1,8.1,6.5,13,"$585,000,000","$45,000,000","$21,050,000",NYM,15,"$765,000,000","$51,000,000"
16376,Michael Conforto,LF/RF,L,R,SFG,32,8.0,1.3,1.3,1,"$12,000,000","$12,000,000",,LAD,1,"$17,000,000","$17,000,000"
11445,Mark Canha,LF/RF/1B,R,R,SFG,36,9.1,1.0,0.7,1,"$8,000,000","$8,000,000",,,,,
19363,Austin Hays,LF/RF/CF,R,R,PHI,29,5.1,0.2,0.5,,$0,,,,,,
12434,Kevin Pillar,LF/RF/CF,R,R,LAA,36,10.1,0.5,0.1,,$0,,,,,,
14712,Manuel Margot,LF/RF/CF,R,R,MIN,30,8.0,-0.2,0.5,,$0,,,,,,
10243,Randal Grichuk,LF/RF/CF,R,R,ARI,33,10.0,1.5,0.4,,$0,,,,,,
15711,Tyler O'Neill,LF/RF/CF,R,R,BOS,30,6.1,2.5,2.0,3,"$51,000,000","$17,000,000",,BAL,3,"$49,500,000","$16,500,000"
12155,Eddie Rosario,LF/RF/DH,L,R,ATL,33,9.1,-2.0,-0.1,,$0,,,,,,
13590,Jesse Winker,LF/RF/DH,L,L,NYM,31,7.1,1.3,1.0,2,"$14,000,000","$7,000,000",,NYM,1,"$7,500,000","$7,500,000"
2967,Tommy Pham,LF/RF/DH,R,R,KCR,37,9.1,-0.1,0.5,1,"$3,000,000","$3,000,000",,,,,
17027,Alex Verdugo,RF/LF,L,L,NYY,29,6.1,0.6,1.1,2,"$16,000,000","$8,000,000",,,,,
14551,Anthony Santander,RF/LF,S,R,BAL,30,6.2,3.3,2.7,4,"$80,000,000","$20,000,000","$21,050,000",TOR,5,"$92,500,000","$18,500,000"
12160,Ben Gamel,RF/LF,L,L,HOU,33,6.2,0.0,0.2,,$0,,,,,,
2136,David Peralta,RF/LF,L,L,SDP,37,10.1,0.4,0.2,,$0,,,,,,
17766,DJ Stewart,RF/LF,L,R,NYM,31,3.1,-0.2,0.0,,$0,,,PIT,1,$0,
4940,Jason Heyward,RF/LF,L,L,HOU,35,15.0,0.8,0.4,1,"$6,000,000","$6,000,000",,,,,
12144,Max Kepler,RF/LF,L,L,MIN,32,8.2,1.0,1.0,2,"$22,000,000","$11,000,000",,PHI,1,"$10,000,000","$10,000,000"
5254,Robbie Grossman,RF/LF,S,L,KCR,35,10.1,-0.6,0.0,,$0,,,,,,
13066,Teoscar Hernández,RF/LF,R,R,LAD,32,7.1,3.5,2.3,3,"$69,000,000","$23,000,000","$21,050,000",LAD,3,"$66,000,000","$20,940,454"
