Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,playerid,MLBAMID
Zack Wheeler,PHI,13,6,0,32,32,192,9.9375,1.828125,0.9375,0.291913215,0.71276596,0.41221374,0.0990099,95.96222816,3.609375,3.18,3.150873693,3.536170851,5.931493282,Zack Wheeler,10310,554430
Spencer Strider,ATL,20,5,0,32,32,186.2,13.54821502,2.796428724,1.060714344,0.315521628,0.7025247,0.34057971,0.121546961,97.3760989,3.857143067,3.09,2.853254623,2.924272489,5.465874195,Spencer Strider,27498,675911
Gerrit Cole,NYY,15,4,0,33,33,209,9.559808612,2.066985646,0.861244019,0.261450382,0.80434783,0.396296296,0.094339622,96.83374784,2.626794258,3.48,3.164131269,3.597196206,5.388150692,Gerrit Cole,13125,543037
Sonny Gray,MIN,8,8,0,32,32,184,8.951086957,2.690217391,0.391304348,0.294820717,0.76773567,0.473267326,0.051948051,92.84131494,2.788043478,3.66,2.825692533,3.644258675,5.365796566,Sonny Gray,12768,543243
Zac Gallen,ARI,17,9,0,34,34,210,9.428571429,2.014285714,0.942857143,0.300724638,0.73135755,0.417832167,0.109452736,93.51585605,3.471428571,4.16,3.264564169,3.485153229,5.169271469,Zac Gallen,19291,668678
Kevin Gausman,TOR,12,9,0,31,31,185,11.52972973,2.675675676,0.924324324,0.320712695,0.76646091,0.426406926,0.107344632,94.64582332,3.162162162,3.85,2.968553873,3.2152742,5.148777008,Kevin Gausman,14107,592332
Logan Webb,SFG,11,13,0,33,33,216,8.083333333,1.291666667,0.833333333,0.301666667,0.73684211,0.621138211,0.153846153,92.66995644,3.25,3.63,3.162447767,2.953816878,4.91228199,Logan Webb,17995,657277
Zach Eflin,TBR,16,8,0,31,31,177.2,9.422138567,1.215759815,0.96247652,0.295116773,0.73232323,0.497925311,0.11728395,93.10002156,3.495309468,3.02,3.007385582,3.124700687,4.882145882,Zach Eflin,13774,621107
Justin Steele,CHC,16,5,0,30,30,173.1,9.138461807,1.869230824,0.726923098,0.316770186,0.73004202,0.493877551,0.098591549,,3.063461628,3.5,3.018501891,3.322978529,4.775646687,Justin Steele,17312,657006
Pablo López,MIN,11,8,0,32,32,194,10.8556701,2.226804124,1.113402062,0.312757202,0.76228686,0.452380952,0.13114754,94.87546964,3.664948454,3,3.332359947,3.283717529,4.564445972,Pablo Lopez,17085,641154
Framber Valdez,HOU,12,11,0,31,31,198,9.090909091,2.590909091,0.863636364,0.281609195,0.7122093,0.542056074,0.139705882,95.66151646,3.454545455,4.33,3.497464602,3.385625403,4.379193783,Framber Valdez,17295,664285
George Kirby,SEA,13,10,0,31,31,190.2,8.118881552,0.896853195,1.038461594,0.291821561,0.75057737,0.441651705,0.106796116,96.18561663,3.35139878,3.9,3.344201203,3.630514827,4.287302971,George Kirby,25436,669923
Jordan Montgomery,- - -,10,11,0,32,32,188.2,7.918728022,2.289752681,0.858657255,0.293900185,0.75564279,0.432432432,0.093264248,93.38051377,3.196113117,3.98,3.562460858,4.013504443,4.254639983,Jordan Montgomery,16511,656756
Blake Snell,SDP,14,9,0,32,32,180,11.7,4.95,0.75,0.255754476,0.86734694,0.444444444,0.108695652,95.6859081,2.25,3.77,3.438373693,3.622610038,4.156758785,Blake Snell,13543,605483
Aaron Nola,PHI,12,9,0,32,32,193.2,9.387263832,2.091222141,1.4870913,0.28460039,0.6640625,0.426199261,0.15609756,92.87470083,4.4612739,3.71,4.029567078,3.63165196,3.866112709,Aaron Nola,16149,605400
Jesús Luzardo,MIA,10,10,0,32,32,178.2,10.47761254,2.770522546,1.108209018,0.311111111,0.74921956,0.401709401,0.115183246,96.79169395,3.576492741,3.96,3.551682167,3.718418287,3.84164834,Jesus Luzardo,19959,666200
Kyle Bradish,BAL,12,7,0,30,30,168.2,8.964427418,2.347826229,0.747035618,0.270022883,0.79075426,0.492204899,0.102189781,,2.828063412,3.77,3.266898068,3.530786564,3.782399654,Kyle Bradish,24586,680694
Dylan Cease,CHW,7,9,0,33,33,177,10.88135593,4.016949153,0.966101695,0.330453564,0.6940874,0.359832635,0.101604278,95.77544611,4.576271186,4.13,3.723966913,4.075248145,3.617414951,Dylan Cease,18525,656302
Corbin Burnes,MIL,10,8,0,32,32,193.2,9.294320626,3.067125807,1.022375269,0.243852459,0.74918567,0.440944881,0.127906976,95.49458822,3.392427028,3.38,3.812699597,3.804316645,3.446897984,Corbin Burnes,19361,669203
