playerid,Name,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV
5297,Aaron Hicks,CF/LF/RF,S,R,BAL,34,10.0,0.9,,,$0,,,LAA,1,"$740,000","$740,000"
13769,Adalberto Mondesi,SS/2B/3B,S,R,BOS,28,6.1,,,,$0,,,,,,
10950,Adam Duvall,CF/LF/RF,R,R,BOS,35,7.2,1.5,,1,"$8,000,000","$8,000,000",,ATL,1,"$3,000,000","$3,000,000"
15082,Adam Engel,CF/LF/RF,R,R,SDP,32,5.1,-0.2,,,$0,,,,,,
15223,Adam Frazier,2B,L,R,BAL,32,7.1,0.4,,1,"$6,000,000","$6,000,000",,KCR,1,"$4,500,000","$4,500,000"
9256,AJ Pollock,LF/RF/DH,R,R,SFG,36,11.0,-0.8,,1,"$4,000,000","$4,000,000",,,,,
15518,Amed Rosario,SS/2B,R,R,LAD,28,6.1,0.4,,2,"$18,000,000","$9,000,000",,TBR,1,"$1,500,000","$1,500,000"
19514,Andrew Knizner,C,R,R,STL,29,4.0,0.0,,,$0,,,TEX,1,"$1,825,000","$1,825,000"
9847,Andrew McCutchen,DH/LF/RF,R,R,PIT,37,14.1,1.3,,,$0,,,PIT,1,"$5,000,000","$5,000,000"
12976,Austin Hedges,C,R,R,TEX,31,7.2,1.0,,,$0,,,CLE,1,"$4,000,000","$4,000,000"
15672,Austin Meadows,RF/LF,L,L,DET,29,5.1,-0.1,,,$0,,,,,,
15941,Austin Nola,C,R,R,SDP,34,4.0,-0.9,,,$0,,,KCR,1,"$975,000","$975,000"
15271,Austin Wynns,C,R,R,COL,33,3.1,0.2,,,$0,,,CIN,1,"$900,000","$900,000"
12160,Ben Gamel,RF/LF,L,L,SDP,32,6.1,-0.1,,,$0,,,NYM,1,"$800,000","$800,000"
15654,Billy McKinney,LF/RF/1B,L,L,NYY,29,3.1,0.2,,,$0,,,NYY,1,$0,
12775,Brad Miller,1B/3B/LF,L,R,TEX,34,10.0,-0.1,,,$0,,,SDP,1,$0,
10264,Brandon Belt,1B,L,L,TOR,36,12.1,2.2,,1,"$9,500,000","$9,500,000",,,,,
5343,Brandon Crawford,SS,L,R,SFG,37,12.1,0.4,,1,"$8,000,000","$8,000,000",,STL,1,"$2,000,000","$2,000,000"
14735,Brett Phillips,CF/RF/LF,L,R,LAA,30,4.1,-0.1,,,$0,,,CHW,1,$0,
18289,Brian Anderson,3B/RF,R,R,MIL,31,6.0,0.3,,,$0,,,SEA,1,$0,
12546,C.J. Cron,1B,R,R,LAA,34,9.1,-0.3,,1,"$5,000,000","$5,000,000",,BOS,1,$0,
12981,Cam Gallagher,C,R,R,CLE,31,5.1,-0.7,,,$0,,,PHI,1,$0,
2396,Carlos Santana,1B/DH,S,R,MIL,38,13.1,1.5,,1,"$7,000,000","$7,000,000",,MIN,1,"$5,250,000","$5,250,000"
17161,Chad Wallach,C,R,R,LAA,32,4.0,-0.2,,,$0,,,LAA,1,$0,
7859,Charlie Blackmon,RF/LF/DH,L,L,COL,37,11.1,0.9,,,$0,,,COL,1,"$13,000,000","$13,000,000"
15998,Cody Bellinger,CF/1B,L,L,CHC,28,6.2,4.4,,6,"$144,000,000","$24,000,000","$20,325,000",CHC,3,"$80,000,000","$26,666,667"
10762,Corey Dickerson,LF/RF,L,R,WSN,35,10.1,-0.6,,,$0,,,,,,
12510,Curt Casali,C,R,R,CIN,35,7.2,-0.3,,,$0,,,SFG,1,,
14130,Daniel Vogelbach,DH,L,R,NYM,31,5.1,0.2,,,$0,,,TOR,1,"$892,473","$892,473"
9929,Darin Ruf,1B/DH,R,R,MIL,37,6.1,-0.1,,,$0,,,,,,
13744,David Dahl,RF/LF,L,R,SDP,30,4.2,-0.2,,,$0,,,PHI,1,$0,
2136,David Peralta,LF/RF,L,L,LAD,36,9.1,-0.2,,,$0,,,SDP,1,"$800,000","$800,000"
15653,Dominic Smith,1B,L,L,WSN,29,5.1,0.0,,,$0,,,CHC,1,$0,
8623,Donovan Solano,2B/1B/3B,R,R,MIN,36,8.1,1.2,,,$0,,,SDP,1,"$790,323","$790,323"
12155,Eddie Rosario,LF/RF/DH,L,R,ATL,32,8.1,1.3,,,$0,,,WSN,1,"$1,064,516","$1,064,516"
6153,Eduardo Escobar,3B/2B,S,R,LAA,35,11.1,-0.9,,,$0,,,TOR,1,$0,
8418,Ehire Adrianza,3B/SS/2B,S,R,ATL,34,9.1,-0.2,,,$0,,$0,LAA,1,$0,
8709,Elvis Andrus,SS/2B,R,R,CHW,35,15.0,1.2,,,$0,,,ARI,1,$0,
10472,Enrique Hernández,2B/SS/3B/OF,R,R,LAD,32,9.1,-1.1,,,$0,,,LAD,1,"$4,000,000","$4,000,000"
14111,Eric Haase,C,R,R,CLE,31,3.1,-1.0,,,$0,,,MIL,1,"$516,129","$516,129"
9368,Evan Longoria,3B,R,R,ARI,38,15.2,0.2,,,$0,,,,,,
16403,Francisco Mejía,C,S,R,TBR,28,5.0,-0.1,,,$0,,,LAA,1,$0,
15279,Garrett Cooper,1B/DH,R,R,SDP,33,6.1,0.4,,,$0,,,CHC,1,"$733,871","$733,871"
19262,Garrett Hampson,SS/2B/3B/OF,R,R,MIA,29,5.0,0.6,,,$0,,,KCR,1,"$2,000,000","$2,000,000"
11442,Gary Sánchez,C,R,R,SDP,31,7.1,1.6,,1,"$5,000,000","$5,000,000",,MIL,1,"$7,000,000","$7,000,000"
10681,Gio Urshela,3B/1B/SS,R,R,LAA,32,6.1,0.5,,,$0,,,DET,1,"$1,500,000","$1,500,000"
11902,Hanser Alberto,2B/3B,R,R,CHW,31,6.2,-0.3,,,$0,,,,,,
18030,Harrison Bader,CF,R,R,CIN,30,6.0,1.0,,2,"$18,000,000","$9,000,000",,NYM,1,"$10,500,000","$10,500,000"
15117,Hunter Dozier,3B/1B/LF/RF,R,R,KCR,32,5.1,-0.2,,,$0,,,LAA,1,$0,
15464,Hunter Renfroe,RF/LF,R,R,CIN,32,6.2,0.4,,1,"$8,000,000","$8,000,000",,KCR,2,"$13,000,000","$6,500,000"
16512,Isiah Kiner-Falefa,SS/3B/LF/CF,R,R,NYY,29,6.0,0.5,,,$0,,,TOR,2,"$15,000,000","$7,500,000"
6184,J.D. Martinez,DH,R,R,LAD,36,12.0,2.4,,1,"$12,000,000","$12,000,000",,NYM,1,"$12,000,000","$8,966,565"
12984,Jackie Bradley Jr.,CF/RF/LF,L,R,KCR,34,9.1,-0.6,,,$0,,,,,,
13723,Jacob Stallings,C,R,R,MIA,34,5.1,-0.4,,,$0,,,COL,1,"$2,000,000","$2,000,000"
13329,Jake Lamb,1B/3B,L,R,LAA,33,8.0,0.0,,,$0,,,PIT,1,$0,
11339,Jake Marisnick,CF/RF/LF,R,R,LAD,33,9.1,0.4,,,$0,,,LAA,1,$0,
18607,Jared Walsh,1B,L,L,LAA,30,3.1,-0.9,,,$0,,,TEX,1,"$181,452","$181,452"
4940,Jason Heyward,RF/LF/CF,L,L,LAD,34,14.0,2.3,,1,"$10,000,000","$10,000,000",,LAD,1,"$9,000,000","$9,000,000"
5933,Jean Segura,2B/3B,R,R,MIA,34,11.0,-1.3,,,$0,,,,,,
13621,Jeimer Candelario,3B/1B,S,R,CHC,30,6.0,3.2,,3,"$36,000,000","$12,000,000",,CIN,3,"$45,000,000","$15,000,000"
13590,Jesse Winker,LF/RF/DH,L,L,MIL,30,6.1,-0.8,,,$0,,,WSN,1,"$2,000,000","$2,000,000"
5452,Ji Man Choi,1B/DH,L,R,SDP,33,6.1,-0.5,,,$0,,,NYM,1,$0,
11899,Joc Pederson,DH/LF/RF,L,L,SFG,32,9.0,0.7,,2,"$24,000,000","$12,000,000",,ARI,1,"$12,500,000","$12,500,000"
14128,Joey Gallo,RF/LF/1B,L,R,MIN,30,7.1,0.8,,1,"$8,000,000","$8,000,000",,WSN,1,"$5,000,000","$5,000,000"
4314,Joey Votto,1B,L,R,CIN,40,16.0,0.0,,,$0,,,TOR,1,$0,
13853,Joey Wendle,3B/2B/SS,L,R,MIA,34,6.1,-0.8,,,$0,,,NYM,1,"$2,000,000","$2,000,000"
15104,Jonathan Davis,CF/LF/RF,R,R,MIA,32,3.0,0.1,,,$0,,,MIA,1,$0,
11265,Jonathan Schoop,2B/3B,R,R,DET,32,9.1,-0.3,,,$0,,,,,,
16424,Jordan Luplow,RF/LF/1B,R,R,MIN,30,5.0,-0.2,,,$0,,,ATL,1,$0,
12180,Jorge Alfaro,C,R,R,BOS,31,5.1,-0.4,,,$0,,,CHC,1,$0,
14221,Jorge Soler,RF/LF/DH,R,R,MIA,32,8.1,1.8,,3,"$48,000,000","$16,000,000",,SFG,3,"$42,000,000","$12,142,857"
10231,Jose Iglesias,SS/2B,R,R,SDP,34,10.0,,,,$0,,,NYM,1,"$800,000","$800,000"
8202,Josh Harrison,3B/2B,R,R,PHI,36,11.1,-0.6,,,$0,,,,,,
33824,Jung Hoo Lee,CF,L,R,KBO,25,0.0,,,,$0,,,SFG,6,"$113,000,000","$18,833,333"
10815,Jurickson Profar,LF/RF/1B,S,R,SDP,31,9.2,-1.6,,,$0,,,SDP,1,"$1,000,000","$1,000,000"
5235,Justin Turner,1B/3B/DH,R,R,BOS,39,13.0,1.1,,1,"$12,000,000","$12,000,000",,TOR,1,"$13,000,000","$13,000,000"
11038,Kevin Kiermaier,CF,L,R,TOR,34,9.1,2.8,,2,"$20,000,000","$10,000,000",,TOR,1,"$10,500,000","$10,500,000"
17696,Kevin Newman,SS/2B/3B,R,R,CIN,30,5.0,0.0,,,$0,,,ARI,1,"$800,000","$800,000"
12434,Kevin Pillar,RF/LF/CF,R,R,ATL,35,9.1,0.3,,,$0,,,LAA,1,"$608,710","$608,710"
12532,Kolten Wong,2B,L,R,LAD,33,10.0,-0.7,,,$0,,,BAL,1,$0,
19508,Kyle Lewis,LF/RF,R,R,ARI,28,3.1,-0.5,,,$0,,,,,,
5913,Leury García,2B/SS/LF/RF,S,R,CHW,33,8.0,,,,$0,,,ATL,1,$0,
19238,Lourdes Gurriel Jr.,LF,R,R,ARI,30,5.1,1.9,,3,"$36,000,000","$12,000,000",,ARI,3,"$42,000,000","$14,000,000"
16451,Luis Guillorme,SS/3B/2B,L,R,NYM,29,4.2,-0.3,,,$0,,,ATL,1,"$1,100,000","$1,100,000"
13355,Luke Maile,C,R,R,CIN,33,6.1,0.4,,,$0,,,CIN,1,"$3,500,000","$3,500,000"
14811,Luke Voit,DH/1B,R,R,MIL,33,5.1,-0.4,,,$0,,,NYM,1,$0,
2829,Manny Piña,C,R,R,OAK,37,8.0,0.0,,,$0,,,,,,
6887,Martín Maldonado,C,R,R,HOU,37,11.2,-0.8,,,$0,,,CHW,1,"$4,250,000","$4,250,000"
8090,Matt Carpenter,DH,L,R,SDP,38,11.1,-0.4,,,$0,,,STL,1,"$740,000","$740,000"
16505,Matt Chapman,3B,R,R,TOR,31,6.1,3.0,,4,"$80,000,000","$20,000,000","$20,325,000",SFG,3,"$54,000,000","$20,000,000"
13836,Matt Duffy,3B/2B/1B,R,R,KCR,33,8.1,-0.3,,,$0,,,TEX,1,$0,
11489,Michael A. Taylor,CF,R,R,MIN,33,8.1,2.0,,2,"$14,000,000","$7,000,000",,PIT,1,"$4,000,000","$4,000,000"
17321,Michael Chavis,1B/3B/2B,R,R,WSN,28,4.1,0.1,,,$0,,,SEA,1,$0,
12977,Michael Pérez,C,L,R,NYM,31,3.1,0.2,,,$0,,,BAL,1,$0,
12164,Miguel Sanó,DH/1B,R,R,MIN,31,7.1,,,,$0,,,LAA,1,"$875,000","$875,000"
15585,Mike Ford,1B/DH,L,R,SEA,31,3.0,0.8,,,$0,,,CIN,1,$0,
4892,Mike Moustakas,1B/3B,L,R,LAA,35,12.1,-0.4,,,$0,,,CHW,1,$0,
15161,Mitch Garver,C,R,R,TEX,33,6.0,2.2,,2,"$20,000,000","$10,000,000",,SEA,2,"$24,000,000","$12,000,000"
12147,Nick Ahmed,SS,R,R,ARI,34,9.0,0.1,,,$0,,,SFG,1,"$429,677","$429,677"
19293,Nick Senzel,3B/2B/OF,R,R,CIN,29,4.2,-0.5,,,$0,,,WSN,1,"$2,000,000","$2,000,000"
18015,Paul DeJong,SS,R,R,SFG,30,6.1,0.5,,,$0,,,CHW,1,"$1,750,000","$1,750,000"
10323,Rafael Ortega,CF/RF/LF,L,R,NYM,33,3.0,0.3,,,$0,,,CHW,1,$0,
14350,Raimel Tapia,RF/LF/CF,L,L,TBR,30,5.1,0.0,,,$0,,,,,,
10243,Randal Grichuk,LF/RF/CF,R,R,LAA,32,9.0,0.6,,,$0,,,ARI,1,"$3,250,000","$3,250,000"
16472,Rhys Hoskins,1B,R,R,PHI,31,6.1,,,1,"$14,000,000","$14,000,000",,MIL,2,"$34,000,000","$17,000,000"
5254,Robbie Grossman,LF/RF,S,L,TEX,34,9.1,0.4,,,$0,,,CHW,1,"$1,435,484","$1,435,484"
2900,Roberto Pérez,C,R,R,SFG,35,9.1,-0.1,,,$0,,,BOS,1,$0,
15679,Rowdy Tellez,1B/DH,L,L,MIL,29,5.0,-0.7,,,$0,,,PIT,1,"$3,200,000","$3,200,000"
5273,Sandy León,C,S,R,TEX,35,8.1,-0.4,,,$0,,,KCR,1,$0,
19755,Shohei Ohtani,DH/SP,L,R,LAA,29,6.0,8.9,,10,"$450,000,000","$45,000,000","$20,325,000",LAD,10,"$700,000,000","$46,078,769"
13066,Teoscar Hernández,RF/LF,R,R,SEA,31,6.1,1.9,,3,"$45,000,000","$15,000,000",,LAD,1,"$23,500,000","$20,433,933"
15172,Tim Anderson,SS/2B,R,R,CHW,31,7.1,-0.2,,1,"$8,000,000","$8,000,000",,MIA,1,"$5,000,000","$5,000,000"
15124,Tim Locastro,CF/LF/RF,R,R,NYM,31,4.1,0.4,,,$0,,,NYM,1,$0,
13499,Tom Murphy,C,R,R,SEA,33,6.1,0.8,,1,"$4,000,000","$4,000,000",,SFG,2,"$8,250,000","$4,125,000"
12371,Tommy La Stella,2B/3B/1B,L,R,SEA,35,8.1,-0.1,,,$0,,,,,,
2967,Tommy Pham,LF/RF,R,R,ARI,36,8.1,1.9,,1,"$8,000,000","$8,000,000",,CHW,1,"$2,532,258","$2,532,258"
14894,Tony Kemp,2B/LF,L,R,OAK,32,6.1,0.0,,,$0,,,BAL,1,"$91,398","$91,398"
13768,Travis Jankowski,CF/RF/LF,L,R,TEX,33,6.2,1.2,,,$0,,,TEX,1,"$1,700,000","$1,700,000"
9952,Trayce Thompson,LF/RF/CF,R,R,CHW,33,4.0,-0.3,,,$0,,,NYM,1,$0,
15149,Trey Mancini,1B/RF/LF,R,R,CHC,32,6.1,-0.8,,,$0,,,MIA,1,$0,
10200,Tucker Barnhart,C,L,R,CHC,33,9.0,0.2,,,$0,,,ARI,1,"$409,785","$409,785"
13359,Tyler Naquin,RF/LF/CF,L,R,CHW,33,6.0,-0.2,,,$0,,,,,,
14968,Victor Caratini,C,S,R,MIL,30,6.1,1.1,,,$0,,,HOU,2,"$12,000,000","$6,000,000"
11281,Whit Merrifield,2B/LF/RF,R,R,TOR,35,7.1,1.3,,2,"$16,000,000","$8,000,000",,PHI,1,"$8,000,000","$8,000,000"
10047,Wil Myers,1B/RF/LF,R,R,CIN,33,10.0,-0.7,,,$0,,,,,,
11368,Yasmani Grandal,C,S,R,CHW,35,11.1,0.0,,1,"$6,000,000","$6,000,000",,PIT,1,"$2,500,000","$2,500,000"
19198,Yuli Gurriel,1B,R,R,MIA,40,7.0,-0.4,,,$0,,,ATL,1,,
