playerid,Name,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV
10343,Aaron Loup,RP,L,L,LAA,36,11.0,0.2,,,$0,,,,,,
16149,Aaron Nola,SP,R,R,PHI,31,8.1,3.9,,6,"$150,000,000","$25,000,000","$20,325,000",PHI,7,"$172,000,003","$24,571,429"
15288,Adam Cimber,RP,R,R,TOR,33,5.2,-0.6,,,$0,,,LAA,1,"$1,650,000","$1,650,000"
10843,Adam Kolarek,RP,L,L,NYM,35,3.1,0.2,,,$0,,,LAA,1,"$900,000","$900,000"
1247,Adam Ottavino,RP,S,R,NYM,38,12.1,-0.1,,,$0,,,NYM,1,"$4,500,000","$4,500,000"
15846,Adam Plutko,SP,R,R,KBO,32,3.0,,,,$0,,,,,,
15015,Alex Reyes,RP,R,R,LAD,29,6.1,,,,$0,,,,,,
13781,Alex Wood,SP,R,L,SFG,33,10.1,0.2,,1,"$7,000,000","$7,000,000",,OAK,1,"$8,500,000","$8,500,000"
14375,Amir Garrett,RP,R,L,KCR,32,6.0,-0.2,,,$0,,,SFG,1,$0,
12988,Andrew Chafin,RP,R,L,MIL,34,9.0,0.5,,,$0,,,DET,1,"$4,750,000","$4,750,000"
7982,Anthony Bass,RP,R,R,TOR,36,8.1,0.0,,,$0,,,,,,
10233,Aroldis Chapman,RP,L,L,TEX,36,13.0,1.8,,1,"$7,500,000","$7,500,000",,PIT,1,"$10,500,000","$10,500,000"
13801,Austin Adams,RP,R,R,ARI,33,4.2,0.2,,,$0,,,NYM,1,"$800,000","$800,000"
15290,Austin Pruitt,RP,R,R,OAK,34,5.0,0.4,,,$0,,,TEX,1,$0,
13543,Blake Snell,SP,L,L,SDP,31,7.1,4.2,,5,"$125,000,000","$25,000,000","$20,325,000",SFG,2,"$62,000,000","$29,698,347"
10133,Brad Boxberger,RP,R,R,CHC,36,10.0,-0.2,,,$0,,,,,,
9111,Brad Hand,RP,L,L,ATL,34,10.1,0.5,,,$0,,,,,,
15734,Brad Keller,SP,R,R,KCR,28,6.0,-0.2,,,$0,,,CHW,1,$0,
16162,Brandon Woodruff,SP,L,R,MIL,31,5.2,1.5,,,$0,,,MIL,2,"$17,500,000","$8,750,000"
13942,Brent Suter,RP,L,L,COL,34,6.2,1.3,,1,"$4,650,000","$4,650,000",,CIN,1,"$3,000,000","$3,000,000"
17369,Brett Martin,RP,L,L,TEX,29,4.2,,,,$0,,,,,,
8110,Bryan Shaw,RP,S,R,CHW,36,11.1,0.4,,,$0,,,CHW,1,"$137,097","$137,097"
14814,Buck Farmer,RP,L,R,CIN,33,6.1,0.6,,,$0,,,CIN,1,"$2,250,000","$2,250,000"
13607,Carl Edwards Jr.,RP,R,R,WSN,32,6.2,0.4,,,$0,,,CHC,1,$0,
6632,Carlos Carrasco,SP,R,R,NYM,37,12.1,-0.3,,,$0,,,CLE,1,"$2,000,000","$2,000,000"
14975,Chad Kuhl,SP,R,R,WSN,31,6.2,-0.6,,,$0,,,CHW,1,$0,
6895,Chase Anderson,SP,R,R,COL,36,8.1,0.2,,,$0,,,BOS,1,"$853,495","$853,495"
10855,Chasen Shreve,RP,L,L,CIN,33,7.1,0.2,,,$0,,,TEX,1,$0,
12763,Chris Devenski,RP,R,R,TBR,33,7.0,0.5,,,$0,,,TBR,1,"$1,100,000","$1,100,000"
13896,Chris Flexen,SP,R,R,COL,29,3.1,-0.5,,,$0,,,CHW,1,"$1,750,000","$1,750,000"
13761,Chris Stratton,RP,R,R,TEX,33,6.1,1.1,,,$0,,,KCR,2,"$8,000,000","$4,000,000"
2036,Clayton Kershaw,SP,L,L,LAD,36,15.1,2.4,,1,"$21,000,000","$21,000,000",,LAD,2,"$16,000,000","$8,000,000"
23293,Codi Heuer,RP,R,R,CHC,27,4.0,,,,$0,,,,,,
12317,Colin Rea,SP,R,R,MIL,33,4.1,0.8,,,$0,,,MIL,1,"$4,500,000","$4,500,000"
15010,Corey Knebel,RP,R,R,PHI,32,7.2,,,,$0,,,CHW,1,$0,
6655,Craig Kimbrel,RP,R,R,PHI,36,12.2,1.1,,1,"$10,000,000","$10,000,000",,BAL,1,"$13,000,000","$13,000,000"
19206,Dakota Hudson,SP,R,R,STL,29,4.2,0.3,,,$0,,,COL,1,"$1,500,000","$1,500,000"
9434,Dallas Keuchel,SP,L,L,MIN,36,10.0,0.2,,,$0,,,MIL,1,"$177,419","$177,419"
7146,Daniel Hudson,RP,R,R,LAD,37,13.1,0.0,,,$0,,,LAD,1,"$2,000,000","$2,000,000"
8241,David Robertson,RP,R,R,MIA,39,14.1,1.2,,1,"$8,000,000","$8,000,000",,TEX,1,"$11,500,000","$10,533,289"
13133,Derek Law,RP,R,R,CIN,33,4.1,0.3,,,$0,,,WSN,1,"$1,500,000","$1,500,000"
17496,Diego Castillo,RP,R,R,SEA,30,4.2,-0.2,,,$0,,,TEX,1,$0,
17149,Domingo Germán,SP,R,R,NYY,31,5.0,1.0,,,$0,,,PIT,1,$0,
13763,Dominic Leone,RP,R,R,SEA,32,7.1,-0.8,,,$0,,,CHW,1,"$1,500,000","$1,500,000"
11426,Drew Pomeranz,RP,R,L,SDP,35,11.0,,,,$0,,,SFG,1,"$693,548","$693,548"
12499,Drew Rucinski,SP,R,R,OAK,35,1.2,-0.6,,,$0,,,,,,
13394,Dylan Floro,RP,L,R,MIN,33,6.1,1.2,,,$0,,,WSN,1,"$2,250,000","$2,250,000"
13164,Eduardo Rodriguez,SP,L,L,DET,31,8.1,3.0,,4,"$76,000,000","$19,000,000",,ARI,4,"$80,000,000","$20,000,000"
16933,Elieser Hernández,SP,R,R,NYM,29,5.0,,,,$0,,,LAD,1,$0,
14771,Emilio Pagán,RP,L,R,MIN,33,6.1,1.2,,1,"$5,000,000","$5,000,000",,CIN,2,"$16,000,000","$8,000,000"
10314,Erasmo Ramírez,RP,R,R,TBR,34,8.1,-0.3,,,$0,,,TBR,1,$0,
19316,Eric Lauer,SP,R,L,MIL,29,4.1,-0.8,,,$0,,,PIT,1,$0,
17425,Erick Fedde,SP,R,R,KBO,31,4.1,,,,$0,,,CHW,2,"$15,000,000","$7,500,000"
14309,Frankie Montas,SP,R,R,NYY,31,6.0,0.0,,1,"$8,000,000","$8,000,000",,CIN,1,"$16,000,000","$16,000,000"
11804,Héctor Neris,RP,R,R,HOU,35,8.1,0.9,,2,"$16,000,000","$8,000,000",,CHC,1,"$9,000,000","$9,000,000"
17479,Jack Flaherty,SP,R,R,BAL,28,6.0,1.8,,2,"$20,000,000","$10,000,000",,DET,1,"$14,000,000","$14,000,000"
12323,Jacob Barnes,RP,R,R,STL,34,5.1,0.1,,,$0,,,WSN,1,"$800,000","$800,000"
18356,Jaime Barria,SP,R,R,LAA,27,4.0,-0.7,,,$0,,,CLE,1,$0,
5003,Jake Diekman,RP,R,L,TBR,37,11.1,0.4,,,$0,,,NYM,1,"$4,000,000","$4,000,000"
6397,Jake Odorizzi,SP,R,R,TEX,34,10.0,,,1,"$8,000,000","$8,000,000",,TBR,1,$0,
18674,Jake Woodford,SP,R,R,STL,27,3.0,-0.6,,,$0,,,CHW,1,$0,
13619,Jakob Junis,SP,R,R,SFG,31,6.0,0.7,,,$0,,,MIL,1,"$7,000,000","$7,000,000"
