playerid,Name_x,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV,Name_y,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,MLBAMID
5297,Aaron Hicks,CF/LF/RF,S,R,BAL,34,10.0,0.9,,,$0,,,LAA,1.0,"$740,000","$740,000",Aaron Hicks,- - -,93,312,8,44,36,6,0.134615384,0.221153846,0.130111524,0.310880829,0.252788104,0.352564102,0.382899628,0.326219705,0.282,108.9049725,1.055994324,4.385039994,-5.698773503,0.937721381,Aaron Hicks,543305
10950,Adam Duvall,CF/LF/RF,R,R,BOS,35,7.2,1.5,,1.0,"$8,000,000","$8,000,000",,ATL,1.0,"$3,000,000","$3,000,000",Adam Duvall,BOS,92,353,21,45,58,4,0.062322946,0.31161473,0.284375,0.298969072,0.246875,0.303116147,0.53125,0.347401128,0.304,115.7863553,0.819632209,7.496751823,-4.953449368,1.462776615,Adam Duvall,594807
15082,Adam Engel,CF/LF/RF,R,R,SDP,32,5.1,-0.2,,,$0,,,,,,,Adam Engel,SDP,5,6,0,0,0,0,0.0,0.333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.073,-100.0,-0.422078043,-1.988720182,-0.539039845,-0.231733485,Adam Engel,641553
15223,Adam Frazier,2B,L,R,BAL,32,7.1,0.4,,1.0,"$6,000,000","$6,000,000",,KCR,1.0,"$4,500,000","$4,500,000",Adam Frazier,BAL,141,455,13,59,60,11,0.07032967,0.149450549,0.155339805,0.258258258,0.240291262,0.3,0.395631067,0.302405975,0.301,92.97407896,1.413625951,-2.416801487,-8.872182727,0.432845953,Adam Frazier,624428
9256,AJ Pollock,LF/RF/DH,R,R,SFG,36,11.0,-0.8,,1.0,"$4,000,000","$4,000,000",,,,,,AJ Pollock,- - -,54,144,5,15,15,0,0.0625,0.222222222,0.142857143,0.173469387,0.165413533,0.215277777,0.308270676,0.227302968,0.267,45.19094911,-0.510882967,-10.10932071,-2.372285672,-0.751601505,AJ Pollock,572041
15518,Amed Rosario,SS/2B,R,R,LAD,28,6.1,0.4,,2.0,"$18,000,000","$9,000,000",,TBR,1.0,"$1,500,000","$1,500,000",Amed Rosario,- - -,142,545,6,70,58,15,0.053211009,0.181651376,0.115686274,0.31372549,0.262745098,0.304587155,0.378431372,0.297008639,0.305,87.4405591,0.582412021,-7.659145103,-6.872783571,0.412789135,Amed Rosario,642708
19514,Andrew Knizner,C,R,R,STL,29,4.0,0.0,,,$0,,,TEX,1.0,"$1,825,000","$1,825,000",Andrew Knizner,STL,70,241,10,30,31,2,0.049792531,0.25726141,0.183035714,0.287581699,0.241071428,0.2875,0.424107142,0.305728724,0.286,91.9689683,-1.563911594,-3.961677833,-4.009728253,0.02163658,Andrew Knizner,668800
9847,Andrew McCutchen,DH/LF/RF,R,R,PIT,37,14.1,1.3,,,$0,,,PIT,1.0,"$5,000,000","$5,000,000",Andrew McCutchen,PIT,112,473,12,55,43,11,0.158562367,0.21141649,0.141025641,0.312056737,0.256410256,0.378435517,0.397435897,0.345289142,0.353,114.4131299,-1.57198326,6.873760443,-10.01053101,1.289766993,Andrew McCutchen,457705
12976,Austin Hedges,C,R,R,TEX,31,7.2,1.0,,,$0,,,CLE,1.0,"$4,000,000","$4,000,000",Austin Hedges,- - -,82,212,1,14,16,1,0.051886792,0.221698113,0.043243244,0.235714285,0.183783783,0.233830845,0.227027027,0.209158537,0.253,23.42009669,-0.49473522,-20.51412407,23.62455511,1.029368726,Austin Hedges,595978
15672,Austin Meadows,RF/LF,L,L,DET,29,5.1,-0.1,,,$0,,,,,,,Austin Meadows,DET,6,21,0,0,2,0,0.0,0.142857142,0.047619047,0.277777777,0.238095238,0.238095238,0.285714285,0.227328931,0.22,39.510687,-0.044223486,-1.566279114,0.065145999,-0.077755925,Austin Meadows,640457
15941,Austin Nola,C,R,R,SDP,34,4.0,-0.9,,,$0,,,KCR,1.0,"$975,000","$975,000",Austin Nola,SDP,52,154,1,9,8,0,0.116883116,0.201298701,0.046153846,0.183673469,0.146153846,0.26,0.192307692,0.21967793,0.266,36.50282996,-0.154369381,-12.26853617,-1.980499387,-0.899115186,Austin Nola,543592
