playerid,Name_x,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV,Name_y,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,MLBAMID
3473,Anthony Rizzo,1B,L,L,NYY,35,12.2,-0.2,0.3,1.0,"$8,000,000","$8,000,000",,,,,,Anthony Rizzo,NYY,92,375,8,38,35,0,0.072,0.173333333,0.106824926,0.259398496,0.228486646,0.301333333,0.335311572,0.2847893614768982,0.297,84.11102083124227,-2.8095961436629295,-9.627217397445015,-5.278091669082642,-0.2483299840039718,Anthony Rizzo,519203
2396,Carlos Santana,1B,S,R,MIN,39,14.1,3.0,1.5,1.0,"$7,000,000","$7,000,000",,CLE,1.0,"$12,000,000","$12,000,000",Carlos Santana,MIN,150,594,23,63,71,4,0.109427609,0.166666666,0.182341651,0.251870324,0.238003838,0.328282828,0.420345489,0.3264504484517118,0.33,114.09852154200696,-0.9376297667622566,8.644578912590088,0.7869558334350586,3.019100983460901,Carlos Santana,467793
13419,Christian Walker,1B,R,R,ARI,34,6.1,3.0,3.1,3.0,"$54,000,000","$18,000,000","$21,050,000",HOU,3.0,"$60,000,000","$20,000,000",Christian Walker,ARI,130,552,26,72,84,2,0.099637681,0.240942028,0.217118998,0.286585365,0.25052192,0.335144927,0.467640918,0.3434478165241924,0.351,119.1957423564317,-3.2285120710730553,9.442324060642983,1.2939977645874023,3.007289853447695,Christian Walker,572233
15676,José Abreu,1B,R,R,HOU,38,10.1,-1.5,-0.1,,$0,,,,,,,José Abreu,HOU,35,120,2,10,7,0,0.033333333,0.233333333,0.07079646,0.142857142,0.123893805,0.166666666,0.194690265,0.1635177373886108,0.198,0.3575653156795391,-0.7439274191856384,-14.42534769455562,-4.190297245979309,-1.5094434658012956,Jose Abreu,547989
13145,Josh Bell,1B,S,R,ARI,32,8.1,-0.1,0.7,1.0,"$8,000,000","$8,000,000",,WSN,1.0,"$6,000,000","$6,000,000",Josh Bell,- - -,145,603,19,62,71,0,0.084577114,0.199004975,0.156133829,0.286069651,0.249070631,0.319397993,0.40520446,0.3167610388105638,0.31,100.63183406299213,-4.043218985199928,-3.587621170704967,-17.84879422187805,-0.140035566824376,Josh Bell,605137
9218,Paul Goldschmidt,1B,R,R,STL,37,13.1,1.1,1.9,1.0,"$14,000,000","$14,000,000",$0,NYY,1.0,"$12,500,000","$12,500,000",Paul Goldschmidt,STL,154,654,22,70,65,11,0.071865443,0.264525993,0.168614357,0.307881773,0.245409015,0.301538461,0.414023372,0.3098225554934254,0.329,99.66620026889004,-0.0536851286888122,-0.3147359207215428,-10.6699880361557,1.1147932291900078,Paul Goldschmidt,502671
19251,Pete Alonso,1B,R,R,NYM,30,6.0,2.1,2.4,5.0,"$125,000,000","$25,000,000","$21,050,000",,,,,Pete Alonso,NYM,162,695,34,91,88,3,0.100719424,0.247482014,0.21875,0.275862068,0.240131578,0.329496402,0.458881578,0.3398528206020637,0.343,121.92445845780296,-4.262858524918556,13.958257095506312,-16.85468626022339,2.0911432692374055,Pete Alonso,624413
15679,Rowdy Tellez,1B,L,L,PIT,30,6.0,-0.5,0.4,,$0,,,,,,,Rowdy Tellez,PIT,132,421,13,38,56,1,0.073634204,0.211401425,0.148825065,0.279720279,0.242819843,0.29928741,0.391644908,0.3009369958041683,0.302,89.63102511555812,-2.3494464084506035,-7.569550976121651,-10.961392164230348,-0.4659087896740475,Rowdy Tellez,642133
17982,Ty France,1B,R,R,CIN,30,5.1,-0.9,0.4,,$0,,,,,,,Ty France,- - -,140,535,13,46,51,1,0.071028037,0.213084112,0.131524008,0.277310924,0.233820459,0.304672897,0.365344467,0.2961297543249397,0.303,92.66403211301484,-3.632470428943634,-8.30509561433646,-18.15307855606079,-0.8913281964771038,Ty France,664034
19198,Yuli Gurriel,1B,R,R,KCR,41,7.1,-0.1,0.0,,$0,,,,,,,Yuli Gurriel,KCR,18,65,0,7,6,1,0.138461538,0.23076923,0.055555556,0.31707317,0.24074074,0.338461538,0.296296296,0.288963415989509,0.316,82.58478900058682,0.0848066993057727,-1.210425715598125,-1.5011991038918495,-0.0562673290175883,Yuli Gurriel,493329
12164,Miguel Sanó,1B/3B/DH,R,R,LAA,32,8.0,-0.1,0.1,,$0,,,,,,,Miguel Sanó,LAA,28,95,2,9,6,0,0.094736842,0.378947368,0.108433735,0.326086956,0.204819277,0.294736842,0.313253012,0.2745857859912671,0.312,75.16797759192269,-0.5695794299244881,-3.2688182058219297,-0.7598588168621063,-0.0890049706966879,Miguel Sano,593934
15279,Garrett Cooper,1B/DH,R,R,BOS,34,6.1,-0.4,0.0,,$0,,,ATL,1.0,$0,,Garrett Cooper,- - -,36,116,1,6,11,0,0.060344827,0.301724137,0.093457944,0.295774647,0.205607476,0.267241379,0.29906542,0.2534630134187896,0.321,57.694447110896135,-0.3097003921866417,-5.8843842479690105,-1.5682739615440369,-0.3704730025501129,Garrett Cooper,643265
