playerid,Name_x,Position,Bats,Throws,Prev_Team,Age,Service,WAR_19,WAR_proj,Years_Med,Total_Med,AAV_Med,QO,Signing_Team,Years,Total,AAV,Name_y,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,MLBAMID
10343,Aaron Loup,RP,L,L,LAA,36,11.0,0.2,,,$0,,,,,,,Aaron Loup,LAA,2,3,1,55,0,48.2,8.321919548,3.69863091,1.109589273,0.373417722,0.63613232,0.465838509,0.111111111,91.52218905,6.102741002,4.39,4.364629633,4.596430942,0.189486995,Aaron Loup,571901
16149,Aaron Nola,SP,R,R,PHI,31,8.1,3.9,,6.0,"$150,000,000","$25,000,000","$20,325,000",PHI,7.0,"$172,000,003","$24,571,429",Aaron Nola,PHI,12,9,0,32,32,193.2,9.387263832,2.091222141,1.4870913,0.28460039,0.6640625,0.426199261,0.15609756,92.87470083,4.4612739,3.71,4.029567078,3.63165196,3.866112709,Aaron Nola,605400
15288,Adam Cimber,RP,R,R,TOR,33,5.2,-0.6,,,$0,,,LAA,1.0,"$1,650,000","$1,650,000",Adam Cimber,TOR,0,2,1,22,0,20.2,5.225807577,3.048387753,2.612903788,0.287878788,0.65217391,0.478873239,0.285714285,85.3026131,7.403227401,6.2,7.464718685,5.370543404,-0.621540904,Adam Cimber,643256
10843,Adam Kolarek,RP,L,L,NYM,35,3.1,0.2,,,$0,,,LAA,1.0,"$900,000","$900,000",Adam Kolarek,- - -,0,0,0,5,0,6.0,10.50000167,1.500000238,0.0,0.153846154,1.0,0.666666666,0.0,89.20300293,0.0,1.73,1.921706814,2.748382823,0.170059748,Adam Kolarek,592473
1247,Adam Ottavino,RP,S,R,NYM,38,12.1,-0.1,,,$0,,,NYM,1.0,"$4,500,000","$4,500,000",Adam Ottavino,NYM,1,7,12,66,0,61.2,9.048649582,4.232432869,1.021621727,0.251612903,0.80601093,0.5625,0.145833333,93.38697161,3.210811142,3.53,4.519905355,4.331162917,-0.070763446,Adam Ottavino,493603
13781,Alex Wood,SP,R,L,SFG,33,10.1,0.2,,1.0,"$7,000,000","$7,000,000",,OAK,1.0,"$8,500,000","$8,500,000",Alex Wood,SFG,5,5,0,29,12,97.2,6.819113338,3.87030757,0.829351622,0.300675676,0.70901034,0.45,0.081818181,,4.331058472,4.64,4.473470521,5.137655159,0.213450298,Alex Wood,622072
14375,Amir Garrett,RP,R,L,KCR,32,6.0,-0.2,,,$0,,,SFG,1.0,$0,,Amir Garrett,KCR,0,1,0,27,0,24.1,10.35616574,7.39726124,1.479452248,0.3,0.85164835,0.475409836,0.166666666,95.03884626,3.328767558,4.93,5.556410523,5.050127255,-0.220334738,Amir Garrett,607237
12988,Andrew Chafin,RP,R,L,MIL,34,9.0,0.5,,,$0,,,DET,1.0,"$4,750,000","$4,750,000",Andrew Chafin,- - -,3,4,8,63,0,51.1,11.04545728,4.909092125,1.051948313,0.30952381,0.67073171,0.384615384,0.122448979,92.16000821,4.733767406,4.36,4.014780807,4.073499704,0.482467264,Andrew Chafin,605177
7982,Anthony Bass,RP,R,R,TOR,36,8.1,0.0,,,$0,,,,,,,Anthony Bass,TOR,0,0,0,22,0,20.0,8.550001631,4.050000772,1.350000257,0.280701754,0.67226891,0.383333333,0.130434782,94.60577393,4.950000944,5.23,4.655040627,4.606395134,-0.015376644,Anthony Bass,542914
10233,Aroldis Chapman,RP,L,L,TEX,36,13.0,1.8,,1.0,"$7,500,000","$7,500,000",,PIT,1.0,"$10,500,000","$10,500,000",Aroldis Chapman,- - -,6,5,6,61,0,58.1,15.89142944,5.554286017,0.617142891,0.314285714,0.73099415,0.47706422,0.117647058,99.06730109,3.085714454,2.82,2.517897462,2.590136774,1.750276834,Aroldis Chapman,547973
13801,Austin Adams,RP,R,R,ARI,33,4.2,0.2,,,$0,,,NYM,1.0,"$800,000","$800,000",Austin Adams,ARI,0,1,0,24,0,17.1,11.42308028,4.153847373,0.519230922,0.333333333,0.61594203,0.369565217,0.055555555,93.8379896,5.711540138,3.55,3.716578956,4.683521446,0.186380699,Austin Adams,613534
15290,Austin Pruitt,RP,R,R,OAK,34,5.0,0.4,,,$0,,,TEX,1.0,$0,,Austin Pruitt,OAK,2,6,0,38,6,48.1,5.586208146,2.234483258,0.931034691,0.263513514,0.78,0.361842105,0.076923076,91.81501116,2.979311011,4.01,4.165385391,5.044031049,0.408033229,Austin Pruitt,643493
13543,Blake Snell,SP,L,L,SDP,31,7.1,4.2,,5.0,"$125,000,000","$25,000,000","$20,325,000",SFG,2.0,"$62,000,000","$29,698,347",Blake Snell,SDP,14,9,0,32,32,180.0,11.7,4.95,0.75,0.255754476,0.86734694,0.444444444,0.108695652,95.6859081,2.25,3.77,3.438373693,3.622610038,4.156758785,Blake Snell,605483
10133,Brad Boxberger,RP,R,R,CHC,36,10.0,-0.2,,,$0,,,,,,,Brad Boxberger,CHC,0,1,2,22,0,20.0,7.65000073,4.950000472,1.350000129,0.230769231,0.70175439,0.436363636,0.15,91.43454363,4.950000472,4.77,5.305040555,5.008392281,-0.174535125,Brad Boxberger,502202
9111,Brad Hand,RP,L,L,ATL,34,10.1,0.5,,,$0,,,,,,,Brad Hand,- - -,5,3,1,60,0,53.2,9.894411813,3.689441693,1.006211371,0.333333333,0.66115702,0.37062937,0.127659574,92.75086769,5.53416254,4.58,4.01901566,4.013565952,0.472304456,Brad Hand,543272
15734,Brad Keller,SP,R,R,KCR,28,6.0,-0.2,,,$0,,,CHW,1.0,$0,,Brad Keller,KCR,3,4,0,11,9,45.1,6.154412455,8.933824532,0.595588302,0.302325581,0.74592075,0.583333333,0.081081081,,4.566176983,5.66,5.924158306,6.413291042,-0.168702975,Brad Keller,641745
16162,Brandon Woodruff,SP,L,R,MIL,31,5.2,1.5,,,$0,,,MIL,2.0,"$17,500,000","$8,750,000",Brandon Woodruff,MIL,5,1,0,11,11,67.0,9.940298507,2.014925373,1.208955224,0.203947368,0.9030837,0.364779874,0.125,95.8814593,2.28358209,2.82,3.598323942,3.628791498,1.450810432,Brandon Woodruff,605540
13942,Brent Suter,RP,L,L,COL,34,6.2,1.3,,1.0,"$4,650,000","$4,650,000",,CIN,1.0,"$3,000,000","$3,000,000",Brent Suter,COL,4,3,0,57,2,69.1,7.139423601,3.245192546,0.389423105,0.300970874,0.64189189,0.465346534,0.044776119,,3.375000248,3.23,3.442540373,4.477750558,1.307516852,Brent Suter,608718
