playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,BB/K,ISO,BABIP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,OBP,wRC+,Off,Def,Spd,BsR,WAR,Barrel%,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Pull%,Cent%,Oppo%,LD%,GB%,FB%,EV,maxEV,LA,Clutch
13624,Corey Seager,SS,L,R,LAD,28,6,123,533,132,81,21,0,30,68,74,1,9.90%,18.00%,55.20%,0.234,0.291,0.278,0.289,0.365,0.39,0.512,0.561,0.353,140.3,19.4,6.8,1.6,-5.2,4.5,15.20%,49.60%,27.00%,77.90%,53.00%,49.00%,88.20%,78.40%,43.60%,33.90%,22.60%,16.50%,41.20%,42.30%,92.1,113.3,13.5,1.9
12979,Javier Báez,SS/2B,R,R,NYM,29,6.1,80,289,50,32,12,0,6,25,37,8,4.20%,23.90%,17.40%,0.11,0.22,0.184,0.222,0.224,0.264,0.294,0.345,0.221,42.7,-18.3,2,4.9,0.6,-0.7,7.80%,39.80%,42.60%,64.70%,52.40%,56.80%,84.20%,71.70%,44.20%,36.90%,18.90%,18.40%,46.60%,35.00%,88.3,111.1,11.2,1.2
15194,Jake Bauers,1B/LF/RF,L,L,SEA,26,2.1,117,346,60,37,9,2,12,45,43,13,11.30%,34.10%,33.10%,0.162,0.279,0.199,0.201,0.294,0.302,0.361,0.379,0.301,87.3,-4.2,-6.8,6.9,1.1,0,10.30%,41.80%,20.20%,67.70%,45.80%,32.60%,83.10%,72.80%,50.00%,31.00%,19.00%,21.50%,28.70%,49.70%,89.4,110.1,22.6,1
10231,Jose Iglesias,SS/2B,R,R,BOS,32,9,85,291,91,70,16,1,4,39,26,6,4.10%,13.40%,30.80%,0.111,0.382,0.337,0.285,0.362,0.314,0.448,0.369,0.381,136.7,12.6,2.3,4.7,-0.2,2.5,2.20%,30.60%,40.20%,63.30%,52.50%,78.30%,89.80%,85.60%,31.00%,38.40%,30.60%,23.70%,48.70%,27.60%,85.8,109.8,9,0.9
11899,Joc Pederson,RF/LF/CF,L,L,ATL,30,7,132,449,101,60,17,1,23,62,64,7,12.20%,23.40%,52.40%,0.24,0.322,0.275,0.264,0.391,0.378,0.515,0.48,0.393,151.2,26.4,-12.6,3.9,-1.1,3,12.50%,45.40%,30.10%,58.40%,43.60%,64.90%,84.90%,77.70%,50.00%,35.70%,14.30%,20.50%,39.20%,40.30%,92.2,114.1,17,0.9
11445,Mark Canha,RF/LF/CF,R,R,OAK,33,6.1,125,462,95,68,20,0,7,46,42,7,11.00%,20.80%,53.10%,0.104,0.298,0.242,0.212,0.31,0.288,0.346,0.306,0.344,102.3,2.1,-7.8,3.8,0.9,1,3.30%,37.40%,21.70%,59.20%,41.50%,69.80%,84.20%,80.70%,47.70%,31.80%,20.50%,16.90%,49.30%,33.80%,88.4,107,9.6,0.7
16478,Kyle Schwarber,LF/1B/DH,L,R,BOS,29,6.1,150,692,142,82,22,0,38,110,104,5,15.30%,28.50%,53.80%,0.237,0.301,0.248,0.256,0.366,0.38,0.485,0.512,0.366,135.3,26.8,-16.7,2.9,-2.4,3.4,15.60%,54.90%,20.70%,59.20%,40.00%,44.20%,79.40%,70.30%,50.50%,33.30%,16.10%,18.20%,41.70%,40.10%,93.6,115.6,15,0.7
3473,Anthony Rizzo,1B,L,L,NYY,32,9.2,92,375,77,57,12,0,8,38,35,0,7.20%,17.30%,41.50%,0.107,0.259,0.228,0.24,0.285,0.297,0.335,0.34,0.301,84.1,-9.6,-5.3,1.5,-2.8,-0.2,4.00%,32.80%,33.10%,65.80%,49.10%,65.30%,91.50%,82.50%,44.90%,27.70%,27.40%,21.50%,43.80%,34.70%,86.7,110.7,14.3,0.6
9241,Starling Marte,CF/RF/LF,R,R,OAK,33,8.2,94,370,90,67,13,3,7,46,40,16,7.30%,21.90%,33.30%,0.119,0.333,0.269,0.287,0.313,0.337,0.388,0.425,0.327,103.9,3.8,-10.1,6.8,2.1,0.6,6.90%,42.90%,30.10%,67.20%,49.80%,49.20%,84.60%,74.60%,42.50%,34.00%,23.60%,26.80%,50.40%,22.80%,89.8,110.9,4.3,0.5
13768,Travis Jankowski,CF/LF/RF,L,R,PHI,31,5,104,207,38,32,5,0,1,19,12,11,5.80%,21.30%,27.30%,0.042,0.255,0.2,0.207,0.234,0.241,0.242,0.252,0.266,48.3,-10.5,0.7,5.7,1.8,-0.3,0.70%,24.70%,19.90%,63.80%,44.40%,55.60%,86.60%,80.50%,32.90%,34.20%,32.90%,11.90%,60.80%,27.30%,85.4,105.1,5.9,0.5
2967,Tommy Pham,LF/RF,R,R,SDP,34,6.1,116,478,109,77,20,3,9,49,39,7,7.30%,22.20%,33.00%,0.12,0.307,0.248,0.263,0.297,0.319,0.368,0.407,0.305,90.9,-8.2,-8.5,4.6,-3.1,-0.1,7.20%,42.70%,18.20%,59.00%,40.50%,48.10%,86.50%,78.70%,37.00%,34.30%,28.70%,22.10%,44.20%,33.70%,90.4,112.9,11.1,0.4
8090,Matt Carpenter,1B/3B/DH,L,R,STL,36,10,59,157,32,21,7,0,4,15,15,0,9.60%,32.50%,29.40%,0.139,0.333,0.234,0.211,0.303,0.287,0.372,0.35,0.314,95.1,-3.1,-4.2,1.8,-2.2,-0.2,6.70%,27.00%,21.40%,60.60%,42.20%,41.80%,83.70%,73.80%,39.80%,36.40%,23.90%,26.70%,26.70%,46.50%,85.8,106.5,24.2,0.4
12434,Kevin Pillar,LF/CF/RF,R,R,NYM,33,7.1,100,314,65,40,16,1,8,38,45,12,5.10%,22.00%,23.20%,0.148,0.271,0.229,0.221,0.293,0.275,0.377,0.329,0.291,87.9,-2.9,-2.2,6.2,1.4,0.5,3.70%,29.70%,35.30%,69.20%,52.20%,57.70%,88.50%,78.10%,47.00%,32.00%,21.00%,18.80%,35.30%,45.90%,84.6,108.8,17.9,0.4
9627,Yan Gomes,C,R,R,OAK,34,9.1,34,96,14,10,2,0,2,7,7,0,2.10%,37.50%,5.60%,0.088,0.222,0.154,0.212,0.184,0.259,0.242,0.364,0.179,16.4,-9.7,-5,1.7,-0.1,-1.2,10.50%,42.10%,40.70%,75.60%,58.70%,40.50%,80.80%,67.30%,31.60%,42.10%,26.30%,23.20%,33.90%,42.90%,87.1,106.9,17,0.2
13355,Luke Maile,C,R,R,MIL,31,4.1,55,154,24,18,4,0,2,8,8,2,8.40%,33.80%,25.00%,0.074,0.268,0.178,0.177,0.241,0.241,0.252,0.252,0.268,45.2,-10,-2,3,0.1,-0.7,3.50%,24.70%,26.40%,64.10%,45.10%,45.90%,85.60%,73.90%,43.50%,38.80%,17.60%,25.30%,42.20%,32.50%,84.7,106,11.3,0
14130,Daniel Vogelbach,1B/DH,L,R,MIL,29,3.1,31,79,13,7,5,0,1,5,8,0,11.40%,21.50%,52.90%,0.114,0.231,0.186,0.273,0.262,0.36,0.3,0.466,0.278,69.4,-3.4,-2.4,0.7,-0.6,-0.3,9.40%,43.40%,17.20%,43.00%,29.80%,67.70%,94.60%,86.70%,45.30%,39.60%,15.10%,20.80%,49.10%,30.20%,90.9,109,8.1,0
12155,Eddie Rosario,LF/RF,L,R,ATL,30,6.1,91,319,52,30,12,0,10,33,35,9,5.00%,24.10%,20.80%,0.141,0.196,0.175,0.211,0.23,0.257,0.316,0.34,0.215,44.6,-19.1,-11.1,5.4,2,-2,5.30%,42.50%,36.00%,68.90%,52.10%,58.90%,82.50%,74.10%,45.10%,28.80%,26.10%,19.70%,39.50%,40.80%,91,110.2,14.3,0
12092,Niko Goodrum,SS/2B/3B/OF,S,R,DET,30,4,13,33,3,3,0,0,0,2,0,1,9.10%,30.30%,30.00%,0,0.158,0.103,0.168,0.147,0.229,0.103,0.249,0.188,-10.2,-4.4,-4.5,4,-0.3,-0.8,5.00%,25.00%,23.90%,59.40%,41.40%,52.90%,73.20%,67.20%,40.00%,35.00%,25.00%,10.50%,84.20%,5.30%,86.3,104.2,-15.7,0
