playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,BB/K,ISO,BABIP,OBP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,wRC+,Off,Def,Spd,BsR,WAR,Barrel%,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Pull%,Cent%,Oppo%,LD%,GB%,FB%,EV,maxEV,LA,Clutch
15487,Victor Reyes,CF/RF/LF,S,R,DET,28,4.1,92,336,80,55,19,3,3,27,34,2,3.90%,22.90%,16.90%,0.108,0.322,0.289,0.254,0.261,0.284,0.292,0.362,0.368,84.4,-6.1,-4.8,3.7,-0.2,0,5.00%,36.80%,42.70%,68.60%,55.40%,68.10%,79.20%,74.80%,41.30%,30.60%,28.10%,24.30%,44.40%,31.40%,87.9,110.9,10.9,2.3
2396,Carlos Santana,1B/DH,S,R,SEA,37,12.1,131,506,87,50,18,0,19,52,60,0,14.00%,17.40%,80.70%,0.174,0.209,0.316,0.202,0.253,0.308,0.352,0.376,0.438,101.9,0.4,-8.1,1,-0.7,0.9,9.30%,44.90%,21.30%,63.20%,42.60%,63.90%,85.80%,80.50%,48.40%,33.30%,18.30%,16.90%,39.20%,43.90%,90.7,111.3,15.4,2
11342,Jesús Aguilar,1B,R,R,BAL,33,6.1,129,507,109,74,19,0,16,39,51,1,5.50%,23.50%,23.50%,0.144,0.278,0.281,0.235,0.24,0.288,0.298,0.379,0.393,82.1,-14,-10.1,1.5,-3.5,-0.7,6.70%,35.40%,35.90%,64.30%,49.50%,59.70%,84.20%,74.90%,37.10%,38.00%,24.90%,24.00%,30.90%,45.10%,87.8,108.1,18.9,1.8
11615,Brandon Drury,3B/1B/2B,R,R,SDP,30,6,138,568,136,75,31,2,28,87,87,2,6.70%,22.20%,30.20%,0.23,0.293,0.32,0.263,0.242,0.35,0.316,0.492,0.42,123,12.4,-2.3,3.5,-2.8,3.1,10.40%,41.70%,29.90%,61.20%,45.90%,65.30%,88.50%,81.20%,47.20%,30.10%,22.70%,19.70%,40.90%,39.40%,89.1,112.4,13.8,1.7
9256,AJ Pollock,LF/RF/CF,R,R,CHW,35,10.1,138,527,120,79,26,1,14,61,56,3,6.10%,18.60%,32.70%,0.143,0.278,0.292,0.245,0.258,0.297,0.317,0.389,0.419,92.1,-7,-4.5,3.5,-2.4,0.5,9.40%,42.00%,33.00%,73.80%,53.60%,55.10%,88.10%,78.00%,43.80%,32.90%,23.30%,19.00%,45.20%,35.80%,88.8,110.8,11.8,1.7
12282,Rougned Odor,2B,L,R,BAL,29,8.1,135,472,88,53,19,3,13,49,53,6,6.80%,23.10%,29.40%,0.15,0.244,0.275,0.207,0.207,0.278,0.277,0.357,0.339,81.8,-8.9,-2.9,5.1,0.8,0.3,6.50%,33.30%,31.20%,70.50%,50.10%,54.40%,84.90%,75.10%,44.50%,35.80%,19.60%,19.40%,31.50%,49.00%,87.8,109.7,21.5,1.4
2434,Nelson Cruz,DH,R,R,WSN,42,15.1,124,507,105,79,16,0,10,50,64,4,9.70%,23.50%,41.20%,0.103,0.295,0.313,0.234,0.241,0.292,0.32,0.337,0.399,87,-8.5,-13.3,3,-0.9,-0.5,9.30%,45.70%,31.00%,70.40%,50.80%,51.50%,78.40%,70.30%,35.20%,36.10%,28.60%,19.30%,52.40%,28.30%,90.9,113.8,7.2,1.2
14691,Harold Castro,2B/3B/1B/SS/,L,R,DET,29,3.1,120,443,114,84,21,2,7,37,47,0,3.80%,17.80%,21.50%,0.11,0.318,0.3,0.271,0.275,0.297,0.316,0.381,0.423,93.2,-4.7,-12.1,2.2,-1.3,-0.3,6.10%,33.20%,38.20%,69.60%,53.60%,68.70%,89.60%,82.00%,36.40%,31.20%,32.40%,25.70%,44.40%,29.80%,87,107.3,11.4,1.2
16252,Trea Turner,SS/2B,R,R,LAD,30,6.1,160,708,194,130,39,4,21,101,100,27,6.40%,18.50%,34.40%,0.169,0.342,0.343,0.298,0.276,0.35,0.335,0.466,0.432,128,29.6,6.8,6.4,6.6,6.4,7.60%,41.40%,32.50%,71.50%,51.20%,52.10%,86.10%,74.90%,45.40%,32.80%,21.80%,21.40%,42.90%,35.70%,88.9,112.5,10.2,1.1
15653,Dominic Smith,1B/LF,L,L,NYM,28,4.1,58,152,26,15,10,1,0,11,17,0,7.90%,24.30%,32.40%,0.09,0.263,0.276,0.194,0.219,0.254,0.293,0.284,0.36,64.5,-5.6,-1.9,2.6,0.6,-0.2,7.10%,46.50%,25.40%,65.20%,45.40%,50.70%,86.20%,76.30%,34.30%,44.40%,21.20%,16.20%,47.50%,36.40%,89.6,107.2,10.9,1
8709,Elvis Andrus,SS,R,R,CHW,34,14,149,577,133,84,32,0,17,66,58,18,6.80%,15.90%,42.40%,0.155,0.272,0.303,0.249,0.245,0.31,0.293,0.404,0.36,104,6.7,7.7,4.5,4.1,3.4,4.50%,34.50%,29.10%,60.90%,45.50%,65.30%,87.40%,80.60%,40.60%,35.40%,23.90%,17.30%,46.50%,36.20%,87.9,109.9,11.9,1
12160,Ben Gamel,RF/LF/1B,L,L,PIT,31,6,115,423,86,55,20,2,9,42,46,5,11.30%,23.20%,49.00%,0.137,0.291,0.324,0.232,0.244,0.308,0.316,0.369,0.372,95,-2.4,-11.5,4.1,0,0.1,6.20%,37.20%,23.20%,62.40%,42.80%,48.20%,88.80%,77.80%,39.80%,36.90%,23.40%,21.90%,43.30%,34.80%,88.8,109.2,11.3,1
5254,Robbie Grossman,LF/RF,S,L,ATL,33,8.1,129,477,86,59,19,1,7,40,45,6,11.70%,27.00%,43.40%,0.102,0.283,0.31,0.209,0.205,0.283,0.281,0.311,0.305,82.4,-9.5,-5.8,3.4,0,0,3.50%,30.10%,21.40%,60.30%,40.90%,54.10%,85.80%,77.60%,49.00%,31.10%,19.90%,24.20%,31.20%,44.60%,86.7,105.8,21.1,1
5235,Justin Turner,3B/DH,R,R,LAD,38,12,128,532,130,81,36,0,13,61,81,3,9.40%,16.70%,56.20%,0.16,0.313,0.35,0.278,0.267,0.343,0.339,0.438,0.427,123.3,10.3,-6.7,2.8,-4.2,2.3,8.00%,40.60%,27.00%,67.70%,48.20%,69.40%,86.10%,81.60%,35.90%,34.90%,29.20%,24.50%,32.00%,43.40%,89.5,108.9,18.4,1
15082,Adam Engel,CF/RF/LF,R,R,CHW,31,5.1,119,260,55,39,13,1,2,32,17,12,4.20%,29.20%,14.50%,0.086,0.317,0.269,0.224,0.219,0.256,0.246,0.31,0.287,63.1,-9.8,0.3,6.8,1,-0.1,1.80%,32.50%,28.60%,65.70%,46.90%,41.00%,80.70%,68.50%,41.40%,31.40%,27.20%,21.40%,39.30%,39.30%,87.9,111.2,15,0.9
12180,Jorge Alfaro,C,R,R,SDP,30,5.1,82,274,63,42,14,0,7,25,40,1,4.00%,35.80%,11.20%,0.137,0.364,0.285,0.246,0.238,0.291,0.295,0.383,0.397,89.9,-3.9,-1.9,2.4,-0.7,0.4,11.20%,38.50%,47.40%,78.60%,62.60%,46.90%,76.40%,65.00%,35.40%,37.30%,27.30%,24.20%,46.60%,29.20%,89.4,115.2,8,0.9
4106,Michael Brantley,DH/LF/RF,L,L,HOU,36,12.1,64,277,70,50,14,1,5,28,26,1,11.20%,10.80%,103.30%,0.128,0.311,0.37,0.288,0.31,0.345,0.374,0.416,0.467,127.7,7,-5.5,2.5,-1.6,1.1,6.00%,45.10%,22.20%,60.20%,41.50%,78.20%,92.20%,88.50%,37.20%,41.90%,20.90%,24.30%,44.40%,31.30%,89.8,108.2,10.7,0.8
14350,Raimel Tapia,LF/RF/CF,L,L,TOR,29,5,128,433,109,79,20,3,7,47,52,8,3.70%,18.70%,19.80%,0.114,0.315,0.292,0.265,0.256,0.293,0.286,0.38,0.366,90.8,-2.5,-7.2,5.3,2,0.4,5.10%,37.50%,41.50%,69.20%,55.00%,67.60%,88.50%,80.40%,33.80%,36.80%,29.30%,19.60%,54.70%,25.70%,87.6,111.7,4,0.8
13338,Omar Narváez,C,L,R,MIL,31,6.1,84,296,54,37,12,1,4,21,23,0,9.80%,19.30%,50.90%,0.099,0.248,0.292,0.206,0.207,0.269,0.268,0.305,0.293,71,-10.7,13.1,1.6,-0.7,1.3,2.40%,18.40%,27.30%,71.60%,49.90%,68.40%,84.00%,79.80%,40.10%,32.90%,27.10%,19.60%,35.80%,44.60%,84.7,106.4,17.7,0.8
15937,Aledmys Díaz,2B/SS/3B/LF,R,R,HOU,32,6.1,92,327,74,49,13,0,12,35,38,1,5.50%,16.20%,34.00%,0.161,0.256,0.287,0.243,0.261,0.301,0.308,0.403,0.396,96.7,-3.7,1,2.1,-2.4,0.8,6.30%,36.60%,30.80%,74.20%,52.50%,61.30%,86.00%,78.70%,48.80%,32.30%,18.90%,22.50%,40.30%,37.20%,86.6,112,12.4,0.7
12164,Miguel Sanó,1B/DH,R,R,MIN,30,7.1,20,71,5,4,0,0,1,1,3,1,12.70%,35.20%,36.00%,0.05,0.114,0.211,0.083,0.167,0.176,0.302,0.133,0.336,7.9,-8.1,-2.8,2.7,-0.8,-0.9,13.90%,52.80%,17.30%,63.30%,39.60%,24.10%,78.00%,65.90%,50.00%,27.80%,22.20%,22.20%,16.70%,61.10%,93.9,108,30,0.6
15104,Jonathan Davis,CF/LF/RF,R,R,MIL,31,2.1,37,91,17,16,1,0,0,9,4,7,15.40%,28.60%,53.80%,0.013,0.34,0.344,0.224,0.218,0.278,0.284,0.237,0.262,77.1,-1.4,3.5,5.1,1,0.5,0.00%,21.60%,22.20%,58.00%,41.20%,53.80%,87.90%,79.40%,45.10%,39.20%,15.70%,20.00%,60.00%,20.00%,84.6,109.1,2.8,0.6
11038,Kevin Kiermaier,CF,L,R,TBR,33,8.1,63,221,47,32,8,0,7,28,22,6,6.30%,27.60%,23.00%,0.141,0.29,0.281,0.228,0.25,0.286,0.305,0.369,0.388,88.7,0.1,2,4.9,2.9,0.9,6.90%,38.60%,28.90%,72.10%,51.40%,35.70%,83.30%,70.50%,33.10%,33.80%,33.10%,20.00%,52.40%,27.60%,87.9,109.9,5.3,0.6
11899,Joc Pederson,RF/LF,L,L,SFG,31,8,134,433,104,59,19,3,23,57,70,3,9.70%,23.10%,42.00%,0.247,0.31,0.353,0.274,0.266,0.373,0.367,0.521,0.502,144.4,22.3,-15,4,0,2.3,15.10%,52.10%,28.10%,65.30%,45.70%,56.00%,88.10%,77.70%,37.70%,37.00%,25.40%,18.90%,36.10%,45.00%,93.2,112.8,14.8,0.5
11902,Hanser Alberto,2B/3B,R,R,LAD,30,6.1,73,159,38,25,9,2,2,13,15,0,1.90%,15.70%,12.00%,0.122,0.279,0.258,0.244,0.216,0.27,0.234,0.365,0.304,73.3,-5.3,-3.4,3.6,-0.3,-0.3,1.50%,18.30%,44.70%,76.70%,60.50%,59.30%,83.80%,74.60%,46.60%,29.80%,23.70%,15.70%,48.80%,35.40%,82.9,104.1,10.8,0.5
