playerid,Name,Projected WAR,Projected Years,Projected Total,Projected AAV,QO,Signing Team,Years,Total Salary,AAV
15487,Victor Reyes,,,$0 ,,,CHW,1,$0 ,
2396,Carlos Santana,,,$0 ,,,PIT,1,"$6,725,000 ","$6,725,000 "
11342,Jesús Aguilar,,,$0 ,,,OAK,1,"$3,000,000 ","$3,000,000 "
11615,Brandon Drury,,3,"$30,000,000 ","$10,000,000 ",,LAA,2,"$17,000,000 ","$8,500,000 "
9256,AJ Pollock,,1,"$8,000,000 ","$8,000,000 ",,SEA,1,"$7,000,000 ","$7,000,000 "
12282,Rougned Odor,,,$0 ,,,SDP,1,"$473,118 ","$473,118 "
2434,Nelson Cruz,,,$0 ,,,SDP,1,"$1,000,000 ","$1,000,000 "
14691,Harold Castro,,,$0 ,,,COL,1,"$1,300,000 ","$1,300,000 "
16252,Trea Turner,,7,"$210,000,000 ","$30,000,000 ","$19,650,000 ",PHI,11,"$300,000,000 ","$27,272,727 "
15653,Dominic Smith,,,$0 ,,,WSN,1,"$2,000,000 ","$2,000,000 "
8709,Elvis Andrus,,2,"$20,000,000 ","$10,000,000 ",,CHW,1,"$3,000,000 ","$3,000,000 "
12160,Ben Gamel,,,$0 ,,,TBR,1,$0 ,
5254,Robbie Grossman,,,$0 ,,,TEX,1,"$2,000,000 ","$2,000,000 "
5235,Justin Turner,,1,"$12,000,000 ","$12,000,000 ",,BOS,2,"$21,700,000 ","$10,850,000 "
15082,Adam Engel,,,$0 ,,,SDP,1,"$1,000,000 ","$1,000,000 "
12180,Jorge Alfaro,,,$0 ,,,BOS,1,$0 ,
4106,Michael Brantley,,1,"$12,000,000 ","$12,000,000 ",,HOU,1,"$12,000,000 ","$12,000,000 "
14350,Raimel Tapia,,,$0 ,,,BOS,1,"$731,183 ","$731,183 "
13338,Omar Narváez,,2,"$14,000,000 ","$7,000,000 ",,NYM,2,"$15,000,000 ","$7,500,000 "
15937,Aledmys Díaz,,,$0 ,,,OAK,2,"$14,500,000 ","$7,250,000 "
12164,Miguel Sanó,,1,"$5,000,000 ","$5,000,000 ",,,,,
15104,Jonathan Davis,,,$0 ,,,DET,1,$0 ,
11038,Kevin Kiermaier,,2,"$16,000,000 ","$8,000,000 ",,TOR,1,"$9,000,000 ","$9,000,000 "
11899,Joc Pederson,,2,"$20,000,000 ","$10,000,000 ","$19,650,000 ",SFG,1,"$19,650,000 ","$19,650,000 "
11902,Hanser Alberto,,,$0 ,,,CHW,1,"$791,398 ","$791,398 "
12976,Austin Hedges,,,$0 ,,,PIT,1,"$5,000,000 ","$5,000,000 "
6310,Alcides Escobar,,,$0 ,,,,,,
12510,Curt Casali,,,$0 ,,,CIN,1,"$3,250,000 ","$3,250,000 "
18314,Dansby Swanson,,6,"$141,000,000 ","$23,500,000 ","$19,650,000 ",CHC,7,"$177,000,000 ","$25,285,714 "
14566,Franmil Reyes,,,$0 ,,,KCR,1,"$2,000,000 ","$2,000,000 "
15191,Chad Pinder,,,$0 ,,,CIN,1,$0 ,
5222,Justin Upton,,,$0 ,,,,,,
6012,Didi Gregorius,,,$0 ,,,,,,
10199,Billy Hamilton,,,$0 ,,,CHW,1,$0 ,
3298,Charlie Culberson,,,$0 ,,,TBR,1,$0 ,
10231,Jose Iglesias,,1,"$5,000,000 ","$5,000,000 ",,MIA,1,$0 ,
12981,Cam Gallagher,,,$0 ,,,CLE,1,"$1,250,000 ","$1,250,000 "
3142,Robinson Chirinos,,,$0 ,,,,,,
9368,Evan Longoria,,1,"$8,000,000 ","$8,000,000 ",,ARI,1,"$4,000,000 ","$4,000,000 "
2136,David Peralta,,1,"$8,000,000 ","$8,000,000 ",,LAD,1,"$6,500,000 ","$6,500,000 "
14553,Nomar Mazara,,,$0 ,,,BAL,1,$0 ,
14735,Brett Phillips,,,$0 ,,,LAA,1,"$1,200,000 ","$1,200,000 "
11442,Gary Sánchez,,1,"$8,000,000 ","$8,000,000 ",,SFG,1,$0 ,
11442,Gary Sánchez,,1,"$8,000,000 ","$8,000,000 ",,NYM,1,"$1,096,774 ","$1,096,774 "
14942,Andrew Knapp,,,$0 ,,,DET,1,$0 ,
17838,Willie Calhoun,,,$0 ,,,NYY,1,$0 ,
18889,Danny Mendick,,,$0 ,,,NYM,1,"$1,000,000 ","$1,000,000 "
13265,Mike Zunino,,1,"$7,500,000 ","$7,500,000 ",,CLE,1,"$6,000,000 ","$6,000,000 "
17901,Andrew Benintendi,,4,"$56,000,000 ","$14,000,000 ",,CHW,5,"$75,000,000 ","$15,000,000 "
16221,Bradley Zimmer,,,$0 ,,,LAD,1,$0 ,
19262,Garrett Hampson,,,$0 ,,,MIA,1,$0 ,
3516,Eric Hosmer,,,$0 ,,,CHC,1,"$720,000 ","$720,000 "
3269,Robinson Canó,,,$0 ,,,,,,
14567,Franchy Cordero,,,$0 ,,,NYY,1,"$1,000,000 ","$1,000,000 "
10071,Jonathan Villar,,,$0 ,,,,,,
12092,Niko Goodrum,,,$0 ,,,BOS,1,$0 ,
4892,Mike Moustakas,,,$0 ,,,COL,1,"$720,000 ","$720,000 "
14523,Pedro Severino,,,$0 ,,,SDP,1,$0 ,
15149,Trey Mancini,,2,"$16,000,000 ","$8,000,000 ",,CHC,2,"$14,000,000 ","$7,000,000 "
14811,Luke Voit,,,$0 ,,,MIL,1,"$666,667 ","$666,667 "
15676,José Abreu,,2,"$32,000,000 ","$16,000,000 ",,HOU,3,"$58,500,000 ","$19,500,000 "
13836,Matt Duffy,,,$0 ,,,KCR,1,"$1,500,000 ","$1,500,000 "
15905,Luis Torrens,,,$0 ,,,CHC,1,"$1,200,000 ","$1,200,000 "
27459,Yoshi Tsutsugo,,,$0 ,,,TEX,1,$0 ,
13367,Stephen Piscotty,,,$0 ,,,SFG,1,$0 ,
9847,Andrew McCutchen,,,$0 ,,,PIT,1,"$5,000,000 ","$5,000,000 "
13621,Jeimer Candelario,,,$0 ,,,WSN,1,"$5,000,000 ","$5,000,000 "
15983,Clint Frazier,,,$0 ,,,TEX,1,$0 ,
12161,Xander Bogaerts,,6,"$168,000,000 ","$28,000,000 ","$19,650,000 ",SDP,11,"$280,000,000 ","$25,454,545 "
8418,Ehire Adrianza,,,$0 ,,,ATL,1,"$1,000,000 ","$1,000,000 "
12649,Alex Dickerson,,,$0 ,,,,,,
10950,Adam Duvall,,1,"$7,000,000 ","$7,000,000 ",,BOS,1,"$7,000,000 ","$7,000,000 "
18316,Edwin Ríos,,,$0 ,,,CHC,1,"$1,000,000 ","$1,000,000 "
12434,Kevin Pillar,,,$0 ,,,ATL,1,"$3,000,000 ","$3,000,000 "
5486,Abraham Almonte,,,$0 ,,,NYM,1,$0 ,
13546,Roman Quinn,,,$0 ,,,CLE,1,$0 ,
5273,Sandy León,,,$0 ,,,TEX,1,$0 ,
12325,Jace Peterson,,,$0 ,,,OAK,2,"$9,500,000 ","$4,750,000 "
15124,Tim Locastro,,,$0 ,,,NYM,1,"$1,400,000 ","$1,400,000 "
12927,Brandon Nimmo,,5,"$100,000,000 ","$20,000,000 ","$19,650,000 ",NYM,8,"$162,000,000 ","$20,250,000 "
10047,Wil Myers,,,$0 ,,,CIN,1,"$7,500,000 ","$7,500,000 "
16909,Colin Moran,,,$0 ,,,SEA,1,$0 ,
8203,Dee Strange-Gordon,,,$0 ,,,,,,
2900,Roberto Pérez,,,$0 ,,,SFG,1,"$2,500,000 ","$2,500,000 "
10323,Rafael Ortega,,,$0 ,,,NYY,1,$0 ,
14950,Johan Camargo,,,$0 ,,,KCR,1,$0 ,
16424,Jordan Luplow,,,$0 ,,,ATL,1,"$1,400,000 ","$1,400,000 "
13329,Jake Lamb,,,$0 ,,,LAA,1,"$625,000 ","$625,000 "
15223,Adam Frazier,,2,"$16,000,000 ","$8,000,000 ",,BAL,1,"$8,000,000 ","$8,000,000 "
10762,Corey Dickerson,,,$0 ,,,WSN,1,"$2,250,000 ","$2,250,000 "
11339,Jake Marisnick,,,$0 ,,,CHW,1,$0 ,
10030,Chris Owings,,,$0 ,,,PIT,1,$0 ,
14274,Mitch Haniger,,2,"$24,000,000 ","$12,000,000 ",,SFG,3,"$43,500,000 ","$14,500,000 "
13768,Travis Jankowski,,,$0 ,,,TEX,1,"$1,250,000 ","$1,250,000 "
12984,Jackie Bradley Jr.,,,$0 ,,,KCR,1,"$383,065 ","$383,065 "
10847,Andrelton Simmons,,,$0 ,,,,,,
14773,Yu Chang,,,$0 ,,,BOS,1,"$850,000 ","$850,000 "
5933,Jean Segura,,2,"$24,000,000 ","$12,000,000 ",,MIA,2,"$17,000,000 ","$6,500,000 "
9774,Christian Vázquez,,2,"$16,000,000 ","$8,000,000 ",,MIN,3,"$30,000,000 ","$10,000,000 "
15998,Cody Bellinger,,,$0 ,,,CHC,1,"$17,500,000 ","$17,500,000 "
3473,Anthony Rizzo,,3,"$54,000,000 ","$18,000,000 ","$19,650,000 ",NYY,2,"$40,000,000 ","$20,000,000 "
10200,Tucker Barnhart,,,$0 ,,,CHC,2,"$6,500,000 ","$3,250,000 "
11476,Odúbel Herrera,,,$0 ,,,,,,
10556,César Hernández,,,$0 ,,,DET,1,$0 ,
18289,Brian Anderson,,,$0 ,,,MIL,1,"$3,500,000 ","$3,500,000 "
11200,Kole Calhoun,,,$0 ,,,SEA,1,$0 ,
13807,Kevin Plawecki,,,$0 ,,,PIT,1,$0 ,
13355,Luke Maile,,,$0 ,,,CIN,1,"$1,175,000 ","$1,175,000 "
4940,Jason Heyward,,,$0 ,,,LAD,1,"$720,000 ","$720,000 "
19198,Yuli Gurriel,,1,"$6,000,000 ","$6,000,000 ",,MIA,1,"$1,250,000 ","$1,250,000 "
17338,Willi Castro,,,$0 ,,,MIN,1,"$1,800,000 ","$1,800,000 "
13359,Tyler Naquin,,,$0 ,,,MIL,1,$0 ,
8090,Matt Carpenter,,1,"$6,000,000 ","$6,000,000 ",,SDP,2,"$12,000,000 ","$6,000,000 "
2967,Tommy Pham,,1,"$6,000,000 ","$6,000,000 ",,NYM,1,"$6,000,000 ","$6,000,000 "
14162,Carlos Correa,,8,"$256,000,000 ","$32,000,000 ",,MIN,6,"$200,000,000 ","$33,333,333 "
6184,J.D. Martinez,,1,"$12,500,000 ","$12,500,000 ",,LAD,1,"$10,000,000 ","$10,000,000 "
13145,Josh Bell,,3,"$39,000,000 ","$13,000,000 ",,CLE,2,"$33,000,000 ","$16,500,000 "
12371,Tommy La Stella,,,$0 ,,,SEA,1,"$720,000 ","$720,000 "
14128,Joey Gallo,,1,"$10,000,000 ","$10,000,000 ",,MIN,1,"$11,000,000 ","$11,000,000 "
8202,Josh Harrison,,,$0 ,,,PHI,1,"$2,000,000 ","$2,000,000 "
8623,Donovan Solano,,,$0 ,,,MIN,1,"$2,000,000 ","$2,000,000 "
10815,Jurickson Profar,,3,"$30,000,000 ","$10,000,000 ",,COL,1,"$7,750,000 ","$7,750,000 "
10264,Brandon Belt,,1,"$10,000,000 ","$10,000,000 ",,TOR,1,"$9,300,000 ","$9,300,000 "
15640,Aaron Judge,,8,"$300,000,000 ","$37,500,000 ","$19,650,000 ",NYY,9,"$360,000,000 ","$40,000,000 "
11609,Willson Contreras,,4,"$70,000,000 ","$17,500,000 ","$19,650,000 ",STL,5,"$87,500,000 ","$17,500,000 "
