playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,BB/K,ISO,BABIP,OBP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,wRC+,WAR,Off,Def,Spd,BsR,Barrel%,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Pull%,Cent%,Oppo%,LD%,GB%,FB%,EV,maxEV,LA,Clutch
19844,Abraham Toro,3B/1B,S,R,ATH,28,3.2,94,364,81,57,17,1,6,34,26,4,5.50%,17.00%,32.30%,0.11,0.279,0.293,0.24,0.245,0.283,0.291,0.35,0.365,86.8,0.7,-4.9,-0.1,3.6,0.6,4.30%,29.20%,32.30%,63.20%,47.80%,68.40%,93.40%,85.00%,40.80%,36.50%,22.70%,19.30%,44.40%,36.40%,87.2,109.9,12.2,0.7
10950,Adam Duvall,LF/RF,R,R,ATL,36,8.2,104,330,55,34,10,0,11,29,30,0,6.40%,30.00%,21.20%,0.142,0.227,0.245,0.182,0.197,0.252,0.283,0.323,0.387,58,-1,-16.8,-4,1.2,-0.3,10.70%,36.60%,32.80%,64.10%,49.00%,51.50%,85.10%,74.30%,52.20%,30.20%,17.60%,18.00%,31.20%,50.70%,86.9,113,22.2,-0.3
15223,Adam Frazier,2B/RF/LF,L,R,KCR,33,8.1,104,294,53,38,10,1,4,35,22,3,7.50%,20.10%,37.30%,0.092,0.246,0.282,0.202,0.238,0.261,0.286,0.294,0.318,63.1,-0.6,-12.2,-3.3,5.1,0.2,2.90%,22.80%,26.30%,66.00%,46.90%,63.40%,88.90%,82.00%,40.30%,33.00%,26.70%,25.40%,38.30%,36.30%,84.5,106.3,15.3,0.3
15937,Aledmys Díaz,3B/2B/1B/SS,R,R,HOU,34,8.1,14,34,3,3,0,0,0,2,1,0,2.90%,26.50%,11.10%,0,0.125,0.118,0.091,0.196,0.098,0.204,0.091,0.236,-41.8,-0.5,-5.7,-0.7,2.6,-0.1,0.00%,33.30%,43.80%,66.20%,56.90%,57.10%,93.30%,81.80%,58.30%,20.80%,20.80%,16.70%,54.20%,29.20%,87.1,105.7,11.9,0.1
17678,Alex Bregman,3B,R,R,HOU,31,8.1,145,634,151,93,30,2,26,79,75,3,6.90%,13.60%,51.20%,0.193,0.264,0.315,0.26,0.257,0.331,0.319,0.453,0.417,118,4.1,10.7,8.1,3.4,-2.3,6.20%,40.10%,22.20%,64.60%,44.90%,75.20%,92.50%,88.50%,39.90%,34.50%,25.70%,18.20%,36.50%,45.30%,89.1,109.1,18.1,-1.9
17027,Alex Verdugo,RF/LF,L,L,NYY,29,6.1,149,621,130,88,28,1,13,74,61,2,7.90%,15.00%,52.70%,0.123,0.253,0.291,0.233,0.25,0.283,0.302,0.356,0.373,83.1,0.6,-14.4,-0.5,2.9,-2.5,5.60%,34.90%,26.50%,59.00%,44.40%,67.60%,93.20%,86.40%,37.20%,34.30%,28.50%,16.90%,49.30%,33.80%,88.3,110.7,9.9,0.9
15518,Amed Rosario,2B/3B/SS/RF,R,R,CIN,29,7.1,103,346,93,69,18,3,3,29,32,13,2.60%,21.10%,12.30%,0.099,0.35,0.306,0.28,0.25,0.299,0.28,0.38,0.359,96.2,0.3,-1.1,-7.8,5.6,0.7,4.60%,36.20%,38.00%,72.10%,55.10%,61.30%,86.70%,78.00%,33.50%,38.10%,28.50%,21.20%,51.20%,27.70%,86.9,108.9,4.6,0
9847,Andrew McCutchen,DH,R,R,PIT,38,15.1,120,515,104,65,18,1,20,66,50,3,11.30%,25.80%,43.60%,0.179,0.283,0.328,0.232,0.227,0.325,0.327,0.411,0.421,105.5,0.5,0.5,-13,3.2,-2.9,11.70%,36.30%,17.00%,63.10%,42.00%,45.00%,80.20%,73.60%,41.60%,38.20%,20.20%,17.00%,41.00%,42.00%,88.4,109.8,14.3,-0.7
3473,Anthony Rizzo,1B,L,L,NYY,35,12.2,92,375,77,57,12,0,8,38,35,0,7.20%,17.30%,41.50%,0.107,0.259,0.301,0.228,0.24,0.285,0.297,0.335,0.34,84.1,-0.2,-9.6,-5.3,1.5,-2.8,4.00%,32.80%,33.10%,65.80%,49.10%,65.30%,91.50%,82.50%,44.90%,27.70%,27.40%,21.50%,43.80%,34.70%,86.7,110.7,14.3,0.6
14551,Anthony Santander,RF/LF,S,R,BAL,30,6.2,155,665,140,69,25,2,44,91,102,2,8.70%,19.40%,45.00%,0.271,0.225,0.308,0.235,0.228,0.345,0.324,0.506,0.445,129.2,3.3,19.5,-9.6,3.2,-2.7,11.70%,41.40%,35.10%,66.10%,49.70%,72.90%,87.70%,82.20%,44.80%,31.60%,23.60%,14.40%,30.80%,54.80%,89.8,114.4,22.7,-0.6
19363,Austin Hays,LF/RF/CF,R,R,PHI,29,5.1,85,255,60,37,18,0,5,26,20,2,3.50%,23.10%,15.30%,0.14,0.318,0.303,0.255,0.234,0.303,0.287,0.396,0.363,97.8,0.2,-0.8,-5.7,2.8,-0.1,6.70%,40.20%,34.70%,71.30%,54.40%,44.40%,84.30%,72.60%,50.80%,29.10%,20.10%,20.20%,41.00%,38.80%,88.9,109.9,14.9,-0.9
