playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,ERA,xERA,FIP,xFIP,WAR,Stuff+,Location+,Pitching+
1157,Tommy Hunter,RP,R,R,NYM,36,12.2,0,1,0,18,0,22.1,8.9,2.4,1.6,0.274,88.80%,40.00%,13.30%,2.42,4.53,4.28,3.94,0,93.8,106.4,103.7
1247,Adam Ottavino,RP,S,R,NYM,37,11.1,6,3,3,66,0,65.2,10.8,2.2,0.8,0.276,89.10%,51.90%,12.00%,2.06,2.35,2.85,2.79,1.1,113,96.9,102.6
1581,Sean Doolittle,RP,L,L,WSN,36,10.1,0,0,0,6,0,5.1,10.1,0,0,0.091,100.00%,27.30%,0.00%,0,1.07,0.86,3.08,0.3,95.6,107.5,107.6
1890,Matt Moore,RP,L,L,TEX,34,10,5,2,5,63,0,74,10.1,4.6,0.4,0.257,81.10%,43.90%,4.20%,1.95,2.83,2.98,3.87,1.3,118.3,96.8,101.1
1943,Zack Greinke,SP,R,R,KCR,39,18.1,4,9,0,26,26,137,4.8,1.8,0.9,0.306,72.90%,41.30%,8.20%,3.68,4.78,4.03,4.54,1.9,92.1,103.6,99.9
2036,Clayton Kershaw,SP,L,L,LAD,35,14.1,12,3,0,22,22,126.1,9.8,1.6,0.7,0.268,79.40%,47.10%,9.10%,2.28,2.51,2.57,2.83,3.9,117.2,103.7,106
2429,Corey Kluber,SP,R,R,TBR,37,10.1,10,10,0,31,31,164,7.6,1.2,1.1,0.317,70.20%,36.10%,9.30%,4.34,4,3.57,3.92,3.1,95.6,103.6,103.6
2608,Jhoulys Chacín,RP,R,R,COL,35,10.1,4,2,0,35,0,47.1,7,4,1.3,0.316,49.90%,39.20%,11.70%,7.61,4.74,4.93,4.88,-0.2,97,97.1,95.6
3096,Kenley Jansen,RP,S,R,ATL,35,12.1,5,2,41,65,0,64,12,3.1,1.1,0.259,76.10%,29.90%,9.90%,3.38,2.34,3.21,3.45,1.1,125.8,102,105.8
3237,T.J. McFarland,RP,L,L,STL,34,7.1,0,0,0,28,0,32.2,4.4,3,1.4,0.333,60.40%,53.00%,16.70%,6.61,6.13,5.32,4.69,-0.3,61,94.9,89.9
3240,Zack Britton,RP,L,L,NYY,35,10.2,0,0,0,3,0,0.2,13.5,81,0,0.5,85.70%,50.00%,0.00%,13.5,20.25,27.11,27.11,-0.2,65.9,48.8,48.6
3281,Joe Smith,RP,R,R,MIN,39,13.1,1,1,0,34,0,27.1,5.6,3,2.3,0.295,75.30%,57.40%,26.90%,4.61,5.24,6.3,4.37,-0.8,94.6,99.9,100.1
3284,Aníbal Sánchez,SP,R,R,WSN,39,15.1,4,6,0,14,14,69.1,6.2,4.3,1.7,0.216,78.60%,37.90%,14.30%,4.28,4.65,5.77,5.27,-0.2,65.2,96.5,87.6
4301,Justin Wilson,RP,L,L,CIN,35,10,0,1,0,5,0,3.2,17.2,0,0,0.5,66.70%,50.00%,0.00%,2.45,1.46,-0.71,0.1,0.2,102.5,107.9,112.5
4806,Rich Hill,SP,L,L,BOS,43,13.1,8,7,0,26,26,124.1,7.9,2.7,1.1,0.305,68.30%,40.20%,10.10%,4.27,4.08,3.92,4.12,1.8,96.9,99,99.6
5097,Anthony Gose,RP,L,L,CLE,32,3.1,3,0,0,22,0,21,12,6,1.7,0.244,69.70%,26.50%,16.00%,4.71,5.04,5.06,4.35,-0.2,95.9,87.8,91.2
5114,Jeurys Familia,RP,R,R,BOS,33,9,2,3,0,48,0,44.1,8.3,4.5,1.4,0.386,66.50%,47.80%,16.70%,6.09,4.87,4.94,4.29,-0.3,82.6,94.8,96
5358,Jose Alvarez,RP,L,L,SFG,34,8,2,1,1,21,0,15.1,8.8,5.3,1.8,0.298,75.60%,46.80%,18.80%,5.28,7.22,5.85,4.85,-0.4,78.6,93.1,89.4
5372,Michael Pineda,SP,R,R,DET,34,9.2,2,7,0,11,11,46.2,5,1.5,2.5,0.294,73.20%,39.20%,18.10%,5.79,5.9,6.13,4.8,-0.4,73.8,105.7,94.1
5448,Jesse Chavez,RP,R,R,ATL,39,12,4,3,0,60,1,69.1,9.6,2.6,1,0.333,71.80%,38.80%,11.90%,3.76,4.31,3.39,3.32,0.7,97.7,105.6,100.6
6345,Chris Archer,SP,R,R,MIN,34,9.2,2,8,0,25,25,102.2,7.4,4.2,1.1,0.259,67.70%,43.70%,10.80%,4.56,4.81,4.49,4.57,0.5,109.8,96,96.4
6398,Trevor May,RP,R,R,NYM,33,8,2,0,1,26,0,25,10.8,3.2,1.4,0.338,72.40%,29.20%,12.10%,5.04,3.64,3.87,3.75,0.1,110.8,99.2,101.1
6655,Craig Kimbrel,RP,R,R,LAD,35,11.2,6,7,22,63,0,60,10.8,4.2,0.6,0.311,67.60%,39.70%,5.90%,3.75,3.49,3.23,4.04,0.9,114.6,101.6,104.3
6661,Alex Colomé,RP,R,R,COL,34,8.1,2,7,4,53,0,47,6.1,4.2,1,0.333,59.70%,55.60%,11.40%,5.74,5.75,4.54,4.54,-0.1,79.3,94.5,90.5
6893,Johnny Cueto,SP,R,R,CHW,37,14.1,8,10,0,25,24,158.1,5.8,1.9,0.9,0.295,74.90%,42.60%,7.70%,3.35,4.02,3.79,4.38,2.4,74.5,103,97.2
6895,Chase Anderson,SP,R,R,CIN,35,7.2,2,4,0,9,7,24,8.6,5.6,1.1,0.237,55.20%,51.60%,15.80%,6.38,3.75,5.07,4.62,0.1,95.5,95.9,95.7
6902,Martín Pérez,SP,L,L,TEX,32,10,12,8,0,32,32,196.1,7.7,3.2,0.5,0.295,77.00%,51.40%,6.50%,2.89,3.59,3.27,3.8,3.9,83.7,102.8,94.9
6986,Ian Kennedy,RP,R,R,ARI,38,13.1,4,7,10,57,0,50.1,7.9,3.9,2,0.299,72.80%,24.40%,13.90%,5.36,6.13,5.58,5.06,-1,88.1,100.9,98
7274,Craig Stammen,RP,R,R,SDP,39,11.2,1,2,0,33,1,40.2,7.7,2.2,2,0.298,78.80%,50.80%,23.10%,4.43,4.08,5.15,3.7,-0.4,79.5,103.1,97.1
7432,Jay Jackson,RP,R,R,ATL,35,1.1,0,0,0,2,0,1.1,6.8,0,0,0.25,100.00%,0.00%,0.00%,0,1.14,1.61,3.83,0,81.5,88.4,91.7
7593,Jordan Lyles,SP,R,R,BAL,32,11,12,11,0,32,32,179,7.2,2.6,1.3,0.313,73.80%,40.20%,11.40%,4.42,4.91,4.4,4.39,1.4,87.2,100.6,97
7608,Tommy Milone,SP,L,L,SEA,36,8.1,1,1,0,7,0,16.2,2.7,3.2,2.2,0.189,71.40%,28.60%,12.90%,5.4,5.49,6.89,6.53,-0.3,75.3,105.9,98.7
7738,Wily Peralta,RP,R,R,DET,34,6.1,2,0,0,28,1,38.1,7.5,5.6,0.5,0.294,83.60%,46.40%,5.60%,2.58,4.14,4.08,4.79,0,87,96,91.5
7836,Hunter Strickland,RP,R,R,CIN,34,7,3,3,7,66,0,62.1,8.7,4.8,1.2,0.301,71.30%,34.20%,10.30%,4.91,5.38,4.78,4.96,0,90.4,95.8,96.7
8048,Will Smith,RP,R,L,HOU,33,9.2,0,3,5,65,0,59,9.9,3.8,1.4,0.306,69.10%,35.20%,12.20%,3.97,3.57,4.26,4.14,-0.2,89.3,99.4,99
8110,Bryan Shaw,RP,S,R,CLE,35,9.2,6,2,1,60,2,58.1,8,4,1.4,0.288,66.30%,49.70%,15.50%,5.4,4.74,4.88,4.34,-0.5,97.2,94,97.2
8241,David Robertson,RP,R,R,PHI,38,13.1,4,3,20,58,0,63.2,11.5,4.9,0.8,0.237,86.00%,46.50%,10.30%,2.4,3.05,3.58,3.71,0.7,120.9,96.1,102.1
8700,Justin Verlander,SP,R,R,HOU,40,17,18,4,0,28,28,175,9.5,1.5,0.6,0.24,80.50%,37.90%,6.20%,1.75,2.66,2.49,3.23,6.1,134.8,107.4,112.6
8779,Wade Miley,SP,L,L,CHC,36,11,2,2,0,9,8,37,6.8,3.4,0.7,0.25,63.10%,52.60%,7.90%,3.16,3.86,3.95,4.42,0.5,104.9,105.1,104.5
9111,Brad Hand,RP,L,L,PHI,33,9.1,3,2,5,55,0,45,7.6,4.6,0.4,0.271,75.90%,40.30%,4.30%,2.8,4.4,3.93,4.9,0.3,88.9,92.6,92.9
9132,Nathan Eovaldi,SP,R,R,BOS,33,11,6,3,0,20,20,109.1,8.5,1.6,1.7,0.298,76.00%,47.00%,17.20%,3.87,4.31,4.3,3.46,1,106.8,106,107.1
9434,Dallas Keuchel,SP,L,L,TEX,35,9,2,9,0,14,14,60.2,6.7,4.6,1.6,0.384,51.10%,50.20%,17.20%,9.2,5.45,5.52,4.72,-0.3,79.8,96.9,95.8
9817,Sergio Romo,RP,R,R,TOR,40,13.1,0,1,0,23,0,18,7,3,3.5,0.231,59.20%,17.20%,20.00%,7.5,5.31,7.61,5.44,-0.8,98,96.1,97.9
10021,Mike Minor,SP,R,L,CIN,35,11.1,4,12,0,19,19,98,7,3.7,2.2,0.312,71.20%,34.30%,16.40%,6.06,4.56,6.18,5.21,-0.4,83.9,96.9,93.9
10123,Kyle Gibson,SP,R,R,PHI,35,9,10,8,0,31,31,167.2,7.7,2.6,1.3,0.308,67.70%,45.90%,13.90%,5.05,4.46,4.28,3.94,1.8,95.2,103.5,101.1
10133,Brad Boxberger,RP,R,R,MIL,35,9,4,3,1,70,0,64,9.6,3.8,0.8,0.279,79.90%,34.30%,8.10%,2.95,3.44,3.57,4.06,0.7,90.5,98.8,98.2
10197,Shelby Miller,RP,R,R,SFG,32,7,0,1,0,4,0,7,18,3.9,0,0.462,44.40%,15.40%,0.00%,6.43,1.9,0.4,1.67,0.4,123.2,103.6,111.1
10233,Aroldis Chapman,RP,L,L,NYY,35,12,4,4,9,43,0,36.1,10.7,6.9,1,0.238,73.80%,35.60%,10.00%,4.46,4.46,4.57,4.77,-0.2,122.3,86.8,98.1
10314,Erasmo Ramírez,RP,R,R,WSN,33,7.2,4,2,0,60,2,86.1,6.4,1.5,1.1,0.267,81.30%,45.20%,12.20%,2.92,3.49,4.05,3.94,0.3,88.6,103.4,98.9
10430,Mychal Givens,RP,R,R,NYM,33,7.1,7,3,2,59,1,61.1,10.4,3.7,1.2,0.318,78.90%,42.80%,13.80%,3.38,3.7,3.96,3.66,0.2,92,98.1,96.2
10688,Tyler Thornburg,RP,R,R,MIN,34,6.1,0,1,0,14,0,19,6.6,5.2,0.5,0.25,67.70%,32.80%,3.20%,3.32,3.1,4.22,5.95,0,96.5,91.1,91.2
10855,Chasen Shreve,RP,L,L,NYM,32,5.2,1,1,0,25,0,26.1,9.9,3.4,2.1,0.304,62.90%,40.00%,20.70%,6.49,4.91,5.01,3.68,-0.3,99.1,100.7,97.2
10954,Jacob deGrom,SP,L,R,NYM,35,8.1,5,4,0,11,11,64.1,14.3,1.1,1.3,0.258,73.40%,39.40%,17.00%,3.08,2.24,2.13,1.53,2.2,134.1,107,115.9
11189,Vince Velasquez,SP,R,R,CHW,31,7.1,3,3,0,27,9,75.1,8.2,3,1.3,0.269,66.60%,35.70%,10.20%,4.78,4.65,4.25,4.48,0.4,96.3,101.6,100.9
11384,Tommy Kahnle,RP,R,R,LAD,33,7.1,0,0,1,13,0,12.2,9.9,2.1,1.4,0.125,85.40%,68.00%,28.60%,2.84,2.39,4.38,3.14,0,120.7,100.2,100.3
11423,Jose Quintana,SP,R,L,STL,34,10.1,6,7,0,32,32,165.2,7.4,2.6,0.4,0.302,74.20%,46.40%,5.30%,2.93,3.83,2.99,3.72,4,83.4,102.7,96.3
11487,Joely Rodríguez,RP,L,L,NYM,31,3.1,2,4,0,55,0,50.1,10.2,4.6,0.5,0.302,63.30%,53.80%,8.80%,4.47,3.62,3.23,3.46,0.4,106.4,101.5,100.6
11490,Aaron Sanchez,SP,R,R,MIN,30,6.1,3,4,0,15,10,60,6.2,2.3,1.2,0.357,59.90%,52.80%,13.80%,6.6,4.53,4.48,4.18,0.2,87.9,102,98.3
11589,José Ureña,SP,R,R,COL,31,6.2,3,8,0,21,17,97,5.8,4,1,0.312,66.10%,49.70%,11.70%,5.01,4.91,4.65,4.61,0.7,89.7,98.3,95.3
11632,Heath Hembree,RP,R,R,LAD,34,6.1,3,1,0,26,0,22,7,7,2.5,0.299,69.40%,24.70%,17.60%,7.36,7.55,7.43,6.17,-0.7,94.3,93.8,94.1
11674,Jameson Taillon,SP,R,R,NYY,31,6.1,14,5,0,32,32,177.1,7.7,1.6,1.3,0.276,75.30%,40.10%,12.40%,3.91,4.2,3.94,3.79,2.4,97.4,105.9,103.9
11760,Drew Smyly,SP,L,L,CHC,34,10.1,7,8,0,22,22,106.1,7.7,2.2,1.4,0.275,78.50%,40.10%,11.70%,3.47,4.14,4.23,4.18,1.2,96.9,105.8,103.3
11762,Noah Syndergaard,SP,L,R,PHI,30,7.1,10,10,0,25,24,134.2,6.3,2.1,0.9,0.295,72.40%,42.80%,8.50%,3.94,4.4,3.83,4.28,2.2,81.8,105.6,100.8
11801,Hansel Robles,RP,R,R,BOS,32,6.1,1,3,2,26,0,24.2,7.7,5.1,1.8,0.282,62.50%,39.50%,17.20%,5.84,6.49,5.75,4.85,-0.6,96.4,93.8,93.4
11836,Taijuan Walker,SP,R,R,NYM,30,8.1,12,5,0,29,29,157.1,7.6,2.6,0.9,0.284,75.70%,46.20%,9.60%,3.49,3.94,3.65,3.88,2.7,109.7,100.7,101.8
11847,Chris Martin,RP,R,R,LAD,37,5.1,4,1,2,60,0,56,11.9,0.8,1,0.317,75.60%,49.00%,13.00%,3.05,2.55,2.18,2.01,1.6,94.9,110,101.7
12272,Aaron Brooks,RP,R,R,STL,33,2.1,0,0,0,5,0,9.1,6.8,1.9,2.9,0.267,61.20%,39.40%,23.10%,7.71,10.18,6.76,4.64,-0.2,94.2,99.5,99.4
12304,Chris Bassitt,SP,R,R,NYM,34,6.1,15,9,0,30,30,181.2,8.3,2.4,0.9,0.282,77.20%,48.80%,10.90%,3.42,3.44,3.66,3.72,2.8,97.9,102.9,101.4
