playerid,Name,4S%,v4S,w4S,Stf+ 4S,CT% ,vCT ,wCT ,Stf+ CT,2S% ,v2S ,w2S ,Stf+ 2S,CH% ,vCH ,wCH ,Stf+ CH,SL% ,vSL ,wSL ,Stf+ SL,CB% ,vCB ,wCB ,Stf+ CB,Stf+ KCB,SPLT% ,vSPLT ,wSPLT ,Stf+ SPLT,XX% ,
18655,A.J. Minter,47.70%,94.8,3.6,114.5,34.50%,89.5,-0.3,113.3,,,,,17.80%,86.9,1.5,66.3,,,,,,,,,,,,,,,
16258,Aaron Bummer,9.90%,93.7,1.6,88.2,5.10%,87.6,-2.2,74.4,39.80%,93.3,-1.2,87.9,1.20%,84.6,0.2,82.8,41.60%,82.5,2.4,118.1,2.40%,82.4,-0.4,121.6,,,,,,,
15288,Adam Cimber,31.30%,85.3,-0.9,109.3,,,,,36.10%,85.6,-0.2,110.1,,,,,32.70%,73.7,2.1,43.5,,,,,,,,,,,
1247,Adam Ottavino,10.10%,93.2,2.5,73.9,11.10%,87.9,-2.9,83.9,33.60%,92.3,3.3,100.4,5.10%,87.5,-0.8,71.1,39.70%,79.2,-1.2,116.2,0.50%,77.6,-0.3,,,,,,,,
17859,Adbert Alzolay,21.60%,95.1,0.7,92.9,11.20%,90.7,-0.8,101.1,22.50%,94.7,-1.8,93.7,0.60%,87.2,0,76.7,44.10%,87.4,-2.8,133.2,,,,,,,,,,,
12718,Adrian Houser,16.80%,93.8,1.2,71.7,,,,,44.50%,92.8,1.3,95.6,,,,97.8,17.20%,83.5,-3.3,90.8,8.80%,79.9,-4.4,82.9,,12.70%,84.3,-3.3,,,
6562,Alex Cobb,0.80%,94.6,0,,,,,,42.10%,94,0.3,83.4,,,,,,,,,13.20%,83.4,-0.4,,129.8,43.80%,89.4,3,123.4,,
13781,Alex Wood,,,,,,,,,46.00%,90.9,-6.8,82.5,22.60%,84.9,-4.5,42,31.30%,81.7,-0.9,73.7,,,,,,,,,,,
12988,Andrew Chafin,14.70%,91.9,2.3,70.7,,,,,39.50%,92,-3.9,75.1,,,,,45.80%,82.3,6.1,107,,,,,,,,,,,
15423,Andrew Heaney,51.00%,91.8,0.2,77.2,,,,19.8,0.40%,92.3,0,34.1,17.00%,83.9,1.7,83.5,27.90%,82.7,-2.1,79.2,3.60%,75.8,-3.2,126.5,,,,,,,
12828,Andrew Kittredge,,,,99.4,12.60%,94.1,0.9,170.9,37.50%,94.9,-0.6,97.4,,,,,49.90%,88.3,6,132.6,,,,,,,,,,,
10233,Aroldis Chapman,33.50%,97.9,0.3,96.1,,,,,27.60%,99.9,0.4,237.2,,,,,26.60%,87.1,1,99.9,,,,,,12.30%,91.5,2.7,97.6,,
13801,Austin Adams,23.50%,93.6,-2.7,98.6,,,,,2.70%,93.6,-0.5,,,,,,73.80%,88,-3.5,101.9,,,,,,,,,,,
15047,Austin Voth,23.70%,93.7,4.6,93.1,33.80%,89.1,1.4,98.8,,,,,,,,,23.70%,80.9,-2.4,113.5,18.80%,75.4,3.4,89.7,,,,,,,
13543,Blake Snell,46.40%,96.1,9.5,116.2,,,,,,,,,17.60%,85.7,2.9,109.6,10.00%,88.9,0.2,105.5,26.00%,81.3,10.4,148.5,,,,,,,
12572,Blake Treinen,11.10%,94.2,-0.5,71.4,16.10%,90.8,-1.1,35.1,34.20%,94.7,-0.1,78.3,,,,,38.50%,83.8,7.3,134.1,,,,,,,,,,,
