playerid,Name,Pos,Bats,Thr,Prev Team,Age,Service Time,G,PA,H,1B,2B,3B,HR,R,RBI,SB,BB%,K%,BB/K,ISO,BABIP,OBP,AVG,xBA,wOBA,xwOBA,SLG,xSLG,wRC+,WAR,Off,Def,Spd,BsR,Barrel%,HardHit%,O-Swing%,Z-Swing%,Swing%,O-Contact%,Z-Contact%,Contact%,Pull%,Cent%,Oppo%,LD%,GB%,FB%,EV,LA,maxEV,Clutch
15223,Adam Frazier,2B,L,R,BAL,32,7.08,141,455,99,63,21,2,13,59,60,11,7.00%,14.90%,47.10%,0.155,0.258,0.3,0.24,0.261,0.302,0.301,0.396,0.361,93,0.4,-2.4,-8.9,5.5,1.4,3.10%,22.80%,29.70%,64.60%,48.00%,63.60%,89.40%,81.80%,39.10%,35.10%,25.70%,26.70%,36.50%,36.80%,85.7,15.2,106.7,1.6
13590,Jesse Winker,LF/RF/DH,L,L,MIL,30,6.08,61,197,33,27,5,0,1,16,23,0,13.20%,25.90%,51.00%,0.048,0.278,0.32,0.199,0.204,0.269,0.287,0.247,0.296,65.7,-0.8,-9.5,-5.2,1.1,-1.1,4.30%,31.90%,19.70%,64.50%,42.60%,56.30%,85.80%,79.10%,42.20%,35.30%,22.40%,25.90%,38.80%,35.30%,86.8,13.6,107.1,1.6
14221,Jorge Soler,RF/LF/DH,R,R,MIA,32,8.14,137,580,126,66,24,0,36,77,75,1,11.40%,24.30%,46.80%,0.262,0.272,0.341,0.25,0.262,0.361,0.374,0.512,0.532,124.7,1.8,14.9,-16.6,1.8,-2.8,15.00%,48.00%,25.20%,65.10%,44.10%,54.10%,83.70%,74.80%,46.30%,35.10%,18.50%,18.00%,35.70%,46.30%,91.3,17.8,114.8,1.5
11899,Joc Pederson,DH/LF/RF,L,L,SFG,32,9.03,121,425,84,52,14,3,15,59,51,0,13.40%,20.90%,64.00%,0.182,0.268,0.348,0.235,0.264,0.331,0.366,0.416,0.481,109.3,0.7,5,-12.1,3.2,0.1,11.80%,52.20%,28.70%,63.80%,45.00%,65.30%,83.70%,77.40%,46.30%,33.10%,20.60%,18.80%,39.50%,41.70%,92.1,15.2,116.6,1.5
12434,Kevin Pillar,RF/LF/CF,R,R,ATL,35,9.07,81,206,45,26,10,0,9,29,32,4,2.90%,24.30%,12.00%,0.188,0.255,0.248,0.228,0.255,0.28,0.295,0.416,0.418,71.8,0.3,-6.5,2.2,5.2,0.7,8.00%,38.70%,42.80%,69.40%,56.20%,58.10%,84.90%,74.80%,52.70%,26.00%,21.30%,24.20%,34.90%,40.90%,87.9,17.8,110.2,1.3
12155,Eddie Rosario,LF/RF/DH,L,R,ATL,32,8.12,142,516,122,74,24,3,21,64,74,3,6.60%,23.60%,27.90%,0.195,0.3,0.305,0.255,0.254,0.322,0.317,0.45,0.436,100.4,1.3,-1.7,-3.1,3.7,-1.9,9.50%,35.10%,44.30%,72.00%,57.10%,61.50%,80.00%,72.30%,44.30%,35.90%,19.80%,22.10%,40.10%,37.80%,88.6,14.5,110.4,1.2
13621,Jeimer Candelario,3B/1B,S,R,CHC,30,6.04,140,576,127,63,39,3,22,77,70,8,9.20%,22.00%,41.70%,0.22,0.292,0.336,0.251,0.236,0.346,0.318,0.471,0.407,118.4,3.2,13,0,5.3,-0.2,7.80%,36.30%,29.50%,67.10%,47.40%,59.80%,87.00%,78.10%,45.50%,31.90%,22.50%,19.40%,40.10%,40.60%,88.3,14.1,111.3,1.1
5235,Justin Turner,1B/3B/DH,R,R,BOS,39,13.05,146,626,154,100,31,0,23,86,96,4,8.10%,17.60%,46.40%,0.179,0.304,0.345,0.276,0.26,0.346,0.336,0.455,0.444,114.6,1.1,5.7,-16.6,3.1,-5.2,5.70%,39.00%,25.80%,61.70%,45.00%,69.10%,89.80%,84.30%,41.00%,32.60%,26.40%,22.90%,35.70%,41.40%,89.5,16.5,108.2,1
12532,Kolten Wong,2B,L,R,LAD,33,10.03,87,250,41,31,6,0,4,25,27,3,7.20%,21.20%,34.00%,0.08,0.218,0.256,0.183,0.213,0.236,0.262,0.263,0.29,49.6,-0.7,-15.1,-0.7,3.6,0,1.70%,25.90%,25.40%,67.90%,47.30%,52.90%,89.50%,80.00%,46.00%,28.20%,25.90%,16.00%,43.80%,40.20%,85.6,14,107.9,1
2136,David Peralta,LF/RF,L,L,LAD,36,9.12,133,422,102,69,25,1,7,47,55,4,4.70%,17.10%,27.80%,0.122,0.296,0.294,0.259,0.274,0.29,0.309,0.381,0.4,81.9,-0.2,-12.6,-4,4,-3.1,4.90%,43.90%,35.00%,72.30%,54.50%,60.40%,87.60%,79.30%,40.90%,33.80%,25.30%,21.70%,48.30%,30.00%,89.3,8.2,111.5,0.9
