playerid,Name,4S%,v4S,w4S,Stf+ 4S,CT% ,vCT ,wCT ,Stf+ CT,2S% ,v2S ,w2S ,Stf+ 2S,CH% ,vCH ,wCH ,Stf+ CH,SL% ,vSL ,wSL ,Stf+ SL,CB% ,vCB ,wCB ,Stf+ CB,Stf+ KCB,SPLT% ,vSPLT ,wSPLT ,Stf+ SPLT,XX% ,
1246,Matt Bush,51.00%,94.8,-3.3,107,,,,,7.70%,94.6,0.3,48.5,,,,,2.10%,80.4,-1.5,100.7,39.20%,77.5,0.1,139.7,,,,,,,
1247,Adam Ottavino,5.50%,93.4,2.1,95.7,14.80%,88,-1.4,98.7,37.60%,92.8,1.8,99.4,14.10%,87.8,3.3,75.9,28.00%,79.9,1.2,114.7,,,,,,,,,,,
1890,Matt Moore,47.60%,94,1,97.3,,,,,,,,,31.50%,84.2,8.1,95.2,,,,,20.90%,84.3,-2.3,,118.7,,,,,,
1943,Zack Greinke,26.40%,89.7,3.4,72.2,6.50%,85.6,-1.9,100.4,16.00%,89.9,-4.8,76.4,16.50%,86.6,-0.1,84.2,20.30%,79.4,5.3,94.3,14.20%,72.7,-9.3,95.8,,,,,,,
2036,Clayton Kershaw,36.90%,90.9,1.6,95.9,,,,,0.20%,90.9,0.6,90.3,0.40%,86.5,-0.4,34.1,43.30%,86.7,18.3,112.3,17.50%,73.5,0.5,93.7,,1.60%,84.2,0.9,116.1,0.00%,
2520,Lance Lynn,43.50%,92.6,-5.8,92.3,23.30%,88.8,-0.4,104.2,12.70%,91.5,3.9,93.3,6.90%,85,-3.1,56.2,7.90%,81,-7.2,97,5.70%,83.1,-5.3,108.6,,,,,,,
2895,Zach McAllister,54.50%,91.8,-3.1,,28.50%,87.7,-1.1,63.7,2.40%,92.1,-0.7,107.9,7.30%,83.1,0.2,119.9,7.30%,81.2,0.2,114.7,,,,,,,,,,,
3548,Liam Hendriks,58.60%,95.5,0.5,126.4,,,,,,,,,,,,,39.10%,88.1,-0.3,96.6,2.30%,85.1,-0.1,150.6,,,,,,,
4806,Rich Hill,34.20%,88.4,-2.2,76.9,14.70%,83.3,-4.3,85,4.40%,86,2.8,98.1,0.90%,82.8,0.1,80.3,9.60%,71.3,-6.4,89.8,35.20%,71.9,-9.6,115.9,,1.00%,82.8,-0.4,,,
5003,Jake Diekman,62.80%,95.6,5.9,163.4,3.80%,89.1,0.6,107.8,1.60%,95.3,0.5,105.5,14.30%,88,2.2,91.6,17.60%,83.8,0.2,138.8,,,,,,,,,,,
5114,Jeurys 4Smilia,24.20%,94.8,-1.7,71.2,,,,,33.20%,94.4,-2.6,82.1,,,,,29.70%,86.8,0.9,98.2,,,,,,12.90%,89.5,0.2,102.9,,
5343,Brandon Crawford,40.00%,85.4,-0.3,77.6,,,,,25.00%,86,0,,5.00%,72.1,-0.1,66.4,5.00%,81.2,0.3,105.3,25.00%,74.2,0.1,72,,,,,,,
5448,Jesse Chavez,,,,,50.80%,88.8,1.6,113.6,29.80%,91.1,0.4,86.9,13.80%,85,2.7,86.6,,,,,5.70%,76,1.1,109,,,,,,,
5524,Madison Bumgarner,33.10%,89.6,-0.8,68,34.90%,86.3,-2.2,103.1,,,,,12.30%,84.4,-5.3,77.8,,,,,19.70%,77.3,-2.1,80,,,,,,,
5615,Ryan Bra2Ser,36.80%,96,-1.2,111,13.50%,92,4.9,93.3,14.30%,96.2,3.4,109.6,0.10%,80.4,-0.1,,35.30%,85.2,6.7,104.4,,,,,,,,,,,
6399,José Cisnero,36.80%,96,0,106.1,7.20%,89.8,-0.4,106.8,21.30%,95.7,-3.9,101.5,9.80%,88.9,-1.8,97.6,20.10%,85.5,1.6,119.4,4.80%,85.3,1.1,,,,,,,,
6632,Carlos Carrasco,32.10%,92.9,-12.5,74.7,0.40%,89.6,-0.6,86.3,10.20%,91.9,-5.6,91,29.90%,87.4,0.5,108.2,18.20%,84.4,-6,104.5,9.20%,80.3,-1.7,88.3,,,,,,,
6655,Craig Kimbrel,67.20%,96,9.3,124.7,,,,,,,,,,,,,0.80%,85.6,-0.8,,32.00%,86.3,3.8,,126.2,,,,,,
6797,Julio Teheran,7.30%,89.2,-7.1,98.7,30.30%,86.6,4.1,79.1,39.00%,89.9,0,90.3,11.90%,83.3,-0.8,94,11.50%,77.4,2.5,,,,,82.2,,,,,,,
6893,Johnny CBeto,34.00%,92.1,1,86.5,3.40%,87.7,-1.8,69.3,20.20%,92.1,3,88.8,19.10%,84,-5.2,72.6,22.90%,86,-2,87.9,0.40%,75.8,-0.1,119.7,,,,,,,
6895,Chase Anderson,24.00%,93.4,-7,67.4,26.40%,89.2,2.4,107.7,14.50%,93.1,-8.6,69.7,22.90%,84,7.1,70.8,8.00%,80.8,1.1,104.1,4.10%,77.7,-2.4,75.2,,,,,,,
6902,Martín Pérez,4.40%,92.1,4.4,75,21.70%,89.2,-10.4,78.7,43.00%,91.7,3.5,72.7,26.40%,84.2,-4.2,71.4,0.90%,83.6,0.4,88.2,3.70%,79,2.7,78,,,,,,,
6984,Luis García,11.50%,97.6,-0.9,90.5,1.70%,95,-0.2,,44.20%,97.4,0.4,110.5,,,,,34.60%,81.5,-1,128.9,,,,,,8.10%,88.4,1.9,57.2,,
7146,Daniel Hudson,45.30%,95.5,1.1,119,,,,,3.10%,95.7,-0.1,65,1.60%,88.7,0,70.3,50.00%,88.1,-0.8,99.5,,,,,,,,,,,
7432,Jay Jackson,38.20%,93.3,-1.5,89.5,,,,,2.00%,92.5,0.2,89.2,0.20%,87.8,0,,59.60%,84.7,9,107.6,,,,,,,,,,,
7803,Richard Bleier,3.50%,89.2,-3.2,81.5,38.50%,86.2,2.4,109.9,42.00%,88.2,3.4,90,0.20%,79.9,-0.6,,10.20%,77.5,-0.9,86.7,,,,,,4.80%,78.7,-2.2,-121.6,0.90%,
7982,Anthony Bass,8.60%,94.6,-2.2,81.6,,,,,28.70%,94.7,-2.6,101,,,,,55.90%,85.6,3.4,112.4,,,,,,6.80%,87.1,0.3,93.4,,
8048,Will Smith,39.00%,92.4,-1.1,67.1,,,,,,,,,2.80%,86.6,-0.5,97.2,49.20%,81.1,13.6,103.1,8.60%,77.1,0.1,67.4,,,,,,0.50%,
8110,Bryan Shaw,,,,,50.50%,94,3.5,113.2,12.50%,94.1,2.1,86.2,2.70%,83.5,0.3,65.5,20.10%,83.7,0,108.8,13.90%,81.9,1.4,98.3,,,,,,0.40%,
8241,David Robertson,,,,,53.20%,93.4,13.7,114,0.10%,93.8,0,,1.40%,87.9,0.7,97.6,18.90%,85.1,-2.3,112.4,26.30%,84.5,-0.7,,159.6,,,,,,
8779,Wade Miley,19.30%,90.5,1.6,78.4,44.40%,87.1,10,100.6,4.70%,90.5,-2.5,88,24.50%,83.8,3.1,83.5,5.10%,79.1,0.8,113.5,2.00%,75.9,0.6,78.6,,,,,,,
9073,Kirby Yates,53.90%,93.7,3.5,83.8,,,,,,,,,,,,,1.10%,77.8,-0.7,94.4,0.40%,76.5,-0.4,,,44.60%,86.2,5.3,129.6,,
9111,Brad Hand,30.60%,92.8,-0.4,64.4,,,,,19.50%,92.9,-1.9,81,,,,,49.80%,81,-1.5,106.3,,,,,,,,,,,
9434,Dallas Keuchel,,,,,25.40%,84.7,-4.4,92.4,34.70%,87.3,0.9,63.8,27.10%,80.2,-1,73.6,12.90%,78.2,0.1,64,,,,,,,,,,,
9761,Joe Kelly,13.30%,99.2,-2.9,107.2,,,,,33.70%,98.9,1.7,94.7,10.10%,89.2,1.5,106.9,25.40%,91.8,3.1,133.2,17.40%,89.5,2.6,,126.6,,,,,,
10123,Kyle Gibson,13.50%,92.2,-2.1,77.7,16.60%,89.9,-5.4,89.7,26.10%,92,-0.5,93.5,17.00%,85.6,-2.1,87.6,18.60%,81.7,11.7,110,8.30%,79.5,-0.4,89.7,,,,,,,
10133,Brad Boxberger,54.10%,91.4,0.1,79.5,,,,,,,,,13.00%,81.3,-1.2,75.4,32.80%,86.9,2.1,102.7,,,,,,,,,,,
10197,Shelby Miller,57.50%,93.6,12.1,106.4,,,,,0.20%,93.5,0.1,,,,,,16.10%,82.2,-0.2,109.4,,,,,,26.20%,85.7,0.9,121.2,,
