playerid,Name,Projected WAR,Projected Years,Projected Total,Projected AAV,QO,Signing Team,Years,Total Salary,AAV
18655,A.J. Minter,0.5,1,"$5,000,000 ","$5,000,000 ",,NYM,2,"$22,000,000 ","$11,000,000 "
16258,Aaron Bummer,0.7,,,,,ATL,2,"$13,000,000 ","$6,500,000 "
15288,Adam Cimber,-0.2,,,,,,,,
1247,Adam Ottavino,0.2,,,,,,,,
17859,Adbert Alzolay,0,,,,,,,,
12718,Adrian Houser,0,,,,,TEX,1,,
6562,Alex Cobb,1.9,1,"$10,000,000 ","$10,000,000 ",,DET,1,"$15,000,000 ","$15,000,000 "
13781,Alex Wood,0.7,,,,,,,,
12988,Andrew Chafin,0.2,,,,,,,,
15423,Andrew Heaney,1.6,2,"$25,000,000 ","$12,500,000 ",,,,,
12828,Andrew Kittredge,0.2,1,"$3,000,000 ","$3,000,000 ",,BAL,1,"$10,000,000 ","$10,000,000 "
10233,Aroldis Chapman,0.8,1,"$10,000,000 ","$10,000,000 ",,BOS,1,"$10,750,000 ","$10,750,000 "
13801,Austin Adams,0.1,,,,,BOS,1,,
15047,Austin Voth,0,,,,,,,,
13543,Blake Snell,3.4,4,"$120,000,000 ","$30,000,000 ",,LAD,5,"$182,000,000 ","$31,357,257 "
12572,Blake Treinen,0.6,1,"$8,000,000 ","$8,000,000 ",,LAD,2,"$22,000,000 ","$11,000,000 "
13942,Brent Suter,-0.1,,,,,CIN,1,"$2,500,000 ","$2,500,000 "
10061,Brooks Raley,0.1,1,"$4,000,000 ","$4,000,000 ",,,,,
19990,Bryse Wilson,0.2,,,,,CHW,1,"$1,050,000 ","$1,050,000 "
14814,Buck Farmer,0,,,,,,,,
12784,Burch Smith,0,,,,,PIT,1,,
19312,Cal Quantrill,0.7,,,,,,,,
19349,Caleb Ferguson,0.4,1,"$3,000,000 ","$3,000,000 ",,PIT,1,"$3,000,000 ","$3,000,000 "
10078,Caleb Thielbar,0.4,1,"$3,000,000 ","$3,000,000 ",,CHC,1,"$2,750,000 ","$2,750,000 "
6632,Carlos Carrasco,0,,,,,,,,
14542,Carlos Estévez,0.3,2,"$18,000,000 ","$9,000,000 ",,,,,
4676,Charlie Morton,1.4,1,"$14,000,000 ","$14,000,000 ",,BAL,1,"$15,000,000 ","$15,000,000 "
12763,Chris Devenski,0,,,,,NYM,1,,
13896,Chris Flexen,0.5,,,,,,,,
11847,Chris Martin,0.7,1,"$7,000,000 ","$7,000,000 ",,TEX,1,"$5,500,000 ","$5,500,000 "
13649,Clay Holmes,1.9,2,"$20,000,000 ","$10,000,000 ",,NYM,3,"$38,000,000 ","$12,666,667 "
2036,Clayton Kershaw,1.8,,,,,,,,
19403,Colin Poche,-0.1,,,,,,,,
12317,Colin Rea,0.7,,,,,CHC,1,"$5,000,000 ","$5,000,000 "
19361,Corbin Burnes,3.6,6,"$180,000,000 ","$30,000,000 ","$21,050,000 ",ARI,6,"$210,000,000 ","$33,041,322 "
6655,Craig Kimbrel,0.4,1,"$6,000,000 ","$6,000,000 ",,,,,
19206,Dakota Hudson,0,,,,,LAA,1,,
13293,Danny Coulombe,0.3,,,,,,,,
8241,David Robertson,0.7,1,"$10,000,000 ","$10,000,000 ",,,,,
17496,Diego Castillo,0,,,,,COL,1,,
17796,Dillon Tate,0,,,,,,,,
17755,Drew Smith,0,1,"$2,000,000 ","$2,000,000 ",,,,,
11760,Drew Smyly,0.3,,,,,,,,
13394,Dylan Floro,0,1,"$3,000,000 ","$3,000,000 ",,,,,
18403,Enyel De Los Santos,0.1,,,,,ATL,1,,
14309,Frankie Montas,1.8,2,"$26,000,000 ","$13,000,000 ",,NYM,2,"$34,000,000 ","$17,000,000 "
17490,Génesis Cabrera,0,,,,,NYM,1,,
14986,Giovanny Gallegos,-0.1,,,,,LAD,1,,
19867,Griffin Canning,0.5,,,,,NYM,1,"$4,250,000 ","$4,250,000 "
11804,Héctor Neris,0.1,,,,,,,,
13346,Hoby Milner,0.3,,,,,TEX,1,"$2,500,000 ","$2,500,000 "
7836,Hunter Strickland,-0.1,,,,,,,,
17479,Jack Flaherty,2.6,4,"$88,000,000 ","$22,000,000 ",,,,,
12323,Jacob Barnes,0,,,,,,,,
19274,Jacob Webb,0,,,,,TEX,1,"$1,250,000 ","$1,250,000 "
5003,Jake Diekman,0,,,,,,,,
13619,Jakob Junis,0.9,1,"$6,000,000 ","$6,000,000 ",,,,,
17192,Jalen Beeks,0.3,,,,,,,,
7432,Jay Jackson,0,,,,,,,,
17432,Jeff Hoffman,0.9,3,"$30,000,000 ","$10,000,000 ",,TOR,3,"$33,000,000 ","$11,000,000 "
5448,Jesse Chavez,0,,,,,,,,
9761,Joe Kelly,0.5,1,"$5,000,000 ","$5,000,000 ",,,,,
12972,Joe Ross,0.4,,,,,PHI,1,"$4,000,000 ","$4,000,000 "
11487,Joely Rodríguez,0,,,,,,,,
19320,Joey Lucchesi,0,,,,,SFG,1,,
12777,John Brebbia,0.3,,,,,,,,
16269,John Means,0,1,"$8,000,000 ","$8,000,000 ",,,,,
19753,Jonathan Loáisiga,0.4,1,"$3,000,000 ","$3,000,000 ",,NYY,1,"$5,000,000 ","$5,000,000 "
7593,Jordan Lyles,0,,,,,,,,
16122,Jordan Romano,0.3,,,,,PHI,1,"$8,500,000 ","$8,500,000 "
14527,Jorge López,0.2,,,,,WSN,1,"$3,000,000 ","$3,000,000 "
6399,José Cisnero,0.1,,,,,,,,
14524,José Leclerc,0.2,2,"$12,000,000 ","$6,000,000 ",,ATH,1,"$10,000,000 ","$10,000,000 "
11423,Jose Quintana,1.4,2,"$24,000,000 ","$12,000,000 ",,,,,
11589,José Ureña,0,,,,,,,,
18335,Josh Staumont,0,,,,,,,,
13767,JT Chargois,0.1,,,,,,,,
8700,Justin Verlander,1.4,1,"$15,000,000 ","$15,000,000 ",,SFG,1,"$15,000,000 ","$15,000,000 "
